post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw557x,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'alabamastate']",hate downing qb may make change 2nd half cannot survive season kind qb performance
16ei5hq,jzwb6ij,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'alabamastate']",13 9 bama performance reflective score 24 9 bama
16ei5hq,jzwez7u,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'alabamastate']",honestly bama still better 95 fbs im certain percentile ut
16ei5hq,jzwghdj,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'alabamastate']",much pressure front getting milroe pass coverage isnt favors
16ei5hq,jzwghmx,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'alabamastate']",comments bama fans directed im tired paul
16ei5hq,jzwgyfe,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'alabamastate']",regardless outcome ive truly enjoyed im stressed hell
16ei5hq,jzwj1wg,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'alabamastate']",well cant win salvage rest season
16ei5hq,jzwk28j,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'alabamastate']",r l l e f e v e r b e l e
18wbuu4,kfxp986,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'alabamastate']",think penix looked real mahomey tonight
18wbuu4,kfxy21l,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'alabamastate']",idk whether place bad luck washington bad time management
18wbuu4,kfxya6o,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'alabamastate']",best play right qb draw middle
183rfxa,kar1yfs,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'alabamastate']",want see oscar audible rugby way first sometime
183rfxa,kar2gws,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'alabamastate']",good burger best movie franchise time dont
183rfxa,kar6301,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'alabamastate']",dont know yall getting upset drop earlier know minute open receiver itll either drop 10yds overthrown
183rfxa,kar9pob,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'alabamastate']",chilis dropped ball multiple office themed commercials back day rolling one first time 2023 jenna angela seems like little late
183rfxa,karaddw,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'alabamastate']",jersey mikes good thing exported new jersey
