post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ptc9b,k1t2eij,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['army', 'albany']",all22 final kickoff used textbook example cover kick whole coverage team collapsed play side nobody cover cutback atrocious
18wbuu4,kfxx0gx,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'albany']",omg even get hail mary range 1 pass one possession fg dumb lol
16ktcfe,k0y457b,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['colorado', 'albany']",like dominic toretto saysdoesnt matter whether win inch mile winnings winning
16ktcfe,k0yuxvd,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['northcarolina', 'albany']",reading top comments controversial im annoyed flairless know alls
16ktcfe,k0zgg93,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],['albany'],yesterday opportunity one craziest days college history chalk ended prevailing endall unranked teams 11 half 7 4th florida 2 wyoming tied going 4th csu im putting colorado level teams almost got upset hype behind played first two weeks would ben insane
15knp1o,jv6as14,rumor big ten likely move 10 conference schedule following recent expansion,nan,"['michigan3', 'tulane']","['albany', 'newhampshire']",1 source rumor appears actual rando 2 notre dame still joining conference
16cvipo,jzmsix9,favorite uniforms every p5 conference,title suggests subjective opinion best dressed team p5 conferences ill go precrazy realignmen mine acc definitely florida st garnet gold immaculate timeless helmets iconic big 10 biased think top bottom best dressed conference many iconic classic looks thst said penn st clean perfect colors pop aways damn near perfect big 12 quite possibly best look time away storm trooper look absolutely beautiful pac12 theme far simplicity classic looks way say theyve challenged new looks never missed current sets every look incredible sec second best dressed conference hardest choose tie lsu auburn auburn best overall design looks fitting era fcs shoutout best look school harvard crimson creams insanely gorgeous,[],"['tennessee', 'albany']",acc pitt b1g im steelers fan lol big xii byu pac12 sec big orange
18uo86j,kfmm2vf,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'albany']",florida states even never
16k9n25,k0uy7fv,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['army', 'albany']",bc im sure ive ever seen called today
16k9n25,k0v0z1p,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['army', 'albany']",bc trying best help fsu win today generous
16k9n25,k0v1iwt,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['army', 'albany']",lol dude comes like made play tackled receiver
16k9n25,k0v1tdy,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['army', 'albany']",replay thats probably flag rule ball way thrown
