post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
183w2du,kasd3zy,west virginia baylor 700,west virginia location baylorfbaylor mclane time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia', 'aldersonbroaddus']",tarmac neal please man got outcoached team thats 38 currently starting look like defense pack night
168fx8i,jyvswhc,west virginia penn 730,west virginia penn location penn statefpennstate beaver time 730 watch tv nbclnbc odds spread psu 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['westvirginia', 'aldersonbroaddus']",silly shit neal cj exists
168fx8i,jyw02kl,west virginia penn 730,west virginia penn location penn statefpennstate beaver time 730 watch tv nbclnbc odds spread psu 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['westvirginia', 'aldersonbroaddus']",typical neal brown lets cj cook first 5 minutes never gives ball
15vkpiz,jwwaw42,worst best case scenario favorite team,ill start worst case scenario louisville finishing season 85 due playing ranked notre dame nc pitt miami road acc ends competitive sec leads us outmatched kentucky however get another bowl end season win means basically end record last season 85 highly doubt record could worse since seem talent compared last season jeff brohm seems confident passionate coaching team best growing louisville best case scenario louisville finishes season 94 due upsetting ranked notre dame home advantage feel like louisville still prone lose nc pitt miami teams road sec still competitive acc kentucky still competitive team louisville would still stack one top tier acc teams home advantage year could give ability beat kentucky first time 6 years since lamar jackson left fall short eligible acc championship get competitive bowl ending loss 94 jeff brohm reflects great season works improving team even next year,['louisville'],"['westvirginia', 'aldersonbroaddus']",best case wvu 84 opinion scenario garrett greene channels inner pat white cj donaldson continues excel veteran offensive line puts big boy pants finally figures go 21 noncon splitting pittpsu likely win pitt beating duquesne drop tcu sweep go 21 osubaylortexas tech extremely unlikely 75 realistic bestcase outcome 84 isnt reach stars align worst case scenario 100 111 look wvus schedule year theres single outside duquesne look confidently say going win could easily likely opinion drop penn pitt noncon possible also open big 12 play 02 tech tcu likely top five big 12 year would us enter bye week 14 point neal brown gets inevitable pink slip travel former coachs current team week bye provided dana isnt fired well trap ever one easy see us 15 six games interim coach point team likely quit could get ugly likely scenario wvu year probably 48 maybe 39 win duquesne losses pitt penn 12 wins four new b12 teams 01 wins five big 12 opponents
16egmsf,jzwbruh,duquesne west virginia 600,west virginia location west milan puskar time 600 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['collegecharleston', 'southcarolina']","['westvirginia', 'aldersonbroaddus']",someone followed lot instate kids high school like zach frazier preston fox nick malone hudson clement others really enjoy seeing secure prominent place lineup
17d92n2,k5vqxq9,west virginia 330,west virginia location west milan puskar time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia', 'aldersonbroaddus']",everyone bar im sitting friends well quick talk shit greene hes starting reason hes developed nicco point legs difference maker hit multiple explosive runs per things break open scrambles
17d92n2,k5vscn9,west virginia 330,west virginia location west milan puskar time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia', 'aldersonbroaddus']",im sick neal browns conservative end half call first time 20 seconds late wait offensive team call timeout 10 seconds called second one get ball back 15 seconds remaining timeout still knee get wanting costly turnover take risk maybe grab extra score awhile
17d92n2,k5w8wu5,west virginia 330,west virginia location west milan puskar time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia', 'aldersonbroaddus']",well im officially embarrassed run defense least lose brown gets fired still backyard brawl win
16wkoxx,k2yeteb,west virginia tcu 800,west virginia tcuftcutcu location tcuftcu amon g carter time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia', 'aldersonbroaddus']",gonna lose neal browns idiotic play calling last drive
17ifka3,k6ues8b,west virginia ucf 1200,west virginia ucffucfucf location ucffucf fbc mortgage time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia', 'aldersonbroaddus']",lmao everything rick scott described wrong country reagan caused lot
