post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw9ov3,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",think yeti gear overkill like 5060 people use pull people like fishermen equation prolly edges 75
16ktcfe,k0y1sln,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['hawaii', 'aloha']",didnt go 2 end 1st ot might lose
1784xhr,k4xo83c,san diego hawaii 1100,san diego diego location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread sdsu 55 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",man hope pick decent xfer qb offseason schager trying best saying goes aint
16z2cw9,k3cpffs,people 12 team playoff,maybe im biased penn fan whose team would made 59 12 team playoffs far existed great way let teams get redeeming shot one two closequality losses youre best 4 teams still get bye road 4 team nfl less fun playoffs college basketball absolutely sport dont see downsides gives clear path 8 good compete still lets top 4 teams better chance getting championship,"['maryland', 'pennstate']","['wisconsin', 'aloha']",2 loss teams dont deserve play national championship
172mpmi,k3yee8t,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",first time long time ive seen icing kick effect
172mpmi,k3yfkt6,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",nice arizona usc extend tonight absence hawaii home tonight
172mpmi,k3yfzd3,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",best player world level lets pump brakes little shall
172mpmi,k3ygfvx,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",gone two earlier oh well fun watch
1628tfe,jxwlcjr,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",ah yes see old ways back defense chumps lets shootout
1628tfe,jxwowpp,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",hawaii run shoot tradition 4th 5 target end zone
1628tfe,jxwquez,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",huh looked like kind weak personal foul call replay
1628tfe,jxws8zm,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",well least got ball back without allowing points
1628tfe,jxwwr9i,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",wtf happened went use bathroom uh went 3
1628tfe,jxx0m9e,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",lmfao pedal machine aint shit unless youre basically bedridden trying pt
1628tfe,jxx1cp8,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",need walking simulator probably play cheap real physical therapist
1628tfe,jxx27xx,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",fuck throw long balls time got 4 downs make first
1628tfe,jxx3s73,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",hey least wrapping tackles
1628tfe,jxx3vv6,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",heads play batting instead picking keep position
1628tfe,jxx5unv,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['hawaii', 'aloha']",downs play tried force
16knfug,k0xv3ql,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",damn catch kept looking better every angle replayed
16knfug,k0xx4p7,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",hate late saturday night chick fila commercials blue balls till weekdays
16knfug,k0y077y,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",cant believe dumb fuck living near actually setting fireworks every time csu scores drought theres dry brush everywhere
16knfug,k0y0rk6,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",csu gonna regret trying end terms meethinks
17d4h7c,k5uvns0,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['aloha', 'keimyung']",playing defense instead crying refs bail
17d4h7c,k5uwtod,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",funny tell whos watching pirate yt streams delayed reactions
16x7vat,k317f6m,pat mcafee doesnt get college gameday,wonder long going espn finally realizes something ive known since first joined show since constant need upstage everyone incredibly offputting especially guest going wazzu flag claiming merely hopping bandwagon team good right thats whole different level pure ignorance pats part ill admit one personal ive one many wazzu flagwavers 15 years first time 2008 season wazzu incredibly lucky finish 211 year even sixth year waving flag biggest celebrities crowd fans every single school wanted meet us hear story tell us finding flag crowd part saturday morning routine could enthusiastic accommodating every time ive flagwaving duty youll hear tune pretty much wazzu flagwavers one person ever tried give grief waving flag gameday happened fans host school opponent dozen schools told guy get lost staying anything meaning wazzu flag college gameday visible symbol program becoming celebration host site college general see fans around country every gameday site welcome partake celebration college pat mcafee doesnt get,"['washingtonstate', 'floridastate']","['aloha', 'chiefcaddo']",cant possibly surprised people annoyed even theyre confronting person petty obnoxious act like youre major playing cfb trying make prime time program team got left cutting room floor conference realignment whats brag cool 15 minutes overdone decidedly mediocre team boring people arent great youre hilariously terrible
16gtdpf,k0c9oa8,one injury teams history would go back heal given power,wasnt ducks fan time think time dennis dixon injury,"['oregon', 'oregonstate']","['hawaii', 'aloha']",colt brennans cte tbi dont give fuck finished season balled us hearing spiral downhill miserable
172jjmy,k3xzlfm,tech miami 800,tech location miamifmiami hard rock time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",fucking way gonna clip sequence highlight reels forever
172jjmy,k3xzwbn,tech miami 800,tech location miamifmiami hard rock time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",gives fuck run back 2 pts
172p8o7,k3y0icd,postgame tech defeats miami 2320,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['hawaii', 'aloha']",say fumble ruling inexcusable even got first place
167l7hn,jyqnz03,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['hawaii', 'aloha']",defender air slide started fuck defender supposed
17dhxtg,k5xlxsv,arizona washington 1030,arizona location husky time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'aloha']",one worst games ive seen watched whole
17yj88b,k9ujbdf,washington 730,location reser time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",coming fan whose team doesnt whole lighting flash show annoying seems person
16wo24u,k2ypnb4,nevada fresno 1030,fresno location fresno bulldog ca time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",feels like im watching uh white unis uh nevada later year gonna dumpster fire isnt
16wo24u,k2yqqy2,nevada fresno 1030,fresno location fresno bulldog ca time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",ads give impression target demographic people falling fuck apart quite bad others ive seen tose pathetic exercise help things like desk bicycle things motor move legs
16wo24u,k2yro1x,nevada fresno 1030,fresno location fresno bulldog ca time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",uh nevada fuck happened program recall guys halfway decent team 34 years ago
17deyud,k5x9ue9,clemson miami 800,location miamifmiami hard rock time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",man dont know fans top level programs take shit get pissed asis uh makes dumb coaching decisions dont anywhere near expectations winning
16e7v1g,jzuoqnw,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['florida', 'aloha']",sad version fox theme funniest thing sports broadcasting
167pwk2,jyrikgw,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['hawaii', 'aloha']",schager sitting pocket drives insane someones going take head point keeps
167pwk2,jyrm4ez,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['hawaii', 'aloha']",getting dicked refs bunch holding calls plus call opi first quarter really would changed course drive dont need help mediocre thanks
167pwk2,jyrn3yg,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['hawaii', 'aloha']",dunno looks tv refs absolutely calling holding stanford fucks sake call ways
167pwk2,jyrneb0,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['hawaii', 'aloha']",hey shouldnt targeting defensive player right
167pwk2,jyrp3rn,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['hawaii', 'aloha']",man miss fucking chairs sit
167pwk2,jyrr9yt,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['hawaii', 'aloha']",remember earlier comment schager sitting pocket end getting head taken welp almost happened
167pwk2,jyrt6ln,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['hawaii', 'aloha']",watching linemen gripping jerseys like theyre judo bjj gi grip fucking ridiculous
17d92jq,k5w8uf3,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",im simply awe actually going get
18wi2m2,kfxysng,postgame washington defeats 3731,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['hawaii', 'aloha']",neutral enjoyed hell playoff games today gg
