post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
184dt9f,kaun1ge,complain team,vent friendly place,['rcfb'],"['arkansasstate', 'harding']",inconsistencies team unreal plus dumb penalties came back
172b4cp,k3vrzl9,marshall nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",cant figure watch cw app sucks missing something watch 30 second preview acc cw
16ptc9b,k1t1izb,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['arkansas', 'arkansasstate']",shot colandrea took helmet
172i5sr,k3x9lad,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",many defensive delays called today least one wasnt clap though
172i5sr,k3xan7i,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",bad idea leave anyone open guy let sneak
172i5sr,k3xb6e5,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",never wanna see body part thats supposed rigid flopping around
18wbuu4,kfxx05x,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['paperbag', 'arkansasstate']",would win literal last minute injury stoppage
18wbuu4,kfxy0v7,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'arkansasstate']",reminder washington threw ball reason last drive resulted fg ran ball real reason drive trying run clock resulted injury stopped clock
16q6omx,k1w6s14,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansasstate', 'arkansas']",dabo fucking coward take ass b1g youre gonna coach like
183rfxa,kaqvovi,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",meatriding danielson always goes crazy iron bowl
16w91xa,k2vs71q,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",looks like gonna give another qb career
16qbmww,k1wkl8c,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",fact commentary even brought targeting possibility play sad
189z8v2,kbvbnrb,thamel injured fsu quarterback jordan travis wish broke leg earlier season yall could see team much quarterback,nan,['usc'],"['arkansas', 'arkansasstate']",culmination lot obnoxious trends media companies treating quarterback better rest team treating certain conferences higher class even conferences win games travis real saying obvious 21 guys winning since week 1 since media bunch know nothings committee decided quarterback matters player fsu gets screwed
1728e91,k3vem93,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",running 4th short plays shotgun unsportsmanlike penalty
1728e91,k3w3cop,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",gotta pretty bad even commentary gonna point ref bullshit
18uo86j,kfmlbnt,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['paperbag', 'arkansasstate']",yall calm fsu playing position extremely long con
18dp5ml,kck1b8d,playoff teams selected,wake cfp committee controversy bcs days yore remembered rose colored glasses go back old system thing wrong two teams thrown around many threads believing bcs flawless system best product short memory throughout bcs era many controversies led changes weighting methodology computer polls mention obvious conflift interest acknowledging coachs poll coaches staffers free reign vote strategically teams status line lets get creative stick committee back bcs twelve team playoff top four get bye entrants seeding decided conference champions many seed gets bye weeks computer polls stipulations placed many polls ap poll coaches poll cfp poll committee sits criteria,"['oklahomastate', 'tulsa']",['arkansasstate'],going system 7 large selections apparently heading 9 conferences conference champs plus 7 large selected tv executives arent permitted see standings records large candidates ratings season
16a07so,jz6gw4b,college massive commercial problem,nan,"['rose', 'bigten']","['arkansas', 'arkansasstate']",youtube tvs multiview really clutch saturday able keep tabs 4 games avoid commercials part
189wh00,kbv6ecw,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['arkansas', 'arkansasstate']",like sec unaware much theyre killing enthusiasm committee bought paid reinforces argument teams get every year mathematically make sense get based two quality wins barely beating 48 arkansas 66 auburn fact win 3 realistically raise 4 spots matter ranked pales fact yes florida offense struggled 14 louisville end year losses one less loss lock lost florida loss put would surprised saw egregious refball coming matches somehow keeps going alabamas favor making committee justified actions
18w6kt1,kfwf5p1,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansasstate', 'arkansas']",took 3 years finally leads playoff
18w6kt1,kfwfz5c,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'arkansasstate']",one favorite things sideline catch opposing sideline wr catch ball full dance routine bounds sideline still gonna wave arms incomplete
