post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvqagy,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",im sure hes good dude someone needs tell quinn get different haircut
16keh7j,k0vw3xv,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",weird voice appear fisher investments ads
1621ag8,jxv31sl,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['colorado', 'aston']",drive confirms thought weekend seasons appetizer hoping close next week chubbed
1621ag8,jxv36yf,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['colorado', 'aston']",melissa mccarthy used likable shes annoying commercial actor
169aftq,jz0vf47,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",one always make abundance commercials painful ps fuck mayhem
169aftq,jz0zodz,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",noob question legitimate reason besides ratings early weeks dont away preseason apcoaches poll cfp rankings make sense starting weeks
169aftq,jz13rgd,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",retinal detachment time great side effect pharmaceutical advertising
169aftq,jz15dxr,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",theyre fireworks food festival near apartment get older dont understood appeal
169aftq,jz1e1yd,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",daniels going hot tub sesh
169aftq,jz1emfk,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",camping world commercial already early contender worst commercial season
16knfug,k0xlxqu,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",amazing much people hate cu irrelevant 20 years know deion deion like operate espn
16knfug,k0xmeoy,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",plenty left would think based fans even 960 csu playing well
16knfug,k0xmoov,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",lot left neutral flairs talking shit cu fans 20 years shit cant hurt us lol
16knfug,k0xnvat,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",dont usually say fuck neutral flairs good lord yalls comments hateful anything deion said
16knfug,k0xoxke,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'aston']",funny think preprime thought would like dudes sub miss irrelevant
