post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
173vhag,k46cnq0,tank job week week six,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery x200b previous winners 1 baylor bears lost 4231 2 nevada wolf pack lost idaho 336 3 cowboys lost south 337 4 minnesota golden gophers lost northwestern 3734 5 ucf knights lost baylor 3635 x200b last week thought going two horse race ucf tech knights hoo boy knights fact calling declare meltdown baylor ultimate tank job year done probably want take back x200b onto week yes still gonna vote yes theres nominees yes completely formality yes happened exactly 831 pacific saturday night kind moment tjotw normally dream fact could say knelt reverence gods hath delivered glorious bounty x200b note ease counting please use carats vote like miamifl thank thanks participating x200b honorable mentions saw usc everybody saw also jimbo fishers intestinal fortitude x200b nominees week 6 x200b arizona wildcats lost usc 4341 hate zona followed plucky finish washington even pluckier effort usc 170 guys steve kerr skipping press conference watch drink margaritas couldnt hang also shoulda gone two first overtime burned colorado burned x200b fresno bulldogs lost wyoming 2419 50 two power 5 scalps belt bulldogs rolled laramie clear frontrunner race coveted group five ny6 berth leave teeth broken limping back california last minute interception halted desperate comeback big boy bowl hopes dashed yet took major hit x200b miamifl hurricanes lost tech 2320 youve least heard canes didnt kneel fumbled gave winning touchdown two seconds left incredible might sound description doesnt even begin justice theres absolutely nothing type havent seen yet need probably need see many times mind youre going watching every college youtube compilation rest life moderation key x200b notre dame fighting irish lost louisville 3320 1713 cards entering fourth quarter notre dames fourth quarter drive chart turnover downs 35 first play interception fumble 26 gonna turnover downs anyways touchdown recovered onside kick ending interception considering offensive meltdown absolute gifts position handed louisville miracle cards got 16 points x200b rice owls lost connecticut 3831 owls 10 point home faves winless huskies outgained uconn 160 yards one two three turnovers put owls 2814 claw back 3128 huskies ripped 59 yard td attempted rice counter resulted turnover 4 rice manage goal pull one score onside kick recovered huskies walk houston first win year x200b san jose spartans lost boise 3527 277 one point smurf voodoo kicked broncos rallied 28 straight could kickstarted sjsus floundering season probably beginning end bowl hopes x200b ucf knights lost kansas 5122 one overused terms sports boatraced people dont use correctly proper boatracing team racing insurmountable lead even though team gets going theres hope possibly catch since actual boat racing lose lane need make pass said ucf got boatraced jayhawks maybe busraced whatever fact end baylor first 31 minutes kansas knights outscored 670 yeesh,"['washington', 'centralwashington']","['austin', 'westernconnecticutstate']",lol chalked shit happens also wyoming really good team even fresno list vote silly miamifl however correct answer cristobal cause loss indefensible
18581f9,kazwqk7,axelrod correct ohio promoted day two years removed fired nfl qbs coach carry momentum tresselmeyer eras two years reality caught osu crossroads comes deciding whether wants remain elite program,nan,"['ohiostate2', 'mountunion']","['texas', 'austin']",serious program doesnt fire guy 567 393 finished top 6 ap poll every single year full season coach urban went 626 392 first 5 years tosu comparison dude obviously born 3rd base ffs else want coach think someone better good luck
18581f9,kazya0q,axelrod correct ohio promoted day two years removed fired nfl qbs coach carry momentum tresselmeyer eras two years reality caught osu crossroads comes deciding whether wants remain elite program,nan,"['ohiostate2', 'mountunion']","['texas', 'austin']",point want harbaugh win national championship leave panthers job tosu fire ryan day hire ryan day
18w6kt1,kfwn5s4,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'austin']",fuck herbstreit blaming milroe two horrible snaps
15j08i1,juymcae,colin cowherd usc playing badgers saturday night camp randall huskies hosting montlake ducks shootout eugene w penn loyalty stuff fade pretty quickly give big games im,,"['michigan', 'fau']","['austin', 'westernconnecticutstate']",colin cowherds low info ass caring brand names theres big fucking surprise
17o0i1u,k7vr193,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'austin']",quarter change clear difference offensive scheme transition away lewis
18t420f,kfclhd5,hill die rooting conference absolutely cringe,born dolphins fan became fsu fan went someone nfl fan first idea rooting rival unfathomable bring bleach ever root patriots,"['floridastate2', 'floridacup']","['austin', 'texas']",undefeated power five teams get college playoffs
179zhkz,k59kg05,clemson247 dabo swinney point dont go undefeated losers youre terrible terrible mindset honestly maybe need lose games lighten bandwagon sometimes bandwagon get little full,full tweet dabo swinney unrealistic expectations fans clemson point dont go undefeated losers youre terrible terrible mindset honestly maybe need lose games lighten bandwagon sometimes bandwagon get little full one good thing going little socalled adversity really find,"['georgia2', 'cfp']","['texas', 'austin']",wanted lose games lighten bandwagon fewer fans goal lose games also good teams go adversity wants go undefeated win 4 straight national championships guy
167l7hn,jyqkv5d,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['austin', 'westernconnecticutstate']",links us folk getting boned spectrum bs
170h4sz,k3kh5uk,tier list every longhorns loss past 25 years,honor red river shootout weekend felt would fun activity go every single longhorn loss lifetime 1998present rank tier list subjective opinion feel free correct comments made egregious mistakes originally attempted pull data online database decided would far entertaining activity go manually taking trip memory lane basking light every glorious loss longhorns last 25 years 99 glorious losses time span luck sooners gods work make nice even 100 losses saturday well start quick easy tiers f c b see losses tiers case losing give immense joy belittle one unique special losses past 25 years putting stier would dishonest wrong however concede infinite sets size losses bring quite level catharsis therefore ranking wins within several subtiers within stier sc sb sa ss ss nbsp sc well start bottom stier losses actually seemed halfway respectable entirely forgettable mostly include games lost close good team like loss 2022 opponent mediocre loss brought bliss fell short delirium take kansas 2016 example dont enough time space discuss depth writing detailed summary games get higher tiers scoreopponent score 1999nebraska622 2000oregon3035 2003washington st2028 2011oklahoma st2638 2011kansas st1317 2012west virginia4548 2014ucla1720 2015oklahoma st2730 2016west virginia2024 2016kansas st2124 2021oklahoma st2432 2021baylor2431 2022alabama1920 nbsp sb next sbtier runofthemill losses stand tier include 724 loss ohio 2006 931 loss tcu 2016 also include losses enjoy losing one biggest rivals unfortunately also means aggies bummer scoreopponent score 1998ucla3149 1999texas aampm1620 1999kansas st1735 1999nc state2023 2006texas aampm712 2006ohio st724 2007texas aampm3038 2010texas aampm1724 2010oklahoma st1633 2010baylor2230 2011baylor2448 2012kansas st2442 2012tcu1320 2013oklahoma st1338 2013oregon730 2013ole miss2344 2013baylor1030 2013byu2140 2014kansas st023 2014baylor728 2015west virginia2038 2016tcu931 2016oklahoma st3149 2021west virginia2331 2022tcu1017 nbsp sa getting losses feel particularly notable either lopsided margin due particularly embarrassing circumstances mistakes made longhorns teams mediocre bad margin defeat humiliating specific games note tier include 41 point loss kansas 1998 fifth largest margin defeat last 25 years losing predeion colorado 2001 big 12 championship lopsided losses mediocre kansas teams 2007 2010 blown rival arkansas 731 2014 bowl losing cal 2015 one point missing extra point less two minutes losing 730 2021 fourth consecutive loss season scoreopponent score 1998kansas st748 1998texas tech3542 1999arkansas627 2002texas tech3842 2006kansas st4245 2007kansas st2141 2010kansas st1439 2010ucla1234 2010iowa st2128 2011missouri517 2014byu741 2014tcu1048 2014arkansas731 2015notre dame338 2015tcu750 2015iowa st024 2015texas tech4548 2017usc2427 2017tcu724 2021iowa st730 2022texas tech3437 2022oklahoma st3441 nbsp ss stier within stier every loss included tier higher well loss tom herman team automatically included tier yknow tom herman whole highlights tier include getting shutout 2004 deep strike got big man crabtree pulls free touchdown red raiders losing 1 point grier wvu mountaineers 2018 4ot loss 2020 getting demolished arkansas 2021 scoreopponent score 2004oklahoma012 2008texas tech3339 2017oklahoma st1013 2017texas tech2327 2018oklahoma st3538 2018west virginia4142 2019lsu3845 2019tcu2737 2019iowa st2123 2019baylor1024 2020tcu3133 2020iowa st2023 nbsp ss final tier ones know love true epitome longhorns misery past 25 years love every one losses unique way let us reminisce getting absolutely obliterated 2000 chris simms major applewhite cares theyd gotten flattened either way roy williams superman need say thought 2000 bad look 52 point demolition suffered 2003 ou largest loss margin entire 25 year span losing national championship 2009 end run success dawn dark days longhorn blowout losses 2011 1755 2012 2163 could forget pair losses kansas 2017 2021 ill leave losing big 12 championship 2018 featuring ridiculous catch grant calcaterra tre brown sacking sam ehlinger endzone safety ceedee lamb absolutely cooking defense 2019 en route 3427 victory course could forget fans wanted caleb delivered 2021 5548 victory scoreopponent score 2001oklahoma314 2009alabama2137 2016kansas2124 2021kansas5657 nbsp well rounds hope enjoyed trip memory lane heres hoping another loss gets added list weekend nbsp tldr boomer sooner sucks,['oklahoma'],"['texas', 'austin']",incredible work one petty posts history subreddit truly congratulations
17oeymn,k7y1i45,complain team,vent friendly place,['rcfb'],"['texas', 'austin']",good offensively overall bad inside red zone
162828r,jxw1e94,umass new mexico 700,new mexico mexico location new mexico aggie memorial time 700 watch tv espnlespn odds spread nmsu 7 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisville', 'army']","['austin', 'houston']",lfg better damn thunder forecast
162828r,jxw3ucn,umass new mexico 700,new mexico mexico location new mexico aggie memorial time 700 watch tv espnlespn odds spread nmsu 7 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisville', 'army']","['austin', 'houston']",crazy im witnessing real life usually guaranteed nmsu umass week 0 id schedule ncaa 14 im rebuilding one programs
162828r,jxwb006,umass new mexico 700,new mexico mexico location new mexico aggie memorial time 700 watch tv espnlespn odds spread nmsu 7 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisville', 'army']","['austin', 'houston']",bruh cmon man dont ruin like lightning ruined na mercer
162828r,jxweczf,umass new mexico 700,new mexico mexico location new mexico aggie memorial time 700 watch tv espnlespn odds spread nmsu 7 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisville', 'army']","['austin', 'houston']",switch utepjville st 2 mins left 3 pt
162828r,jxwrer0,umass new mexico 700,new mexico mexico location new mexico aggie memorial time 700 watch tv espnlespn odds spread nmsu 7 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisville', 'army']","['austin', 'houston']",congrats minutezonans time decide night cap
16yu7qk,k3am4qb,maryland unranked 50,hard time believing 50 sec team marylands schedule wouldnt top 25 lots speculation going try keep big 10 let 2 playoff teams know isnt committee past snuck teams like 75 miss st 24 25 give sec playoff contenders extra data point one could convince 50 sec team wouldnt ranked marylands schedule,"['ohiostate', 'arizona']","['texas', 'austin']",maryland literally 26 team ap poll 9 fewer votes louisville currently 50 sec team comparable schedule kentucky ranked 20 espn fpi maryland 122 schedule far kentucky 124 least played good ish team florida fpi like 39 best team maryland played indiana virginia outside top 80
172das0,k3wenmz,330,amftexasamtexas location amftexasam kyle time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['austin', 'westernconnecticutstate']",im convinced dj durkin owes money mob require runs 3 man rush x amount times per else would decide constantly shoot nuts
16ijbf5,k0klnw4,jay norvell slams deion sanders saying talk grown ups take hat glasses,nan,"['floridastate2', 'floridacup']","['austin', 'westernconnecticutstate']",dipstick realize multiple pictures interviews whis visor
167pwk2,jyrfx5p,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['austin', 'westernconnecticutstate']",kind like hawaii playing still going bigger one replace aloha one going slowly expanded forever home
167pwk2,jyrmj9v,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['austin', 'westernconnecticutstate']",oh bc waiting call holding instead
167pwk2,jyro48c,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['austin', 'westernconnecticutstate']",damn think guy wide open middle
167pwk2,jyro6dc,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['austin', 'westernconnecticutstate']",crew pulling advert behind fg needs get together
167pwk2,jyrrspj,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['austin', 'westernconnecticutstate']",spectrum running local ads like didnt stab heart
167pwk2,jyrswir,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['austin', 'westernconnecticutstate']",feel like chang hawaii going right direction make many bad mistakes
167pwk2,jyrw4ne,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['austin', 'westernconnecticutstate']",mother fucker get stickum guys like kid little giants
