post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvwfiz,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",lyndon b johnson pull flop table drive
16q6omx,k1w808r,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'austinpeay']",wow poor coaching final drive shit call ot good job dabo
183rfxa,kaqv72e,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'austinpeay']",worst call ive seen season holy shit
183rfxa,kaqvwu7,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",dont really think hold defender jumped inside end around wasnt going shot make tackle anyway pretty damn soft thats make facemask guess even
183rfxa,kaqzno8,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",taken ran would gotten first really try running qb much
183rfxa,kar2ukp,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",ball clearly gets yellow line knee thats issue ball
183rfxa,kara7s1,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",chris davis gave td last minute national championship thats choose remember
183rfxa,karij3s,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",hes refs tryna cook call lol
183rfxa,kariv02,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",missed calls 1st half 2nd half grotesquely 1 sided
183rfxa,karlbt9,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",feel like ball got line gain
16qbmww,k1wgl07,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'austinpeay']",well youre gonna good offense better good special teams
