post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17yjuvx,k9ulqhq,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",5 minutes left still trying establish run
1896p8u,kbpwal4,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",watches commercials compelled go buy product npc activities
188qre7,kbn5met,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",dont understand vegas didnt respect washington like justify 95 like saying washington better squad power ratings wise definitely deserved way respect 10 point dogs neutral
1689xwn,jyv4fsf,rice 330,ricefricerice location texasftexas dkrtexas memorial time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texas', 'harvard']","['texas', 'avila']",fans need chill 3 scores almost half left
17xw6oo,k9qjtan,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",hope deion makes colorado baby build fuck everyone else
17xw6oo,k9qkfsw,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",funny washington going fighting irrelevance colorado going power 5 conference values fucked
16a716p,jz610d8,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['texas', 'avila']",huh controversial call review perfect time stuff commercials throat
16a716p,jz618n3,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['texas', 'avila']",angle shown sad took long review get ad time
17g8n8r,k6lowvk,michigans connor stalions texted stole opponent signals tvand vision wolverines,nan,['nagoya'],"['texas', 'avila']",love hate connor stalions sounds like dude plan id love read damn 600 page document
18u1f6v,kfidqh0,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",kinda crazy guy d2 american single scholarship like reaching level youre aa level easy feat
189brft,kbqm0ji,400,location mercedesbenz time 400 watch tv cbslcbs odds spread uga 5 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",andrew shut 2 hand throw shills dub
16e7v1g,jztyz0n,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['texas', 'avila']",shouldnt free play contact made
16e7v1g,jzu02ja,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['texas', 'avila']",go commercial break watching 3 plays fucking serious
16e7v1g,jzu128c,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['texas', 'avila']",know people getting annoyed hunter glazing dont act like wouldnt get action played team
16e7v1g,jzunof0,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['texas', 'avila']",im glad colorado beating piss outta nebraska talkin shit damnit
189go22,kbrqcm1,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'avila']",taking jawhar jordan louisville
16ys842,k3bnonw,blind side author michael lewis michael oher lawsuit watching change behavior happens players get hit head run problems violence aggression,lewis recalled oher shy young boy found hard square memory oher behind lawsuit watching change behaviour told happens players get hit head run problems violence aggression wouldnt surprise lewis said seeing confluence ohers history campaigns stoke claims lawsuits like perhaps lawyer ohers figured time ripe sue tuohys lewis speculated perhaps oher realised people would get behind makes accusations new interview guardian,"['notredame', 'buffalo']","['texas', 'avila']",ok mockery anyone suffers cte wtf every change behavior player cte root cause maybe oher fed bullshit wanted something
