post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
189wh00,kbuwjya,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['bahamas', 'transferportal']",would think would reasonable tie breaker sadly three playoff worthy resumes cant say one team really undeserving
16wbxrj,k2wje0f,virginia boston college 200,boston college location boston alumni chestnut hill time 200 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bahamas', 'gcac']",someone brutal last 60 seconds clock
1797hob,k58z7ux,tank job week week seven,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery x200b previous winners 1 baylor bears lost 4231 2 nevada wolf pack lost idaho 336 3 cowboys lost south 337 4 minnesota golden gophers lost northwestern 3734 5 ucf knights lost baylor 3635 6 miamifl hurricanes lost tech 2320 x200b last week still feels kinda weird start every year figure red river shootout winner going take week 6 vote didnt even merit nomination anyways wasnt unanimous people guy vote notre dame ucf kentucky anyways miami full stop greatest tjotw time got argument never ever topped maybe doesnt mean going stop trying x200b onto week reminder wanted give ucf ultimate week 5 thats never going stop funny anyways glorious bountiful feast laid us lets get x200b note ease counting please use carats vote like team thank thanks participating x200b honorable mentions south carolinas donut dogs fact south carolina general georgias defense giving 20 vandy navy charlotte memphis nut punch ohios lemon niu byu nc south florida got shelled games much closer ulm couldnt hold late 209 lead x200b nominees week 7 x200b boise broncos lost colorado 3130 blown leads theme week boise went turbomode spectacular 21point meltdown evoked memories legendary 43 years ago 1980 holiday bowl quite egregious byu needed 233 make comeback smu winning hail mary 416 still impressive meltdown team 3010 bag raises question broncos 34 still play wyoming fresno air force year boise finally misses bowl x200b colorado buffaloes lost stanford 4643 290 half 1100 east coast cfb nation went bed even bothered one first place stanford whod already lost sacramento beaten hawaii magically turned mid2010s stanford roared back 367 second half force overtime colorado decides play offense completely negating advantage going second backfires hard stanford picks shadeur sanders heroball sets goal end shocker x200b louisville cardinals lost pittsburgh 3821 lousvilles time theyd pummeled notre dame favorable schedule charlotte perhaps destiny side even led 2114 half course 14 pitt rattles 24 consecutive points whatever popular saying cards eating guess blue vase feelings worked x200b maryland terrapins lost illinois 2724 yup october x200b miamifl hurricanes lost north carolina 4131 one big questions entering week miami would respond previously mentioned alltimer tech answer pretty well half tar heels went 240 run miami offense sputtered two turnovers negativeyardage threeandout canes claw back couple late tds damage done x200b spartans lost rutgers 2724 start fourth quarter 246 lead ball eight minute mark 2724 thanks scoop score 12play 73 yard td drive 4 minutes botched kickoff immediately led another scarlet knight touchdown nine seconds later rain pouring piscataway washed hopes sparty turning season around drain x200b usc trojans lost notre dame 4820 hey credit much maligned trojan defense held irish 251 yards course still couldnt stop notre dame hanging nearly half hundred aided abetted offensive meltdown included three caleb williams picks scoop score oh 99 yard kickoff return blow back open looked like usc getting together make run x200b washington cougars lost arizona 446 desert voodoo coming north x200b west virginia mountaineers lost houston 4139 imagine 51 wvu loss penn would sit rankings right unfortunately imagining miracle 50 yard 4th 9 touchdown give eers lead 12 seconds left promptly nullified houston hail mary could probably argued chaos happened thursday egregious started let purgers house wvu theres blood everywhere,"['washington', 'centralwashington']","['bahamas', 'gcac']",boise takes colorado cu definitely nuclear meltdown boise even worse hope win week spite cu collapse gaining way notoriety
188qre7,kbmq57l,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'bahamas']",auburn fans happens bo nix focused fun
172755e,k3v6p27,whats yalls favorite rivalry doesnt involve school,every year tune red river rivalry matter great years rendition feels special two teams leaving sec every play matters exciting matchup two college footballs premier programs hands favorite rivalry involve uga also enjoy iron bowl civil war yall,['rcfb'],"['bahamas', 'gcac']",egg bowl downright hilarious manages devolve absolute lunacy every single season great one feel history one badass trophies sport always seem play crazy games come wire electric environment
17latt0,k7fq7dw,surveyed 50 fbs coaches asked assess seriousness michigans alleged actions rates wide spectrum dubious behavior sport view wolverines recent success much,1how serious almost half coaches surveyed 46 percent rated 5 average score among 50 coaches 42 two ranked 3 easy call plays know defense said pac12 head coach huge deal someone went another filmed signals thats spygate stuff flying around country crazy 2 punished complicated question easy answer coaches ninetyfour percent believe punished theres proof offcampus opponent scouting steal signals agreed serious integrity issue big ten struggled determining fitting punishment given lack recent precedent think fired stuff one group 5 head coach said stuff like violate ethics sportsmanship thats horrible 3 jim harbaugh plausible deniability day big ten confirmed ncaa investigation underway harbaugh issued statement pledging full cooperation denied knowledge illegal signal stealing denied directing anyone engage offcampus scouting coaching peers buying seventy percent coaches surveyed among 13 head coaches polled eight believe harbaugh plausible deniability staffer whose official role working recruiting department involved wolverines coordinators sidelines red flag 4 michigans success since 2021 owed part illegal signal stealing seventyfour percent believe illegal signal stealing played role michigans rise one coach pointed wolverines utilizing intel turn powerhouse also enabled recruit better bluechip high school recruits transfers program atop big ten factually true look record changed since started said aac head coach hell coincidence isnt said pac12 quarterbacks coach chuckle quick summary article poll numbers want read,['ohiostate'],"['bahamas', 'gcac']",fbs head coaches supposed say nah biggie time
17xw6oo,k9qam83,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'bahamas']",theres amazing video promoting wazzu 90s saying bring family etc anyone link
17myplv,k7oue0d,team watchcheer zero connection,dad tennessee alum thats obviously main team talking day mentioned surfs rice message boards fun kind surprising know rice message boards also watches service academies whenever served personally love kansas even leipold liked logo uniforms liked rooting underdog white helmet favorite,"['mississippistate', 'santamonica']","['bahamas', 'gcac']",zero affiliation whatsoever think beaver cute jonathan smith one favorite coaches osu pac2 martyr makes easier root
16w91v4,k2vmo12,penn northwestern 1200,penn location ryan time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bahamas', 'gcac']",frog race pretty uninspiring offensive playcalling fourpossession underdog gifted ball opponents 11 start
18u1f6v,kfihc95,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'bahamas']",osu bama fans delusion
