post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ktcfe,k0y28sh,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['michigan3', 'bakersfield']",stupid penalties abandoning pressure defense worked switch soft prevent defense waaaaaaaaaay soon colorado 100 deserved lose despite outplaying colorado shout shedeur making big clutch throws though guy lot fun watch im really gonna miss pac12 dark
183rfxa,karn5ge,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",actual fuck let wr get behind open well
1785w9p,k4xicsz,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['michigan3', 'bakersfield']",realistically see washington absolutely boatracing usc next month said given badly pac12 loves cannibalize could totally see beating usc usc beating washington
17nng69,k7ttb3d,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",need one yard would qb run shotgun
17nng69,k7txxzw,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",note self kansas states playcalls redzone big moments awful
17iov6h,k6w4mlf,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",definitely think lame penalty ive also seen refs throw flag quite bit year couple today alone youre still standing guy looking taunting get flag dont really sympathy
18w6kt1,kfw4ss4,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",massively overthinking going three straight passes open need settle fuck
18w6kt1,kfw6huc,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",hats thats good run blocking ask td
18w6kt1,kfw9te4,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",probably running kicker wont argue
18w6kt1,kfwcnom,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",bama hasnt able stop michigans rbs yet maybe try keep feeding rbs bama prove something
18w6kt1,kfwf5ko,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",fucks sake team go 5 minutes playoff without shooting fucking foot
18w6kt1,kfwn591,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",think catch close wouldnt shocked stands called
18w6kt1,kfwnu4i,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",teams several really egregious holds refs arent gonna call guess im ok long consistent dont know else say deal
18w6kt1,kfwogio,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",teams running ball well yet calling many pass plays yes im aware im saying michigans two tds passes really weird
18w6kt1,kfwrbdh,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",hope sherrone moore paying attention bama run working fucking run
18w6kt1,kfwu8li,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",harbaugh providing perfect audition tape chargers job showing many ways lose extremely winnable
18w6kt1,kfwufkk,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bakersfield']",much drives crazier watching defender try strip ball give additional 510 yards process
