post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwc0mv,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",lets get word salad little clearer next time
16ei5hq,jzwce75,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",wtf last two plays backwards fumble pass pass
16ei5hq,jzwe3vb,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",whered ball go dont think ever came
16ei5hq,jzwf4l5,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",stared guy side
16q6omx,k1vb1gk,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",let get straight dabo would rather take walk kickers havent touched year use transfer portal
16ktcfe,k0y3zs6,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['baltimore', 'prattcc']",30 yards took take hunter pi cheap shot fuck kid fort collins
1785w9p,k4xhy1j,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['oklahoma', 'baltimore']",dont need fucking fraud big dick dillon solos respectfully
18uo86j,kfmmfx6,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['baltimore'],damn florida losing bigger marking tcu last year going break record largest bowl win college history sheesh
18uo86j,kfmwfz8,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['baltimore'],man crazy deep qbs elite programs like georgiabamaosu gunner barely played season 3rd string qb yet still looked part looked great elite school fsu albeit garbage time qb rooms said programs cfp era ohio
17iov6h,k6w49ju,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",lmao ref didnt want take responsibility fuck said apparently
17iov6h,k6w6p8e,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",back break show close bunch bud lights without commentary
189wh00,kbtvakh,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['ohiostate', 'baltimore']",lmao orvolsky makes whole point backup qb puts massive disadvantage panelist looks rg3 says quarterback important missing youre starting qb
189wh00,kbunmls,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['ohiostate', 'baltimore']",someone explain wait 25 hours rest rankings come
189wh00,kburz0t,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['ohiostate', 'baltimore']",thought committee done pissing fsu fans clemson 22 tennessee 21 louisville 15 lsu 13 even working backwards justify logic
189wh00,kbut1qu,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['ohiostate', 'baltimore']",holy shit know tulane win impressive really couldnt overlook 130 really supposed respect clown
183w2c9,kasfrvh,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",holy fuck thats hit havent seen 10 years
1621ag8,jxv4x0n,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['ohiostate', 'baltimore']",wtf camerawork cameraman little ahead script following receiver line ball even thrown
17sd1ye,k8p29p3,sources big ten expected discipline inperson scouting ongoing sign stealing investigation prohibit jim harbaugh sideline conclusion regular season allowed coach week,,"['georgia', 'cfp']","['ohiostate', 'baltimore']",finally whether agree suspension punishment think agree nice finally actual story talk rumors
169aftq,jz0tev3,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",sure take timeout trying get offsides call eat 5 yards still kick chip shot
169aftq,jz0xfqu,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",really curious age range girls golden bachelor going creepy old guy going bunch 20 year olds cute old people love
169aftq,jz0xzud,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",wtf long need hold penalty specifically say holding penalty
169aftq,jz0y3g4,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",exactly holding affecting play literally lsu player running past
169aftq,jz13zpz,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",holy fuck horrible reffing slid 3 yards guy launched weight wtf rules analyst thinking think refs wrong
169aftq,jz14u4w,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",looks like either shit horrible crotch rot
169aftq,jz19ajr,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",glad going get first 5 hour year
169aftq,jz1bnma,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",blow god damn whistle dont want hit
169aftq,jz1ezod,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'baltimore']",alright bill lets get excited knee
15qyphi,jw9qtnf,2023 ap top 25 preseason poll,overreactions,['rcfb'],"['oklahoma', 'baltimore']",thank ranked 30 spots distracting everyone us ranked 29 spots
