post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17ijvyn,k6v7yl7,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",ducks youve class act man obviously onesided gotta hand best cfp pac12 championship year clock struck midnight today
17ijvyn,k6vgh96,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",im starting feel groundswell momentum reason mormon jesus prompting
17ijvyn,k6vi9an,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",dont know even thought moment could beat ducks fucking delusional understandable since usc exposed utter division iii garbage today
17ijvyn,k6vjxk6,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",even uninjured roster way fucking hell stop team really think rising could outgunned nix today relatively healthy defense ffs
17ijvyn,k6vklf4,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",brb pulling uncle rico watching 6220 w eugene 2015 dont drink death today
17ifk69,k6uyzi3,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",unbiased observer got say upset served momentum kus side
17t1su5,k8uelzp,utah washington 330,utahfutahutah location husky time 330 watch tv foxlfox odds spread wash 9 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",isnt utah team got destroyed ducks dey
17t1su5,k8ugmxh,utah washington 330,utahfutahutah location husky time 330 watch tv foxlfox odds spread wash 9 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",point miserably drunk halftime glimmer hope moment though
17t1su5,k8ut5m8,utah washington 330,utahfutahutah location husky time 330 watch tv foxlfox odds spread wash 9 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",nearly dirty thought would
17t1su5,k8uw2gl,utah washington 330,utahfutahutah location husky time 330 watch tv foxlfox odds spread wash 9 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",ah huskies trying pull defeat jaws victory see
17t1su5,k8uzxwv,utah washington 330,utahfutahutah location husky time 330 watch tv foxlfox odds spread wash 9 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'barstool']",washington trying snap defeat jaws victory dont know else describe
16zrwgs,k3h3mbo,week 6 matchup preview red river shootout 10 sooners 1 longhorns,10 1 texasftexas saturday october 7 1200 eastern cotton bowl dallas watch abclabc odds texasftexas 65 pts total points 600 alltime series red river shootout texasftexas texasftexas met 118 times since 10101900 teams last met 361 days ago 10082022 series wins 50563 texasftexas longest streak continuous meetings 94 19292022 texasftexas recent meeting 2022 series last 5 meetings tx049 tx5548 tx5345 tx3427 tx3927big 12 championship series comparison data via week 5 5020result 1arkansas 3210w 730ricefrice 3211w 3710 2smufsmu 3210w 4120w 3424 3tulsaftulsa 3210w 4110w 3110 2302w 2311w 386 5iowa statefiowastate 2311w 4111w 4014 rankings reflect current rcfb injury report data scraped 20231004 100011 dj graham iiwrout indefinitely undisclosedtue sep 5graham idle surgery repair unknown issue air return lineup phil picciottilbout season undisclosedwed sep 20picciotti sit rest 2023 season unspecified ailment jayden rowedbout season undisclosedwed sep 20rowe miss remainder season unknown injury kaden helmsteout indefinitely kneemon oct 2helms miss extended period recovering meniscus surgery davis bevilleqbques sat kneemon oct 2beville held previous four games mcl injury uncertain whether take saturday versus kade mcintyreteques sat undisclosedmon oct 2mcintyre absent past four matches uncertain ailment air face saturdays tilt justin harringtondbout season kneetue oct 3harrington shut remainder 2023 season acl injury injury data lifted texasftexas injury report data scraped 20231004 100011 kristopher rossdllate oct undisclosedwed sep 20ross expected miss three four weeks unspecified injury ryan wattsdbques sat lower bodytue oct 3watts removed previous lowerbody issue unclear suit saturday versus ja tavion sandersteques sat undisclosedmon oct 2sanders exited last unspecified injury unknown take saturdays tilt cole hutsonollate oct kneetue oct 3hutson sidelined knee injury projected miss three four weeks injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['georgia3', 'northgeorgia']","['usc', 'barstool']",gets caught looking ahead houston next week lol pulls ahead early makes close one second half doesnt quite get close one
17sx6l6,k8t7jn0,megathread jim harbaugh v big ten conference,onslaught quotes developments speculation relating situation jim harbaugh program big right please keep rumors discussion reactions harbaugh news substantial developments relating suspension may included separate posts mod discretion,['rcfb'],"['utah', 'barstool']",casual fan completely neutral outside big ten perspective simply understand anyone justifydefend harbaughs oversight cheating scandal fans would believe underling making poverty wages acting alone buying tickets games dime somehow gathered intelligence used call playing coaches used effect outcome look get religious grew mormon asking logical questions listening devout mormons explain themselvestheir reasoning fastest way believing bullshit religion however im opposed hearing best arguments harbaugh program punished immediately actions affecting play today missionaries lets hear best arguments date im open changing mind
