post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172dat6,k3wp529,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",fuck happened show 50 seconds 3rd quarter two touchdowns happened
172dat6,k3wqhrj,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",well thats first time ive ever seen player begging targeting call
172dat6,k3wr9sd,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",virginia tech hasnt allowed team convert 4th season well thanks
172dat6,k3wrrc0,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",mean think got thats generous spot
172dat6,k3wsin4,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",huh dont really follow stuff doesnt kinda stretch definition atlantic coast bit
172dat6,k3wst61,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",tripped player gone another 15 least
172dat6,k3wwe4j,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",reviewed right dont think got come close looked least
172dat6,k3wwwyn,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",alright yall podium f1 race tomorrow
169aftq,jz1jemz,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bath'],dont like play call dont like brian kelley
18s6r9q,kf5h8bb,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",two tickets didnt go rain anyone want free
18s6r9q,kf6d8zx,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",id go bowling didnt cost damn much
18s6r9q,kf6gk3u,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",make larger pizzas shaq commercials dont look tiny
18s6r9q,kf6hrg1,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",drones giving heart palpitations hes holding ball
18s6r9q,kf6il2g,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",take shot every time commentator says feels like lane
18s6r9q,kf6ky6t,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",next years military bowl brought big oil
18s6r9q,kf6nu5u,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",vt wvu mayonnaise bowl would hype missed opportunity
16ql0uy,k1y32bv,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bath'],bad caleb williams dice colorado defense next week
183rg2e,kaqrq15,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",miss facemask almost broke neck
183rg2e,kaqyb98,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",think 3 uva fans probably leaving early
183rg2e,kaqz36a,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",get ronde back talking got tfl immediately interception
183rg2e,kar6im5,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",one asked fuck justin fuente allowing us lose win streak uva
183rg2e,karaais,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",random fact interstate exits numbers vt uva 118b 81 64 respectively
183rg2e,karfxsg,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",colandrea sticks uva seasons feeling hes going really good
183rg2e,kari0ib,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",even refs checked dont know
183rg2e,kari8s4,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",holy shit kick wish consistent could pro potential
183rg2e,karkryx,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",dont know cte point im afraid ask
177vtxr,k4vvbho,wake forest virginia tech 330,wake forest virginia tech location virginia lane time 330 watch tv acc networklaccn odds spread vt 1 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",espn player gets injured roll
177vtxr,k4w1fk4,wake forest virginia tech 330,wake forest virginia tech location virginia lane time 330 watch tv acc networklaccn odds spread vt 1 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'bath']",guy mullet trying pick hokie moms
