post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw3ugu,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'bcs']",bama needs hire brian ferentz hell probably available december
16qd8l6,k1wa1qo,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['floridastate2', 'bcs']",wide left bobby dadgumming ass lets go noles
172i5sr,k3x9o66,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'bcs']",espn fucking poverty goodness give money
18wbuu4,kfxfn8m,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'bcs']",dudes went braindead soon homie muffed punt
18wbuu4,kfxs3th,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'bcs']",bro said fuck nah im gon tape
18wbuu4,kfxsmw1,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'bcs']",fuck anxiety high taco bell commercial
18wbuu4,kfxxxbm,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'bcs']",lmao bruh say youre going review instead waiting everybody lines
18wbuu4,kfxxyp6,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'bcs']",theres many garbage clock rules hell option ten second run makes zero sense robbery
16kktkx,k0xe7bj,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texastech', 'bcs']",letting everyone know byuarkansas bonkers
16kktkx,k0xev1w,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texastech', 'bcs']",cincinnati lost home miami oh conference ass
16ktcfe,k0y58bn,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['floridastate', 'bcs']",commentator saying believe close win shows unbiased broadcasting ive come expect espn
17t7o6c,k8w1j7d,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'bcs']",fsu miami worst day acc officiating ive ever seen ive seen doozies folks
183rfxa,kaqtof5,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'bcs']",yep joever cant get pressure talent discrepancy title contender g5 school right
183rfxa,kaqyp5u,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'bcs']",two blown calls drive already 1 bond stepped bounds without touched didnt reestablish bounds catching first 2 intentional grounding would called 95 cfb teams
183rfxa,kaqzygw,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'bcs']",bust another 50 yard run hard
