post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qd8l6,k1w89t7,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['florida3', 'bluealliance']",teams fought valiantly end one could snatch defeat jaws victory
18wbuu4,kfxc4vt,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",bevo dubs meet forgone part ceremonies last time
18wbuu4,kfxev7i,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",iss movie looks bad know im going blast watching take two edibles
18wbuu4,kfxi27g,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",ill never understand tradition starting sugar bowl 845 est like
18wbuu4,kfxi91s,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'bluealliance']",great penix bad ewers looked tie half great result
18wbuu4,kfxyaco,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",washington wants choke bad sark saying
18wbuu4,kfxyzou,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",ive never seen hc chill clinched nc berth
16q6omx,k1vze0v,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",never thought id rooting side side clemson man
16q6omx,k1w54dq,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",thats happens hype kid past 10m
16q6omx,k1w6of7,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",im laughing know fsu going win bullshit
16awtio,jz9znxf,former president trump attend saturdays,removed,"['michigan', 'fau']","['texas', 'bluealliance']",hello review booth need find 13 points
1728e91,k3vl7hd,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",player also fantastic lacrosse player maryland thing ive heard
1728e91,k3vmpk8,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",yeah im sure ryan day like ive enough maryland defense blow coverage
16qmian,k209328,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],"['grandvalleystate', 'bluealliance']",funny 0 points fact brian job absolutely disgusting im even fan literally corruption highest paid public employee nothing done legally brian kirk dignity would stepped long ago instead continue rob university giving contractual escalator probation deserves better corrupt family
18uo86j,kfmicdm,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",dont think every opt worth average 2 points
18uo86j,kfmknwl,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",acc counter sue fsu lack earnest competition billable hours stay winning
18uo86j,kfml5qs,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",filling oranges bowl start hanging players put trophy bus
18uo86j,kfmlv1q,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",fun fact orange bowl use florida oranges rather navel oranges california due better presentation color honestly disgusting certified florida man
18uo86j,kfmm4mo,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",looking back definitely lock century
18uo86j,kfmmb3f,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",whoever bet u05 punt uga something like 1000 pissed rn
18uo86j,kfmmjdr,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",yeah fsu beat us least didnt get embarrassed bowl
16k9n25,k0v9g1c,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",admittedly watch bc chance upset fsu miami im annoyed bc fans
16k9n25,k0vkkx4,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",idiotic kick fg worked lets go
16k9n25,k0vkqas,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",gotta love bc qb making running motion coach fsu defense still couldnt stop
16k9n25,k0vlhcc,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",bc master class run 5m time one drive incoming
16k9n25,k0vmkyd,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",god bounds line blue ball generator
16k9n25,k0vmzbu,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",lose championship caliber teams comment going fantastically memed
189wh00,kbu4kg6,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['grandvalleystate', 'bluealliance']",fsu gonna leave acc play right espns hands smh
18w6kt1,kfw4l9n,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",ik im behind idk abt michigans arrangement national anthem sounds way sped
18w6kt1,kfw56z2,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",resisting urge bet props gets weird quick like
183w2c9,karictn,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",got say dont particularly care florida university students alumni
183w2c9,karkykb,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",win get playoffs
183w2c9,karlctz,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",start first mag boch 66abv go coors
183w2c9,karnko6,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",gary creaming crying knowing penultimate time jerk
183w2c9,karrzuv,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",floridafsu right none dicktugging shit pull unadulterated sickos
183w2c9,karuabh,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",think arm helmet awful call
183w2c9,karur10,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",clusterfuck brought acc refs acc refs isnt us make sure
183w2c9,karyjc3,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",way analytics say go espn analytics say go
183w2c9,kas1k9w,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'bluealliance']",ball moves little prolly gonna called catch
183w2c9,kas41rv,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",still feel confident fsu offense able produce need run throats though get cute
183w2c9,kas8b68,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",wanted td ill take points back top
183w2c9,kas8k5g,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",saying billy doesnt deserve criticism swear people dont realize simply arent good team talent young best take points hope best
183w2c9,kasbskc,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida3', 'bluealliance']",im big napier guy play calls like indefensible
