post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
184dt9f,kauj5ge,complain team,vent friendly place,['rcfb'],"['oklahomastate2', 'bombsquad']",even though wild roller coaster ride im going complain team making big 12 championship
18akxkb,kbydyll,star qb dillon gabriel enter transfer portal,,['lsu'],"['oklahomastate2', 'bombsquad']",thought team portal issue
17sdfue,k8p3cgt,big ten conference announces violation sportsmanship policy university program,nan,"['ohiostate2', 'pennstate']","['oklahomastate2', 'bombsquad']",finally got movement big ten turn
190y1iq,kgrnqi9,fcs championship south dakota montana 200,south dakota dakota location toyota time 200 watch tv abclabc espnlespn odds spread sdsu 14 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahomastate2', 'bombsquad']",going enjoy last two games much possible
1621ag8,jxuzin7,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['oklahomastate2', 'bombsquad']",choosing cfb outdoor wedding today going 103
1625rls,jxvq0cl,utep jacksonville 530,utepfuteputep jacksonville location jacksonville burgesssnow time 530 watch tv cbs sports networklcbssn odds spread utep 2 overunder 540 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia', 'georgiastate']","['oklahomastate2', 'bombsquad']",nice prep run weekly gauntlet watching
1824anr,kagbzd1,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['oklahomastate2', 'bombsquad']",people hard time cooking turkey disregard internal temperature ways properly prepare turkey fried spatchcocked smoked spatchcocked roasted
15i50ve,jus5aif,washington join big ten leave pac12,nan,['georgia2'],"['oklahomastate2', 'bombsquad']",giant smokescreen morning leverage plays washington pac 12 big ten
15i4lvq,jus4yk5,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'bombsquad']",whether cu buffs fans wanted leave stay pac im sure agree nice part wild circus last week
16bovkg,jzel4nq,week 2 matchup preview 14 longhorns 4 crimson tide,14 texasftexas 4 alabamafalabama saturday september 9 0700 eastern bryantdenny tuscaloosa watch espnlespn odds alabamafalabama 70 pts total points 545 alltime series texasftexas alabamafalabama texasftexas alabamafalabama met 10 times since 11181902 teams last met 361 days ago 09102022 series wins texasftexas 712 alabamafalabama longest streak continuous meetings 1 20222022 alabamafalabama last 2 meetings 20092022 series last 5 meetings tx1920 ca2137bcs championship tx1412cotton bowl tx1713cotton bowl fl2117orange bowl series comparison data via week 1 weektexasftexas 1000result 1ricefrice 0100w 3710middle 0100w 567 rankings reflect current rcfb texasftexas injury report data scraped 20230906 100014 cj baxterrbprob sat ribsmon sep 4baxter exited last contest due rib injury likely play saturday injury data lifted alabamafalabama injury report data scraped 20230906 100014 emmanuel henderson jrwrout indefinitely hipmon sep 4henderson jr idle hip injury severity ailment unknown injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['texasam', 'alabama']","['oklahomastate2', 'bombsquad']",excited see plays teams gut says
16ikom7,k0k5sil,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['oklahomastate2', 'bombsquad']",lincoln riley cant quit fans fans cant quit lincoln riley insert broke back mountain meme
1629jdu,jxwk3rf,san jos usc 800,san jos jos uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv pac12 networklp12n odds spread usc 31 overunder 665 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['sanjosestate', 'mwc']","['oklahomastate2', 'bombsquad']",tied 7 took dog short walk 217
16oi51f,k1knb6k,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['oklahomastate2', 'bombsquad']",hope liver ready exercise saturday demand
15gfjql,juif1t4,group big ten presidents begun exploratory discussions expansion light pac 12 uncertainty industry sources tell yahoo sports focus possibly adding washington move 18 members cal stanford reach 20,nan,"['georgia', 'cfp']","['oklahomastate2', 'bombsquad']",big ten starting smell blood water
