post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172jjq9,k3xfmpc,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'bostonuniversity']",think saw taylen evaporate portal play
172jjq9,k3xj2a1,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'bostonuniversity']",cant wait post interview answer mad dog gets pulled midway great drive wtf avalos
172jjq9,k3xlacy,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'bostonuniversity']",mad dog nearly got split half right jesus
172jjq9,k3xxiom,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'bostonuniversity']",wow fuck aaron taylor fucking asshole
16ei5hq,jzvy617,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'bostonuniversity']",holy shit thats unreal ball catch tops
16ei5hq,jzw3s3s,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'bostonuniversity']",milroe one read take run qb
16ei5hq,jzwgqqv,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'bostonuniversity']",commemorate fact started ideal 7pm love eyes arent sore yet
18wbuu4,kfxbutz,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bostonuniversity', 'buffalo']",youre returner washington one job give ball penix thats
18wbuu4,kfxfnna,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'bostonuniversity']",fake go 4th might annoying play gotta think way get rid rule change
18wbuu4,kfxukfs,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bostonuniversity'],appreciate uw sticking short pass plan utilizing secondary option run theres much time ideally get three minutes hit safe goal would
18wbuu4,kfxv18f,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bostonuniversity'],dont know dont run touchdown great still two score timeout 40 seconds well worth assuming hit kick
18wbuu4,kfxv7xa,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bostonuniversity'],ive thinking 15 minutes mario bailey hitting heisman pose excited find fellow olds understand
18wbuu4,kfxv9wl,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",bet washington win natty detroit cleveland superbowl still alive win 10k
18wbuu4,kfxwwnn,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bostonuniversity'],like six yards kneel
18wbuu4,kfxx6x3,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bostonuniversity'],hit return guy hell
18wbuu4,kfxy2bo,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['bostonuniversity'],unbelievable tension cant even imagine like florida fan right
16q6omx,k1w1bat,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bostonuniversity', 'notredame']",man thankful good today packed top tier games great way kick gonna drinking long night fall
16q6omx,k1w6ngi,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bostonuniversity', 'buffalo']",lol even lined spike try hail mary
16ecz62,jzuyuwo,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'bostonuniversity']",feel like blake goes pretty easily nowadays maybe doesnt wanna risk anything
16ecz62,jzuzgbb,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'bostonuniversity']",jj improved much nice see qb develop
16ecz62,jzvh9za,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan3', 'bostonuniversity']",unpopular opinion 15 yard penalty wasnt incredibly dirty play stuff wasnt would run mill late hit
16e7uwk,jzunbbr,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'bostonuniversity']",great coverage also great decision armstrong though
16e7uwk,jzupqtu,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'bostonuniversity']",dont think illegal tackle looked dangerous
16e7uwk,jzusfjg,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'bostonuniversity']",db played perfect coverage hit dude bounds gave lost assignment
16e7uwk,jzuvqwm,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'bostonuniversity']",seeing wolfpack mascot makes think two things 1 good doggo 2 bring back clashmore mike
16e7uwk,jzuz793,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'bostonuniversity']",ive annoyed penalties mostly think nd fault roughing passer atrocious
16e7uwk,jzv0rrk,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'bostonuniversity']",leave refs challenge sure fire catch
16e7uwk,jzv2lu7,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'bostonuniversity']",dont know armstrong wouldve made throw body position legit facing way defender closed real quick
