post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxy5l1,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraskawesleyan', 'bowdoin']",going brutal score
15q54f1,jw3cnak,favorite rivalry aside favorite teams,one look forward doesnt involve favorite teams id go iron bowl seems like auburn always gets matter made awesome games moments shout army navy well love pageantry tradition,"['harvard', 'vanderbilt']","['georgia', 'bowdoin']",kentucky louisville always seem get fights love
18w6kt1,kfwwhec,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraskawesleyan', 'bowdoin']",bro obvious block back ive ever seen time questionable absolutely block back dumbass
16jmdcy,k0qyb9n,work ncaa compliance ama,removed,[],"['tcu', 'bowdoin']",schools staffs difficult work ones easiest
182v9ux,kalp1sp,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'bowdoin']",hey got 2 bucks parlay money line basically bed hous candy bar
17df8ox,k5x9d5g,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['nebraska', 'bowdoin']",ou iowanebraska gonna 245 rate
16knfug,k0xzdnt,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'bowdoin']",cu getting away holding every play also wtf csu blew hard penalties shit prevent defense
171pswl,k3szo3d,kansas 730,kansas location boone pickens time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraskawesleyan', 'bowdoin']",much time clock even think good punt matters k gets ball back gotta go based ball
17d92g6,k5vriy0,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraskawesleyan', 'bowdoin']",refs always know get involved bama struggling
17d92g6,k5vrw4j,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraskawesleyan', 'bowdoin']",hard time understanding wr even trying position catch ball endzone
