post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvwutq,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'brick']",causing much anxiety fan bases
16ei5hq,jzvxna3,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'brick']",bet lot weight change hair
16ei5hq,jzw4muk,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'brick']",im 49 days sober truly cannot figure would better worse drunk lmao
16we4lx,k2x626i,illinois purdue 330,location purduefpurdue rossade time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['illinois', 'brick']",fitting playing exorcist commercials
16q6omx,k1vjt2n,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'brick']",everyone talks nil deals got nil deals refs always step ahead
16q6omx,k1vn4sh,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'brick']",imagine media coverage colorado wins loses close one today
16q6omx,k1vnapx,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'brick']",fucking stupid rushing 3 giving travis day
16q6omx,k1vpu6h,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'brick']",listened first half radio running errands god damn miss gene deckerhoff said still love hearing games radio drive end half sweet
16q6omx,k1w9dwi,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'brick']",rpo kade made wrong choice
16fvde3,k03wgz1,footage surfaces fans shouting racist homophobic insults players,,['michigan'],"['texas3', 'brick']",shocking shocking time 9 24 years ago learned new words student section sideline much much worse
17adji1,k5dxsrx,fit schools fanbase stereotypes,involved greek life never done cocaine religious im certainly minority among tcu alumsfans fan doesnt golf fan doesnt love world war ii history duke fan doesnt care basketball stanford fan bad math wisconsin fan doesnt drink alcohol,['tcu'],"['indiana', 'brick']",dont reversible iu basketballnd jacket wear
15x72y0,jx55xe0,teams biggest celebrity fan,im sure talked makes interesting conversation osu handful biggest probably lebron,['ohiostate3'],"['wisconsin', 'brick']",probably aaron rodgers tbh dude came lot uw basketball games years also guest picker gameday lsu played wiscy lambeau one picked badgers win dont think ever heard enough uw qb bart houston named bart starr second runner would anders holm workaholics fame
177ix9d,k4te5gp,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['texasam2', 'brick']",embarrassing like real embarrassing still like deionled buffs long haul
188vvkf,kbnabj7,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['arizonastate', 'brick']",im sad bros best memories late father attending road every pac12 beautiful cities country best fans conference family underdog west coast versus rest country childhood us versus everybody identity lost pac12 memory thanks everything lasted
17nng69,k7spble,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'brick']",sure ive pumped season really want send away without making conference champ
17nng69,k7t1kku,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'brick']",sure ask repunt odds youre gonna worse position 20
17nng69,k7t2m4r,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'brick']",aight lets see real drive need see couple downfield completions
17nng69,k7this2,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'brick']",imo howard laying ball ford took rip long ball need sit howards lap dead
17nng69,k7tlxv2,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'brick']",get stop ill find hope score 4th likely dagger
15q1cwp,jw4q6gp,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['florida2', 'brick']",1979 went 0101 tie came tech second season season tickets year long season
168537c,jywg7g5,quit playing kickoff games floridaetc lifeless stadiums,feel like one major draws college home tradition one carries 100000 screaming people never get old watching kickoff games vibe nfl stadiums feel cooperate dead inside,"['boisestate', 'montana']","['texasam2', 'brick']",dont hate get better matchups way harder get home homes
168bu91,jyumc5z,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['ohiostate3', 'brick']",gus edwards talked shit
16apjlo,jz90j3c,realize magic ran,remember like yesterday first clemson 2015 wake forest way national championship enrolled clemson next year seeing us win two national championships 4 years life changing always thought life would like run denial 2021 season still 10 games think clemson fans knew coming worse national tv thing cfb world talking question knew program longer top anymore know clemson death thousand cuts last night really puts perspective,[],"['florida2', 'brick']",september 7 2013 lost miami 2116 like last thursday score doesnt really tell terrible day tbh teams terrible day terribler far prediction day would end 39 actually went 48 twice last decade started look like get back slip big pile shit fall back whole process beginning lose charm
168o9xp,jyyi3qi,chip kelly espn halftime new rules crazy four drives first half hope guys selling lot commercials,,"['michigan', 'fau']","['georgiatech', 'brick']",way shorten commercials stop watching
16dhp5o,jzse2bl,awful announcing time espn retire bottomline games,read article today could agree ticker sports relic considering easy check scores phones nowadays also espns large scorebug two together take much space cfb games brings biggest problem espns news ticker big takes little 9 entire screen lot something dispensable lsu played florida open season last sunday whole sixth screen 167 taken scoreboard ticker combined words watch college espn youre watching significantly less would another channel purpose staring graphic thats completely unnecessary one needs see anymore thoughts ive discussions cfb friends seem largely disagree,[],"['texasam2', 'brick']",actually like ticker score bug could reworked make little smaller
18w6kt1,kfw7fq9,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'brick']",almost 12k halfway first
1621ag8,jxvecee,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['pennstate', 'brick']",oh shit mrob nbc new favorite channel
16k5rz7,k0umh96,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['lsu', 'brick']",coach polk invited house bar b que told split level housing turns double wide side hill skip bertman
169aftq,jz0xlgv,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'brick']",one needs need analysis number plays last year year feels like lot data
16q6oqs,k1vkx28,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'brick']",theyre kids theyre kids theyre kids theyre kids
182v9ux,kalusrk,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'brick']",fucking swan song big 10 west fucking beautiful
168fx8i,jyviey8,west virginia penn 730,west virginia penn location penn statefpennstate beaver time 730 watch tv nbclnbc odds spread psu 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['westvirginia2', 'brick']",psu fans yall think seider time yall figure hell potential hc target us neal doesnt pan season
168fx8i,jyw6krd,west virginia penn 730,west virginia penn location penn statefpennstate beaver time 730 watch tv nbclnbc odds spread psu 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['pennstate', 'brick']",feels like moving fast ton media timeouts nbc alright
168fx8i,jyw7dk9,west virginia penn 730,west virginia penn location penn statefpennstate beaver time 730 watch tv nbclnbc odds spread psu 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['pennstate', 'brick']",quality eat shit pitt chant wvu fans sweet caroline fuckers alright
17sxedg,k8ttkcx,tech kansas 1200,tech location kansasfkansas david booth kansas memorial time 1200 watch tv fox sports 1lfs1 odds spread ku 35 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texastech', 'brick']",forget use huddle
18twt1o,kfgnl5o,postgame clemson defeats kentucky 3835,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['clemson', 'brick']",offense defense special teams amazing awful
17v67wr,k9bvq55,jimbos buyout disgrace,think lot coaching carousel coverage missing obvious point outrageous public university pay 78 million someone coach team understand boosters come cash side doesnt come literally general budget people need understand cash fungible dollars donated could donated university outright b could used literally worthwhile purpose paying jimbo fisher strong suspicion boosters donation papered give tax deduction well effectively americans subsidizing 40 shitshow understand college sports headed insane direction decades really ripped overton window wide open point inflated broadcast money going start dry lot universities public private going find investing fbs cfb expense rest institution huge mistake,"['notredame', 'indiana']","['texasam2', 'brick']",overall points athletics booster organizations structured specific buyout lot issues fact athletic booster orgs 501cs come sorts tax deductions however kinda stuck system fact matter point money used worthwhile endeavors money donated unless buyout needs paid new needs built new athletics project needs completed
16g9ukn,k06h9zl,trivial cfb things drive nuts,puzzled inconsequential things guess charming distinctive also mildly irritating bugaboos 1 university colorado use cu abbreviation shouldnt uc 2 miami fl put u helmet rather mean schools universities right 3 uclas logo first letter capitalized 4 lsu always rocking boat weird goalposts always wears white home numbers 5yard increments instead 10 5 florida typographical freeforall script helmet block lettering jersey nascar fast talics end zone 6 reserve final annoyance alma mater unpopular opinion get rid green bays g sufficient history tradition warrant unique logo know borrows logos others pop warner teams,"['georgia', 'wku']","['pennstate', 'brick']",dont see often lsu goalposts bother way also giant ass flag pole middle ohio drives nuts put top scoreboard something giant pole looks place
16l2v83,k0zovkj,complain team,vent friendly place,['rcfb'],"['florida2', 'brick']",werent special teams could well 30
16l2v83,k1027ad,complain team,vent friendly place,['rcfb'],"['utah', 'brick']",scored 31 points weber moving pac 12 play going rough thats offense team muster even defense plays lights going lead close games
