post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ktcfe,k0y1uxd,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['nebraska2', 'brokenchair']",turns take jay norvell nebraska cant take nebraska jay norvell csu loses 1 score
17d4he4,k5vdhb2,rutgers indiana 1200,location indianafindiana memorial bloomington time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'brokenchair']",ru rah rah ru rah rah hoo rah hoo rah bowl bound rah
166vqe9,jym9d1u,postgame utah defeats florida 2411,box score provided team 1 2 3 4 made rcfb,"['medal', 'oklahomastate2']","['nebraska2', 'brokenchair']",people wondered turned record numbers volleyball yesterday
177ix9d,k4tuco2,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['nebraska', 'brokenchair']",wondering much time espn big noon spend talking probably much dont want draw attention fleecing stanford deserves 2nd half display crazy
1728e91,k3vo2tg,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'brokenchair']",osu guy wasnt even touching end maryland guy holding defender pretending held
17j4q9q,k6zfsuh,complain team,vent friendly place,['rcfb'],"['nebraska', 'brokenchair']",usually dont complain lower level staff like matainance equipment managers whoever greased ball fired
15wqekf,jx2gaup,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['nebraska2', 'brokenchair']",lincoln 1 nebraska 2 nebraska 3 nebraska 4 nebraska 5 nebraska
15mriw8,jvim2k0,twittercom brettmcmurphy notre dame acc member sports pushing hard acc add stanford cal larrywilliamsti reports,nan,"['vanderbilt', 'middletennessee']","['nebraska2', 'brokenchair']",notre dame already texasing acc theyre even full members yet
183xb5l,kasfdgh,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'brokenchair']",ive seen spikes stop clock aggressive
168bu91,jyumlde,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['nebraska2', 'brokenchair']",ok colorado weirdly feel better next week tcus defense beyond ass qb watching man coverage help top missing tackles swarming ball blocked wrs screens place nebraska apparently one thing well run tf ball thats definitely colorados weakness lack depth lines
168bu91,jyuqwgh,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['wisconsin', 'brokenchair']",gonna tragic colorado doesnt play 2 legit 2 quit least one time 34th qtr break would epic
17807ox,k4x84ib,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'brokenchair']",fast pace help also create mistakes like
16dhp5o,jzrrkz0,awful announcing time espn retire bottomline games,read article today could agree ticker sports relic considering easy check scores phones nowadays also espns large scorebug two together take much space cfb games brings biggest problem espns news ticker big takes little 9 entire screen lot something dispensable lsu played florida open season last sunday whole sixth screen 167 taken scoreboard ticker combined words watch college espn youre watching significantly less would another channel purpose staring graphic thats completely unnecessary one needs see anymore thoughts ive discussions cfb friends seem largely disagree,[],"['minnesota', 'brokenchair']",dont know someone else said also show least used show 30 30 docs youre watching heartfelt scene keep whats sportscenter later
189wh00,kbttybi,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['minnesota', 'brokenchair']",think deserving teams go 1 washington 2 top 2 could flip 3 4 think games dont matter best teams go 1 2 3 osu 4 bunch teams could argument order could swap really highlights absurdity using criteria along ignorance h2h words absolutely support using criteria think deserving teams go undefeated teams always deserving 1 loss teams 1 washington 2 3 fsu 4 liberty one picking
189wh00,kbu1a9x,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['nebraska', 'brokenchair']",really seems like trying make case picking fsu right call really dont want leave sec team lol
183w2c9,kasftbd,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'brokenchair']",ive said every single targeting penalty favors offense 3 player started getting low time ok qb defensive players
183w2c9,kasg0xn,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'brokenchair']",id love see everyone try determine going slide dive time gators absurd expect defensive players recognize player sliding 01 seconds dont require offensive player indicate theyre giving
16ep8jz,jzwp3el,postgame washington defeats wisconsin 3122,box score provided team 1 2 3 4 washington made rcfb,"['washingtonstate', 'oregonstate']","['washingtonstate', 'brokenchair']",2nd year row weve beat 19th ranked wisconsin week 2
18fyi2w,kcxa8sg,tank job year,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery x200b previous winners week 1 baylor bears lost 4231 2 nevada wolf pack lost idaho 336 3 cowboys lost south 337 4 minnesota golden gophers lost northwestern 3734 5 ucf knights lost baylor 3635 6 miamifl hurricanes lost tech 2320 7 boise broncos lost colorado 3130 8 north carolina tar heels lost virginia 3127 9 north carolina tar heels lost tech 4642 sam houston bearkats lost utep 3734 10 air force falcons lost army 233 11 cowboys lost ucf 453 12 auburn tigers lost new mexico 3110 13 auburn tigers lost 2724 14 college playoff committee lost everyones respect ducks lost washington 3431 last week knew guys going tried stop didnt work despite saying already win vote still overwhelmingly playoff committee guess thats hazard posting less 24 hours perhaps single infuriating thing thats ever happened college everyone mad hell think everyones still mad anyways actual stuff edged couple votes congrats dont worry ducks youre still undefeated eye test week tank job year time season long award isnt biggest screw ups like miami isnt even necessarily multitime winners like unc since ended decent seasons despite pratfalls nope teams managed put seasons dumpster fire pour gasoline mr incredible fullcolorblack white meme playing course fourteen glorious weeks x200b note ease counting please use carats vote like team thank thanks participating well see january 2 tank job bowls x200b nominees tank job year x200b air force falcons 84 im sure ive ever nominated 84 team tjoty certainly group five one might disappointing still respectable record falcons sat 80 ranked low teens sitting almost certainty become mountain wests first group five representative since 2014 got destroyed 213 lackluster army team 2713 lackluster hawaii team finished back back losses unlv boise take spotlight even making mountain west championship baylor bears 39 bears escaped nomination last year despite turning top 10 start dismal 67 finish dont escape time things went bad worse starting tjotwwinning meltdown things look promising played utah close even pulled miracle comeback beat ucf smackings tech kansas tcu plus overtime heartbreaker houston confined bears oblivion x200b cincinnati bearcats 39 bearcats brought appalachian coach scott satterfield replace departing coach luke fickell showed promise early including big win turned equally dismal pitt team everything went wrong bearcats could muster single conference win houston finishing dead last new big 12 conference x200b colorado buffaloes 48 without context colorado threewin improvement last year even though still 18 conference play much competitive complete doormat last year course theres additional context unwarranted hype machine buffs cultivated displayed first half season even realitycheck losses usc came stanford buffs blew 290 lead lost overtime colorado didnt win single finishing season six losing streak alone bottom pac12 standings ego arrogance pushed higher actually fall even reality hit x200b pittsburgh panthers 39 tough schedule also total bottom team spent much last years upper midcard acc panthers couldnt even beat fellow acc strugglers wake forest syracuse however beat louisivlle least going x200b tcu horned frogs 57 mean sure riding hypnotoad magic last year lost much production made national runners hype completely destroyed week 1 loss colorado still team started top 20 failed make bowl x200b usc trojans 75 missing playoff pac12 championship painted fingernail last year trojans returned heisman winner caleb williams bid finish job came close unfortunately even suspect defense also returned knocked usc top ten team team barely 500 conference play fairness none teams lost bad thats also failed win big games x200b washington cougars 57 hell happened cougs started hot including win wisconsin becoming triumphant epic showdown fellow pac12 left behind make 40 something happened bye week cougs werent losing next six row rally beat colorado played undefeated washington close little late bowl hopes,"['washington', 'centralwashington']","['nebraska2', 'brokenchair']",want saw really cool finally list
17nngbp,k7sy141,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska2', 'brokenchair']",announcer went way way jinx shit nebraska
17nngbp,k7t002m,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'brokenchair']",cameraman clue fuck ball lol
17nngbp,k7t0nx0,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'brokenchair']",know theyre runoriented yeah thats one way put
