post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvs8n8,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",hate term move im pretty literal person move move
16ei5hq,jzvxjw1,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",much ewers weight shifting haircuts shaving
16ei5hq,jzvzt31,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",goofy ass commercial subaru know thats kinda redundant still
16ei5hq,jzw28x0,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",like targeting looked like 6 led crown helmet
16ei5hq,jzw460b,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",break bama indeed guy already ball
16ei5hq,jzw8aaw,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate2', 'bug']",good thing amazing legit kicker
16ei5hq,jzwdm6w,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",alright lets count see team hands holding 4 fingers know win
16ei5hq,jzwholf,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",sark coming trying win revolutionary
16ei5hq,jzwk264,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",really hoping would go wire oh well
16ptc9b,k1t1c62,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['troy', 'bug']",virginia every time chance take away
18wbuu4,kfxbw3f,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",refs trying figure call holding fumble
18wbuu4,kfxc1o7,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'bug']",second quarter started refs already meme
