post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6omx,k1w3ypn,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['burningcouchcup', 'georgia']",crowd makes noise flag comes good look clempus
183s3df,kar5yu0,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",well sucks right move commit pi
183s3df,karl3nw,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",defenders tackle someone behind already wrapped realize dumb look every time
183s3df,karpmaj,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",going leverage kicker already missed one today next level dumb
183s3df,karsbn5,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",oh comes penix dick sucking booth
183s3df,kart5gf,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",brock defending coug hit know awful
18sbres,kf6rlhp,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['burningcouchcup', 'westvirginia2']",alright guess qb gonna 250 yards rushing
18sbres,kf72n3p,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",jones acting like didnt cheat get touchdown lol
18sbres,kf7i02t,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",brown sugar bourbon mayo real alcohol hes shotgunning booth
18sbres,kf7if7q,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",shit sounds like mps country roads going live
17t1sxw,k8u677u,ucf 330,ucffucfucf location ucffucf fbc mortgage time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",thought ollie legitimate chance 300 yards today
17t1sxw,k8u6oi1,ucf 330,ucffucfucf location ucffucf fbc mortgage time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",snap ball damn one db two receivers top half
17t1sxw,k8uxghh,ucf 330,ucffucfucf location ucffucf fbc mortgage time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",espn never fails make laugh regardless day
17yjuvx,k9u7d1z,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",late saturday november nights jack trice ya
17yjuvx,k9ufjy3,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia3', 'burningcouchcup']",dropped jesus going texass
183w2du,karwwva,west virginia baylor 700,west virginia location baylorfbaylor mclane time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",theres even anybody side either return
183w2du,kas7yvp,west virginia baylor 700,west virginia location baylorfbaylor mclane time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",turns rout greene another second thats wide open td
183w2du,kascy4n,west virginia baylor 700,west virginia location baylorfbaylor mclane time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",never run play go huddle quick run awful play calling half killing slants earlier nowhere found
183w2du,kasfeml,west virginia baylor 700,west virginia location baylorfbaylor mclane time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'burningcouchcup']",think miserable fans sad love watching games literally bitching
16qgjo5,k1x58nj,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",first time beaver taken deep palouse
16qgjo5,k1x60b7,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",dude think play whistled dead say fuck stepped
16qgjo5,k1x73y9,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",get huge stop lose head
16qgjo5,k1x88jl,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",make cant tackle im going lose mind
16qgjo5,k1xbs4t,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",chance kill half wife tackle
16qgjo5,k1xcvaq,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",dont know ive ever seen corner get eurostepped
16qgjo5,k1xf3cy,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",really go half tied arent
16qgjo5,k1xfcih,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",fuck corner guy tackle
16qgjo5,k1xkixs,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",going run wild
16qgjo5,k1xlarq,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'burningcouchcup']",beat cougs two easy steps 1 snap ball 2 hand
