post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
169aftq,jz0yo85,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahomastate', 'cactus']",damn didnt know werent allowed hit hard big 12 refs joke
182v9tz,kakx98r,tcu 1200,tcuftcutcu location memorial norman ok time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahomastate', 'cactus']",go frogs shut drake stoops win well coached team side let venables offense
1896p8u,kbppusd,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahomastate', 'cactus']",right want im sure man coverage superior receivers work 2nd half
16knfug,k0xm9uo,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['california', 'cactus']",love good dejected student section shot best part cfb upsets
193kpui,khdbadb,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['alabama', 'cactus']",havent watched cfb years im pay respects anyway long nightmare everyone else finally well done coach saban
1659z6r,jye3t5h,whats hardest hit youve ever seen person,title says whats hardest hit youve ever seen person includes dirty hits targeting ejections ill start baylor 2013 blackout thursday night kj morton sterling shepard,"['baylor', 'sickos']","['oklahomastate', 'cactus']",20112012 fiesta bowl markelle martin legal hit freshman ty montgomery
15mj1kk,jvi7jge,whats best little brother program cfb history,little brother programs arent considered top program home along lines st auburn st asu south carolina etc,['rcfb'],"['oklahomastate', 'cactus']",cares little brothers always cooler look mahomes bros
168fx9s,jyvos53,south carolina north carolina 730,south carolina north carolina location bank america time 730 watch tv abclabc odds spread unc 25 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['southcarolina'],"['california', 'cactus']",hi fellow acc fans still trying get speed im bit confused team isnt playing sponsoring
167l7hn,jyqo34r,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['oklahomastate', 'cactus']",still ejecting people playing defense almost forgot
16en3ol,jzwzzax,auburn california 1030,location california memorial time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['paperbag', 'navy']","['california', 'cactus']",play actual fuck play
16en3ol,jzx1nk2,auburn california 1030,location california memorial time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['paperbag', 'navy']","['california', 'cactus']",false start first play quarter absolutely iconic summary nutshell right
166pzdt,jym6h3c,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['oklahomastate', 'cactus']",many great receivers come florida yet florida 511 white guy sleeve feed freshman
16es8k7,jzx5zs7,postgame auburn defeats california 1410,box score provided team 1 2 3 4 made rcfb,"['paperbag', 'navy']","['california', 'cactus']",15 iq points dumber watching nonsense
16es8k7,jzx6vc4,postgame auburn defeats california 1410,box score provided team 1 2 3 4 made rcfb,"['paperbag', 'navy']","['california', 'cactus']",give full support wilcox decides punt kick fgs extra points rest season
