post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxs4dq,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'calpolypomona']",actually smart play thats like spot fouls pi adds another layer db play
18wbuu4,kfxsd5y,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington2', 'calpolypomona']",everyone wondering best running back hurting cant ground pound
183rfxa,karl4ai,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['calpolypomona', 'ucla']",rivalry week college one best things sports
1785w9p,k4xip0b,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['usc', 'calpolypomona']",bruh clay helton players mostly gone last year hows get worse
18akxkb,kbyd22t,star qb dillon gabriel enter transfer portal,,['lsu'],"['oklahoma', 'calpolypomona']",since last one got deleted legend coming stabilize team last drive thank dg everything watch mississippi
17nng69,k7trrbf,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'calpolypomona']",wait called hold big 12 refs called hold team playing ou
15q1cwp,jw0thh1,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['sanjosestate', 'calpolypomona']",sjsus 112 2010 season lone victory 1611 win home fcs southern utah spartans unable secure another win despite playing another fcs team home losing 1314 uc davis 13 two weeks later five losses ranked teams wisconsin utah nevada boise thats little solace
189wh00,kbu6dlp,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['oklahoma', 'calpolypomona']",heres playoffs washington fsu wanted get shouldnt lost
18w6kt1,kfwkapu,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'calpolypomona']",ive seen enough loses poor marching band performance
1621ag8,jxv0s1z,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['calpolypomona', 'ucla']",girlfriend like dont tell watching seeing watch premier league morning yes
169aftq,jz0rpke,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['calpolypomona', 'ucla']",mouse like enjoy sprinkled commercial watching time
169aftq,jz0sjdr,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['calpolypomona', 'ucla']",brain kelly many florida fansummm buddy florida
169aftq,jz18zv7,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['calpolypomona', 'ucla']",old man bachelor straight saying daughters mom sucked need newer model
169aftq,jz19l3q,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['calpolypomona', 'ucla']",hope ladies golden bachelor zipline
169aftq,jz1aabr,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['calpolypomona', 'ucla']",lafc inter miami end watch
16ql0uy,k1xxtc1,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington2', 'calpolypomona']",penix compete heisman doesnt get play
16ql0uy,k1y560u,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington2', 'calpolypomona']",defender froze like madden id scream bugged
17ydyqe,k9tb8w5,ucla usc 330,uclafuclaucla uscfuscusc location uscfusc los angeles memorial coliseum time 330 watch tv abclabc odds spread usc 65 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['calpolypomona', 'ucla']",ucla used reliable kickers hell man
17t6f94,k8v337e,west virginia 700,west virginia location memorial norman ok time 700 watch tv foxlfox odds spread ou 125 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'calpolypomona']",matter happens two teams today kevin mar always find way ruin
17t6f94,k8v3map,west virginia 700,west virginia location memorial norman ok time 700 watch tv foxlfox odds spread ou 125 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'calpolypomona']",wvu unis go hard helmets incredible maybe top 5 helmet cfb
17t6f94,k8v7ma7,west virginia 700,west virginia location memorial norman ok time 700 watch tv foxlfox odds spread ou 125 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'calpolypomona']",genuine question thought seen years ago pushed blocker returner called interference change misremembering
