post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw9g0p,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",kind weak call quick grab meh
16ei5hq,jzwf27v,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'caltech']",feel like play kinda answers good bad question
16ei5hq,jzwh32v,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",want watch fights way turning right
18wbuu4,kfxy22g,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",going time choke job huskies bout coug
16q6omx,k1w6u6e,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",dont think fsu done anything deserve winning however clemson absolutely deserves lose dogshit coaching 4th quarter
17ijvyn,k6v1dds,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",really hate ref absolute worst expect nasal rat faced fuck derail late
17deytd,k5wj4v1,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",points plays run sure one going play
17deytd,k5wjiga,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",fox graphics look like drawn preschooler crayons
17deytd,k5wzq7s,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",honestly think team quit riley caleb sniffing farts believing hype surrounding honestly hope rumors riley going nfl true least wont pay massive contract
17deytd,k5x2ema,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",sure liver going survive rest
17deytd,k5x5xar,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'caltech']",goddamnit way much time left grinch fuck
