post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1785w9p,k4xiiam,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['oklahoma', 'cambridge']",next head coach dallas cowboys lincoln riley probably
1621ag8,jxv7koy,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['cambridge', 'transferportal']",many times gotta see dumb little caesars commercial lmao
16eb4h6,jzuvsxd,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['cambridge', 'sickos']",havent watching checked box score saw charleston 17 points 40 passing 4 rushing yards hell
17t6f94,k8v9rfr,west virginia 700,west virginia location memorial norman ok time 700 watch tv foxlfox odds spread ou 125 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'cambridge']",hear another unity joke im going lose
188qre7,kbn8pjg,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cambridge', 'graceland']",last real pac 12 ever going w bang
191zla4,kgzfe8o,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cambridge', 'graceland']",feeling washington doesnt score drive lol
16whq5d,k2xwqrb,lsu ole miss 600,lsuflsulsu ole missfolemissole miss location ole missfolemiss vaughthemingway time 600 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cambridge', 'transferportal']",worse performance today refs refs
172das0,k3wy65s,330,amftexasamtexas location amftexasam kyle time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cambridge', 'transferportal']",gary slurring speech heavy gotta watch mute
172das0,k3wyhnc,330,amftexasamtexas location amftexasam kyle time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cambridge', 'transferportal']",whos harder understand gary lil baby axe commercial
17d4h6j,k5uuax1,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cambridge', 'graceland']",ohio always gets saved stupid bs like
1728eb3,k3w1a3g,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'cambridge']",1st goal 4th goal stop like new ou
1728eb3,k3w79vk,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'cambridge']",could time great rrs ou makes
