post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qzss2,k20chj0,complain team,vent friendly place,['rcfb'],"['canadateam', 'washington']",second string dbs played soft garbage time cal
181eq61,kadx28q,week 13 matchup preview 2 ohio buckeyes 4 wolverines,2 ohio statefohiostate 4 saturday november 25 1200 eastern ann arbor watch foxlfox odds 35 pts total points 475 alltime series ohio statefohiostate ohio statefohiostate met 117 times since 10161897 teams last met 361 days ago 11262022 series wins ohio statefohiostate 51660 longest streak continuous meetings 102 19182019 last 2 meetings 20212022 series last 5 meetings oh2345 arbor mi2742 ohio arbor mi5627 ohio oh6239 ohio arbor mi3120 series comparison data via week 12 weekohio statefohiostate 11080result 3817w 233ecufecu 2916w 303 2youngstown 7453w 357unlvfunlv 9261w 357 3wkufwku 6543w 6310bowling 6543w 316 4notre 8300w 6535w 317 5635w 457 6535w 5635w 5210 7purduefpurdue 3826w 3817w 527 8penn 9262w 2012michigan 4726w 490 6544w 2410byena 6535w 3826w 4113 11michigan 4726w 383penn 9262w 2415 5635w 6535w 3124 rankings reflect current rcfb ohio statefohiostate injury report data scraped 20231122 100012 devin brownqbearly dec ankletue nov 21brown sidelined right ankle sprain projected remain beginning december michael hall jrdtques sat undisclosedmon nov 20hall held previous due unknown issue air take saturday versus tommy sat undisclosedmon nov 20eichenberg missed past two contests undefined ailment unclear play saturdays tilt versus lathan ransomsques sat legmon nov 20ransom sat last three games due leg injury unknown suit saturday miyan williamsrbout season undisclosedtue oct 31williams sit remainder season unknown injury nolan baudowrout indefinitely undisclosedsat nov 4baudo idle undefined issue timetable recovery joop mitchellwrout indefinitely undisclosedsun oct 8mitchell commission due unrevealed ailment yet confirmed return kyion grayeswrout indefinitely undisclosedsun oct 8grayes sidelined due unspecified issue miss extended period jayden bonsusout indefinitely undisclosedsun oct 8bonsu lineup undefined issue unclear make season debut reis stocksdalewrout season kneetue oct 3stocksdale commission knee injury likely miss remainder season zak herbstreitteout season undisclosedthu sep 21herbstreit shut entire 2023 season unknown injury bennett christianteout season suspensionsun aug 27christian suspended entire 2023 season due violation ncaa rules tc caffeyrbout indefinitely kneesun oct 15caffey idle due knee injury unclear return injury data lifted injury report data scraped 20231122 100012 logan forbeswrout indefinitely undisclosedmon oct 2forbes away team due undivulged reasons without definitive timetable recovery cj stokesrbout indefinitely undisclosedsun oct 15stokes idle undefined injury timetable return karmello englishwrques sat undisclosedmon nov 20english held previous four games due unlisted issue unknown dress saturdays showdown ohio danny hughesrbques sat undisclosedmon nov 20hughes missed previous two contests due unknown injury undetermined face ohio saturday ladarius hendersonolques sat undisclosedmon nov 20henderson absent lineup last unreported ailment uncertain suit saturday versus ohio roman wilsonwrprob sat undisclosedmon nov 20wilson exited previous contest unreported injury expected impact status saturdays battle ohio davis warrenqbques sat undisclosedmon nov 20warren sat last three matches due unspecified ailment unclear line saturday versus ohio injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['oregonstate', 'cascadeclash']","['chaos', 'canadateam']",ohio mccarthy elite hasnt looked elite really much season definitely last weeks
183s3df,kareici,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['canadateam', 'washington']",love turned unofficial iron bowl halftime
15q1cwp,jw44l6d,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['westvirginia', 'canadateam']",pretty blessed overall started watching pat whiteslaton era 2013 would probably itwhere time gone
16apjlo,jz8mz5p,realize magic ran,remember like yesterday first clemson 2015 wake forest way national championship enrolled clemson next year seeing us win two national championships 4 years life changing always thought life would like run denial 2021 season still 10 games think clemson fans knew coming worse national tv thing cfb world talking question knew program longer top anymore know clemson death thousand cuts last night really puts perspective,[],"['canadateam', 'washington']",losing montana coach pete starting expect ny6 bust jimmy lake destroyed everything petersen built thankfully deboer co done lot right ship
16ep8jz,jzwp1rb,postgame washington defeats wisconsin 3122,box score provided team 1 2 3 4 washington made rcfb,"['washingtonstate', 'oregonstate']","['canadateam', 'washington']",said last year say cougar gold wisconsin cheese
17df8ox,k5wb39y,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['iowa', 'canadateam']",know bad calls happen shouldnt put situation something like ruin thats way goes fuck
16g9ukn,k08udrl,trivial cfb things drive nuts,puzzled inconsequential things guess charming distinctive also mildly irritating bugaboos 1 university colorado use cu abbreviation shouldnt uc 2 miami fl put u helmet rather mean schools universities right 3 uclas logo first letter capitalized 4 lsu always rocking boat weird goalposts always wears white home numbers 5yard increments instead 10 5 florida typographical freeforall script helmet block lettering jersey nascar fast talics end zone 6 reserve final annoyance alma mater unpopular opinion get rid green bays g sufficient history tradition warrant unique logo know borrows logos others pop warner teams,"['georgia', 'wku']","['iowa', 'canadateam']",hate nonosu teams osu thing small stickers individual accomplishments logo knock
16ql0uy,k1xzr8c,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['canadateam', 'washington']",friends like kick cal st paul tells us book romans none good
16ql0uy,k1y7xdw,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['canadateam', 'washington']",harry husky thanking god doesnt push ups like duck text friend mine
