post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6omx,k1v0yxw,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'canterburynz']",big noles gotta come early one shut valley quicklike bend dont break better fuckin break fuller
16ekdib,jzwqyof,southern miss florida 830,southern miss florida location florida doak campbell time 830 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ucf', 'floridastate']","['floridastate', 'canterburynz']",pronunciation matters least said span v last weeks spawn
17t1stj,k8ughkw,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['canterburynz', 'bcs']",reallllllllllly want call safety found reason
1836rhr,kaniv7w,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'canterburynz']",im rooting osu reason chalk chaos helps team chalk fuckin helps fsu 23 whoda thunk
16knfug,k0xgkh5,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],dude lit havent pumped college awhile
16knfug,k0xudv3,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],dude imagine alejandro mata makes nfl kicker dude started jackson deion
16knfug,k0xwxht,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],plz keep going buffs fun two weeks bandwagon fan
16knfug,k0xxirw,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],first time history people states colorado glued tv watching st lol
16knfug,k0xyym8,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],would nice would turn mic first
16knfug,k0xzaoi,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],yikes bonehead plays really going lose colorado
16knfug,k0xzwc3,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],espn balled colorado stories tossed em trash
17debm7,k5wxysr,duke florida 730,dukefdukeduke florida location florida doak campbell time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['canterburynz'],go back dukes qb sideline full time im really concerned
18rnjff,kf37s1w,guaranteed rate bowl unlv kansas 900,unlvfunlvunlv location chase time 900 watch tv espnlespn espnlespn odds spread ku 125 overunder 675 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['canterburynz', 'bcs']",fight end icing cake awesome
17ifk42,k6tveps,florida wake forest 1200,florida wake forest location wake allegacy federal credit union time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'canterburynz']",grown ass men v youth league like match
