post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172i5sr,k3x7csi,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'carnegiemellon']",clearly shows uf worst team sec
18wbuu4,kfxy8vt,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucla', 'carnegiemellon']",reason still going player got injured whats happening completely fucked
16q6omx,k1w6pdo,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'carnegiemellon']",glad ended quickly get watch whatever fuck happening
183w2cz,kasfmlq,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['stanford', 'carnegiemellon']",gg nd despite lopsided still entertaining watch
17q3a8o,k89gm6t,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['michigan', 'carnegiemellon']",lol im sure bunch fans quickly deleting comments
166vqe9,jym89dw,postgame utah defeats florida 2411,box score provided team 1 2 3 4 made rcfb,"['medal', 'oklahomastate2']","['florida', 'carnegiemellon']",team ever needed tune bad atrocious gator team
15tkpzp,jwlhrk4,opinions rivalries around college affiliation,rivalry connection thats outside schools conference feel like actually root pretty strongly one team one absolutely wont miss even teams wont impact season arent contenders year example ive absolutely loved usc utah rivalry past 58 years love rooting utah games first usually wild late night action truly back forth rivalry recently competitive though always david goliath feel team less traditionally good team resources disposal dont anything usc fall 1030 damn fun root utes games,['georgia'],"['westernmichigan', 'carnegiemellon']",legitimately look forward armynavy college pro like peering time capsule painted helmets always awesome one instances pretend im mark cynical cash grab executives dead ever face institutional damage theyre always love bedlam big reason
16k9n25,k0v1dmp,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'carnegiemellon']",cant believe many penalties bc gotten nailed
15q1cwp,jw18rx1,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['stanford', 'carnegiemellon']",dont think stanford season top slow mesh offense witness last year 2022
16e7uxq,jzurmju,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'carnegiemellon']",feel bad baylor fans remember uf sucks
16apjlo,jzag7ic,realize magic ran,remember like yesterday first clemson 2015 wake forest way national championship enrolled clemson next year seeing us win two national championships 4 years life changing always thought life would like run denial 2021 season still 10 games think clemson fans knew coming worse national tv thing cfb world talking question knew program longer top anymore know clemson death thousand cuts last night really puts perspective,[],"['florida', 'carnegiemellon']",andrew carnegie didnt put stipulations requiring frequent championship titles
189wh00,kbu1aax,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['michigan', 'carnegiemellon']",really setting fsu booted huh
189wh00,kbu657t,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['michigan', 'carnegiemellon']",clown says dont use multiple times
16keh7j,k0vxsvo,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'carnegiemellon']",many teams shoot foot looks like theyre playing well
18w6kt1,kfw82x3,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'carnegiemellon']",declared 5 minutes ago funny works
18w6kt1,kfwo5op,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['carnegiemellon', 'michigan']",pat mcafee sucks ass way get announcers
18w6kt1,kfwuws4,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['carnegiemellon', 'florida']",bama kicker somehow looking 14 41 years old time
18w6kt1,kfwwqmf,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucla', 'carnegiemellon']",dont think ive seen pass tipped like end going probably would kept perfect spiral
18w6kt1,kfwzpxm,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucla', 'carnegiemellon']",shades adrian peterson starting fiesta bowl overtime boise st running 25 yd td
172s434,k3ygl6m,postgame usc defeats arizona 4341 3ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['usc', 'carnegiemellon']",whats opposite quality loss cause probably
1621ag8,jxv46mf,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['usc', 'carnegiemellon']",youre throwing two receivers youre throwing zero receivers
17ny0o9,k7v1bbg,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",cant believe garbage still coming thats false first sighting
17ny0o9,k7v5mn0,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",wondering long would take us completely blow coverage like
17ny0o9,k7v7j06,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",offense looks completely disjointed mccoy play horton play
17ny0o9,k7v7x9o,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",tvd stared made way easy defend
17ny0o9,k7v9qr5,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",understand tvd went relatively good accuracy putting literally every throw behind receivers
17ny0o9,k7vctpp,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",run good far tvd dogshit offense cant get anything going
17ny0o9,k7vd5ng,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",becoming increasingly evident every week dont 2 minute offense reason every play takes forever get called
17ny0o9,k7vjn6o,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",people inflatable balls got closer end zone either team 2 quarters
17ny0o9,k7vmmfe,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",literally slowest offense fbs break huddle 20 seconds take 10 seconds get lined snap ball consistently less 5 seconds play clock infuriating watch
17ny0o9,k7vmuwk,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",wasnt even close completely obvious going run ball motion anything move defense line pray
17ny0o9,k7vnsyi,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",cant blame defense us losing theyve played near perfect offense
17ny0o9,k7vnz5i,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'carnegiemellon']",james williams played well season completely lost tonight
