post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17q3a8o,k89kqws,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],['casewestern'],best scandal ever like bunch toddlers clearly solution separate scatter across country big 12 ohio sec penn acc purdue mac fuck geography send rutgers pac2 northwestern seems like maybe guys stayed guess stay
170iymv,k3kzlf8,big ten releasing 2024 schedule tomorrow would like see,would like 1 washington usc ucla annual opponents 2 owed home ohio want buckeyes eugene next year 3 washington got cancelled happen next year 4 9am east coast usc,"['hawaii', 'oregon']",['casewestern'],want see iowausc also enough big ten west ferret drownings already im looking forward playing newcomers
15tkpzp,jwkqikb,opinions rivalries around college affiliation,rivalry connection thats outside schools conference feel like actually root pretty strongly one team one absolutely wont miss even teams wont impact season arent contenders year example ive absolutely loved usc utah rivalry past 58 years love rooting utah games first usually wild late night action truly back forth rivalry recently competitive though always david goliath feel team less traditionally good team resources disposal dont anything usc fall 1030 damn fun root utes games,['georgia'],['casewestern'],grew western pa pittwvu always mustwatch live really miss michigannotre dame games perspective outsider didnt go colleges michigans rivalries ohio basis academic disdain kinda toxic michigannotre dame like ok guys arent idiots arrogant insufferable thats thing
15knp1o,jv6eae4,rumor big ten likely move 10 conference schedule following recent expansion,nan,"['michigan3', 'tulane']","['pittsburgh', 'casewestern']",espn wasnt willing pay sec 9 games makes source rumor think networks pay big ten 10 games
17nng69,k7ty6x8,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['casewestern'],sure supposed happen sure wasnt
16yz0x3,k3f8efh,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['casewestern', 'mississippistate']",always think willie parker topic comes unc fan steelers fan story coach time wanted bulk ground pound type instead using speed weapon refused didnt get lot playing time ended udfa tied marcus allens record longest sb td run
16keh7j,k0vzx6n,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'casewestern']",honest question rattler albino offense implied
177zlfy,k4xc341,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'casewestern']",last regular season ranked win showed broadcast acc championship
1621ag8,jxvpj7e,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['michigan', 'casewestern']",lovingly describing option nonfootball sicko friend mine weird beautiful games lead powers overmatched scrappy underdogs ended description saying yeah even sometimes team better defends well grabs early insurmountable lead ends boring borderline unwatchable curb stomping one boring borderline unwatchable curb stompings
169aftq,jz0yp6r,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'casewestern']",probably got enough time head camping world second quarter starts
17nngbp,k7ttttv,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['casewestern'],wiscy nebraska going b1g west really something
15o9ni8,jvrjgm6,else ended attending college whose team hated growing end,grew fan dad went uo gave fullride scholarship ended attending took one year stubbornly refusing switch allegiances realized lame college would couldnt root school attending softened started rooting teams play usually find hoping good things happen beavers since rarely totally fine ducks win often anyone else experience,"['oregon', 'oregonstate']","['pittsburgh', 'casewestern']",related topic didnt even let son apply penn wont let daughter either
17nrxjh,k7uko9w,northwestern 330,iowafiowaiowa location wrigley time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['casewestern'],coaches meant complained level playing
17nrxjh,k7ul1cq,northwestern 330,iowafiowaiowa location wrigley time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['casewestern'],seriously either switch ends stick damn cone spot
177wgao,k4wmv4d,wisconsin 400,iowafiowaiowa location camp randall time 400 watch tv foxlfox odds spread wis 10 overunder 360 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['casewestern'],brian get avg 25 ppg punts per right
1625rls,jxvttvv,utep jacksonville 530,utepfuteputep jacksonville location jacksonville burgesssnow time 530 watch tv cbs sports networklcbssn odds spread utep 2 overunder 540 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia', 'georgiastate']","['michigan', 'casewestern']",spending 2000 dollars give full sized bags jerky party
1625rls,jxvu8n1,utep jacksonville 530,utepfuteputep jacksonville location jacksonville burgesssnow time 530 watch tv cbs sports networklcbssn odds spread utep 2 overunder 540 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia', 'georgiastate']","['michigan', 'casewestern']",fan tackled legs nothing comment
1625rls,jxvxfx1,utep jacksonville 530,utepfuteputep jacksonville location jacksonville burgesssnow time 530 watch tv cbs sports networklcbssn odds spread utep 2 overunder 540 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia', 'georgiastate']","['michigan', 'casewestern']",dont remember seeing many testosterone supplement ads past
