post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
183rfxa,karjd7t,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",refs seem like theyre entirely utterly incompetent little wild
16w91xa,k2vpvxu,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",think arkansas stop passing really running vibe
16w91xa,k2vqdcm,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",either get tfl give 7 gonna hard watch
16w91xa,k2vviyb,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",im glad going fast fewer plays players get injured
16w91xa,k2vw260,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",school worse commercial season jesus theyre terrible
177ix9d,k4t76ar,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['texasam2', 'ccsanfrancisco']",stanford scored td thought lmao stanford came back holy shit lmao incredible
16k9mzz,k0v93zw,lsu mississippi 1200,lsuflsulsu mississippi location mississippi davis wade time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",thats good call going shoulder shoulder try make catch always allowed
1621ag8,jxv1yy2,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['texasam2', 'ccsanfrancisco']",im bitch clock running first downs
1621ag8,jxv3dit,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['texasam2', 'ccsanfrancisco']",make new mayhem commercial economy record profits wonder strokes impacting theyre lazy
16q6oqs,k1w4vp7,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",number late hits weve gotten away absurd
16q6oqs,k1w5y61,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",easily one best changes team season rotating rbs
16q6oqs,k1w6wfv,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",keep stopping clock clearly 2 minutes
16vtigq,k2tp6pc,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",clear count red zone issue
16vtigq,k2tpksw,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",hate trend covering first play 4th quarter interview
16vtigq,k2tq0op,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",feel legalization bush push
16vtigq,k2tr6hh,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",better pass defense dropping 6 dropped 8 play
17v2mhn,k995y3i,klatt look conference compete probably 7th best job sec,nan,['texas'],"['texasam2', 'ccsanfrancisco']",op respect hate hustle username year
17ydyrl,k9t6q6f,north carolina clemson 330,north carolina location clemsonfclemson memorial clemson sc time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",im super biased think rule stupid cant fumble forward anywhere except endzone go back dropped unless goes back
188p109,kbmyk0e,new mexico liberty 700,new mexico mexico location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",last look showed stowers right hand right beginning catch way ground caught time go offense td
188p109,kbmzgj3,new mexico liberty 700,new mexico mexico location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",nmsu cant seem stop liberty pick probably
18hqgx6,kd8xke9,herbstreit better period washington watch 1015 games week live septemberearly december think im allowed opinion think better,nan,['minnesota'],"['texasam2', 'ccsanfrancisco']",purdue objectively better team fairleigh dickinson skipped let purdue second round
16knfug,k0xkdl1,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",woods punch receiver originally trying strip everything punched looked like
171pswl,k3stblt,kansas 730,kansas location boone pickens time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",good god cant tackle either ded even 4th quarter yet
16cspbp,jzlqd4t,murray louisville 730,murray location cardinal time 730 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisville', 'army']","['texasam2', 'ccsanfrancisco']",pi calls absolutely missed one beginning drive making fake calls theyve wrong
16cspbp,jzly9ac,murray louisville 730,murray location cardinal time 730 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisville', 'army']","['texasam2', 'ccsanfrancisco']",omg would hilarious took home hahah
183wpji,kas5paj,tech 730,tech location bobby dodd time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",wow super weird sticky glove gets stuck helmet never actually grabbed count grabbing helmet probably see got confused though
16x7vat,k31mjjq,pat mcafee doesnt get college gameday,wonder long going espn finally realizes something ive known since first joined show since constant need upstage everyone incredibly offputting especially guest going wazzu flag claiming merely hopping bandwagon team good right thats whole different level pure ignorance pats part ill admit one personal ive one many wazzu flagwavers 15 years first time 2008 season wazzu incredibly lucky finish 211 year even sixth year waving flag biggest celebrities crowd fans every single school wanted meet us hear story tell us finding flag crowd part saturday morning routine could enthusiastic accommodating every time ive flagwaving duty youll hear tune pretty much wazzu flagwavers one person ever tried give grief waving flag gameday happened fans host school opponent dozen schools told guy get lost staying anything meaning wazzu flag college gameday visible symbol program becoming celebration host site college general see fans around country every gameday site welcome partake celebration college pat mcafee doesnt get,"['washingtonstate', 'floridastate']","['texasam2', 'ccsanfrancisco']",dont know pat mcafee point im afraid ask
16ddi8y,jzpm1cc,whats weirdest crowd atmosphere youve ever,2017 stanford beat biblical proportions cardinal ducks biggest cheer home crowd fucking rabbit took ran around 20 minutes bryce love ran 147 yards 2 scores stanford crowd barely made peep rabbit comes 30 everyone goes wild,"['michigan2', 'bowlinggreen']","['texasam2', 'ccsanfrancisco']",one went college pretty decent top deck really emptied instead visitors took seats visitors millions crickets flocking lights horrible
1728e9y,k3vd4lc,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",though refs
16ecys3,jzuy7nr,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",didnt even try block rushers punt like 6 guys back
16ecys3,jzuyskq,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",fun aggie fan scoring early make optimistic
16ecys3,jzuzlcz,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",wtf punt team grabbing ball last second leave risk turning
16ecys3,jzv0frc,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",honestly surprisingly loud seems like teams hard time hearing
16ecys3,jzv12nw,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",damn thought really tight angle get
16ecys3,jzv16tg,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",new mexico used two timeouts first drive thought itd fun use two early
16ecys3,jzv75m6,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",smooth routes also really blatant pick
16ecys3,jzvalqo,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",switched channels middle damn drive wtf
16ecys3,jzvblgz,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",wed easily average 2 yards per pass weigman would pass stride
16ecys3,jzvczqy,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",wtf secondary completely left receiver alone end zone
16ecys3,jzvivym,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['texasam2', 'ccsanfrancisco']",hey yall wanted let know much hate sports
16a716p,jz6no1e,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['texasam2', 'ccsanfrancisco']",one klubniks good passes receiver lets
18sgq11,kf7jgtk,bowl 900,amftexasamtexas location nrg time 900 watch tv espnlespn espnlespn odds spread okst 3 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",osu half players covid dont understand 4 favor many people missing
18sgq11,kf7kaf1,bowl 900,amftexasamtexas location nrg time 900 watch tv espnlespn espnlespn odds spread okst 3 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",dukes got killer eyebrows dude could take nap things
18sgq11,kf7mnrx,bowl 900,amftexasamtexas location nrg time 900 watch tv espnlespn espnlespn odds spread okst 3 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",resource group people whod rather die watch team play end watching anyway
18sgq11,kf7v3pe,bowl 900,amftexasamtexas location nrg time 900 watch tv espnlespn espnlespn odds spread okst 3 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",osu fans saying defense bad lol cant believe actually got stop
18sgq11,kf7wq9z,bowl 900,amftexasamtexas location nrg time 900 watch tv espnlespn espnlespn odds spread okst 3 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'ccsanfrancisco']",man jumped like 5 seconds early still almost got
