post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6omx,k1w6enb,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",turned man happened clemson player looks awful
16w91xa,k2vrbtf,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",3rd offense great get red zone
16w91xa,k2vsht9,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",god gonna lsu nickel dime measly goal meanwhile defense show didnt learn anything last year allow explosive play explosive play half time
16qbmww,k1wbi7r,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",would leave middle open like nhra
172ium0,k3xlh0l,arkansas ole miss 730,ole missfolemissole miss location ole missfolemiss vaughthemingway time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",another day another day im reminded oline like parents constantly let
172ium0,k3xlzsa,arkansas ole miss 730,ole missfolemissole miss location ole missfolemiss vaughthemingway time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",little showing hes one trying team
172ium0,k3xmi8s,arkansas ole miss 730,ole missfolemissole miss location ole missfolemiss vaughthemingway time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",basically chance pick throw huh
17t2g92,k8u7p5v,auburn arkansas 400,location razorback time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",team make weak offense look like damn nfl material clobbering well guess gonna busy january anyway
16x9pgh,k33hjmg,feeling rest season week 5,speaking think likely drop two likely figure activate death machine mode first loss could come soon weekend certainly 20 kentucky rolling florida ole miss tennessee also shouldnt counted beck rallying first road test jhs less encouraging inexperience qb defense injuries threepeat hinge long takes team synthesize starting get critical pieces back ladd javon mykel could matter time,['georgia3'],"['arkansas', 'centenary']",oline reminds parents never needed
18a08nd,kbv57l5,statement mike norvell cfb snub,nan,"['floridastate', 'usa']","['arkansas', 'centenary']",someone sec bias bama allowed nearly got railroaded arkansas south florida fuck outta
193kpui,kh9xovz,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']",['centenary'],thank fucking god thanks 2003 though hope saban find inner jimmie buffet
16qbn5d,k1x4a8x,tech west virginia 330,tech west virginia location west milan puskar time 330 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'centenary']",gg tortilla bros well take good care john denver year
172755e,k3utckm,whats yalls favorite rivalry doesnt involve school,every year tune red river rivalry matter great years rendition feels special two teams leaving sec every play matters exciting matchup two college footballs premier programs hands favorite rivalry involve uga also enjoy iron bowl civil war yall,['rcfb'],"['arkansas', 'centenary']",oh iron bowl doubt always entertaining matter version auburn get year
16qgjn2,k1xc3v0,arkansas lsu 700,lsuflsulsu location lsuflsu tiger la time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",got flu covid shot today yet theres boost hazardous thing health arkansas
16qgjn2,k1xcg0s,arkansas lsu 700,lsuflsulsu location lsuflsu tiger la time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",oh call holding doesnt matter ok refs thanks side
16qgjn2,k1xeluy,arkansas lsu 700,lsuflsulsu location lsuflsu tiger la time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",want touchdown least get 3 tries
17nngaq,k7to99g,arkansas florida 1200,location floridafflorida ben hill griffin time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'centenary']",man players armstrong
