post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx47u8,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'centennial']",national championship washington better play pasadena
188vvkf,kbon7w9,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['colorado', 'centennial']",surprised washington also surprised stayed much people willing write one quarter
189wh00,kbu4je3,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['colorado', 'centennial']",auburn defend one single 4th 31 wouldnt problem kidding theyd put
189wh00,kbu4vmp,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['colorado', 'centennial']",really moving towards world sec b1g power conferences everyone else either g5 g5plus
18w6kt1,kfw700n,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'centennial']",know everyone predicting sec champ rose bowl georgiafsu sugar bowl harbaugh really sure didnt send anyone tuscaloosa like doesnt seem smart thing tcu last year
16knfug,k0xj4mt,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coloradostate', 'centennial']",fans thought theyd 240 sitting
16knfug,k0xkl7e,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coloradostate', 'centennial']",team fucking showed amongst bullshit theres like 50 us lol
16knfug,k0xox2k,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coloradostate', 'centennial']",fucking showed 50 us baby
16knfug,k0xtr0u,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coloradostate', 'centennial']",coming second week bye cramps justified lol
191zla4,kgzf1x3,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'centennial']",god damn zero defense played like watching big 12
191zla4,kh08gcb,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'centennial']",even get vacated theyve proven idk 6 straight games still win without stealing signs
1925pm7,kh08rr1,postgame defeats washington 3413,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['colorado', 'centennial']",heres problem set w wumbo really mini
18uiqbe,kflmri9,peach bowl penn ole miss 1200,penn ole missfolemissole miss location mercedesbenz time 1200 watch tv espnlespn espnlespn odds spread psu 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'centennial']",rebels good containing bunch pennsylvanians atlanta last time around might lost war
18ghc1u,kd1b3aq,tell us youre proud fan team,bowl season christmas time upon us theres plenty grateful time memes aside love cfb team dont throw shade rivalteam occasional occurrence lets respectful ive also beers lay mfer lol im sincerely interested know made love teams ill start time great country talking like 3040 years born cfb teams feared two little humble midwest universities nebraska opposing teams would literally line two juggernauts whos rosters filled many farm kids first hopped combine time 12 years old college kids grew producing dinner mothers set table later night annual rivalry culmination work ethic put gladiatorlike contest bragging rights harvest country didnt appreciate kid last time nebraska natty 5 years old didnt grow actually witnessing glory years history still remains sense pride garnered serious meaning current life tradition real thing still matter however tradition may started proud college team matter wrong answers,"['nebraska', 'nebraskaomaha']","['colorado', 'centennial']",im uh well could worse could gone unco
18wvx5y,kg0tal7,reportedly wanted embarrass florida orange bowl,nan,['georgia'],"['colorado', 'centennial']",wanted prove real number 1 gator hater
188cbbp,kbk34d2,honest question fans teams perpetually bad keeps engaged,teams never seem make bowl finish couple wins decades still fans showing games,['georgia'],"['colorado', 'centennial']",never set expectations pretend like team going go 012 every year long better usually feel pretty good
