post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16kktkx,k0wk4i4,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",woo team hope make playoff better way end era longhorn victory
16kktkx,k0wwkxa,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",wyoming destroying see ya euwers lol going get destroyed sec
16kktkx,k0x9r81,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",imagine losing wyoming cant believe thought title contender stink
16kktkx,k0xa2tp,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",imagine losing number 4 slot beating embarrassing dont belong sec
16kktkx,k0xajys,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",trash dude arkansas going get many wins back overrated school
16kktkx,k0xb9vn,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",lol getting billed wyoming even wyoming irrelevant team college
16kktkx,k0xcs2x,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",bought ewers hype man good quarterback even techs guy competitive
16kktkx,k0xeu76,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",thats strong boy threw one guy another guy
16kktkx,k0xim2h,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralarkansas', 'arkansas']",wyoming gave end would tonight 100 kept aggressive
16ktcfe,k0y2aj1,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['centralarkansas', 'arkansas']",230 ive humbled abused arkansas starved colorado feel like true cfb fan
16ktcfe,k0y2scn,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['centralarkansas', 'arkansas']",things csu players probably getting heavily recruited
16awtio,jzag5ie,former president trump attend saturdays,removed,"['michigan', 'fau']","['arkansas', 'centralarkansas']",billionaire ivy league education like lmao
16awtio,jzagafa,former president trump attend saturdays,removed,"['michigan', 'fau']","['arkansas', 'centralarkansas']",end claiming actually
16qzss2,k217277,complain team,vent friendly place,['rcfb'],"['texas', 'centralarkansas']",special teams performance waco worst special teams performance since atf 1993
