post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1728e91,k3vyeda,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",mccord lucky isnt ncaa video otherwise throwing strength would solid 64 best
1728e91,k3vyshq,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",raining heavier sounds like great time bring devin brown keep linebackers honest
1728e91,k3w080p,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",im gonna start calling kyle mccord amazon prime passes like shipping theyll arrive next business day
16egmsf,jzvki86,duquesne west virginia 600,west virginia location west milan puskar time 600 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['collegecharleston', 'southcarolina']","['westvirginia', 'charleston']",cant wait hear neal brown tell us good fucking duquesne postgame presser
16egmsf,jzvl9ad,duquesne west virginia 600,west virginia location west milan puskar time 600 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['collegecharleston', 'southcarolina']","['westvirginia', 'charleston']",secondary cant find receiver force punt special teams cant gain possession ball kicked qb cant throw ball receivers consistently receivers cant catch ball team
16egmsf,jzvpb78,duquesne west virginia 600,west virginia location west milan puskar time 600 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['collegecharleston', 'southcarolina']","['westvirginia', 'charleston']",neal brown human equivalent glass lukewarm water
16egmsf,jzwcf2r,duquesne west virginia 600,west virginia location west milan puskar time 600 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['collegecharleston', 'southcarolina']","['westvirginia', 'charleston']",really team came start holy cow
16egmsf,jzwgytz,duquesne west virginia 600,west virginia location west milan puskar time 600 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['collegecharleston', 'southcarolina']","['westvirginia', 'charleston']",well thought bounced initially surprised didnt call incomplete
17t72b9,k8v7nf3,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",ryan day shouldve trolled ttun came tonight fake play sheet screenshots ncaa 14s play selector
17t72b9,k8v97fl,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",honda mccord looking like hes got vtec hood tonight
17t72b9,k8vja1o,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",jim harbaugh asked mom date back early 90ss played chicago turned couldnt proud mama 3
17t72b9,k8vjrws,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",hope everytime hairball wipes toilet paper still brown
17t72b9,k8vkcai,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",jim harbaugh pulls pants ankles pees
17t72b9,k8vko3k,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",jim harbaugh screen peeks plays halo friends wait thats assuming actually people enjoy company
16wjz1a,k2xpg98,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['charleston', 'notredame2']",duke showing easy stop run 11 players
17sxef4,k8turk5,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'charleston']",wow thought mccord bad thank lord aller chose go penn
