post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qd8l6,k1wbyy7,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['clemson', 'charlestonsouthern']",think acc going two damn good teams fighting clemson showed theyre pushover rivalry acc needs gain national respect well kickoffs wake forest stanford 1030 eastern
16q6omx,k1vwpil,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'charlestonsouthern']",matter ends theyll tell us acc sucks
16q6omx,k1vygdp,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'charlestonsouthern']",anyone ripping klubnik one play hasnt watch
16ktcfe,k0y201n,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['duke', 'charlestonsouthern']",wrong feel fucking salty cu ranked duke
16qadvo,k1vrglf,deal historically mediocre program,wondering always purdue fan hope could start build momentum last couple years nope back square one ryan walters deal fan mediocre program got people around ohio alabamamichigan etc fans,"['purdue', 'easttennesseestate']","['charlestonsouthern', 'southcarolina']",gamecock stuck sec learn enjoy smaller victories rivalry wins bowl games conference title always pipe dream
18uo86j,kfm8fy5,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina2', 'charlestonsouthern']",tuned fsu playing dudes
189wh00,kbu1pqr,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['duke', 'charlestonsouthern']",best 4 teams thats parameter gonna use case example
16keh7j,k0w4s5i,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'charlestonsouthern']",usc defense decided take nap start half
16wq174,k2yd6jk,postgame notre dame defeats duke 2114,box score provided team 1 2 3 4 notre dukefduke007714 made rcfb,['rcfb'],"['duke', 'charlestonsouthern']",literally fuck entire sport every time get hood something bullshit happens boot always stupid shit causes teams root lose
16ecyqt,jzv3ua2,ole miss tulane 330,ole missfolemissole miss location tulaneftulane yulman time 330 watch tv espn2lespn2 odds spread miss 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['tulane', 'tophat']","['olemiss', 'charlestonsouthern']",dad never abused beat make ole miss fan think thats almost bad
1621ag8,jxv6km0,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['alabama2', 'charlestonsouthern']",jason garrett smiles like serial killer seriously creeps
18sx6e0,kfaeg81,ever one favorite college players end least favorite nfl team conversely ever college player couldnt stand end favorite nfl team go,fan kansas jayhawks kansas city chiefs ive seen missouri tigers kstate wildcats end chiefs roster cant say dramatic way chiefs draft kstate player felix anudikeuzomah first round earlier year cant say stood player disliked college nick bolton mizzou drafted chiefs second round back 2021,['kansas'],"['clemson', 'charlestonsouthern']",im panthers fan nfl team never draft clemson player isthe panthers
16eb4h6,jzunoxf,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['duke', 'charlestonsouthern']",guys guys csu wins itll best 5 days lifeeeee
16eb4h6,jzupis5,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['duke', 'charlestonsouthern']",yall saying csu wont win completely ignoring thoughts prayers went
17o0i1u,k7vxm7n,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'charlestonsouthern']",huh didnt know dj u transferred seems better without dabo
1896p8u,kbpfr4b,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'charlestonsouthern']",even letting defenses take throw wacky waving inflatable arm dudes let team run would thing
1896p8u,kbpg95j,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'charlestonsouthern']",fat man tiny jerseyfat man tiny jersey
1896p8u,kbpxho3,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'charlestonsouthern']",tacky wrestling belts everything else embarrassment god man
189ycsz,kbu8af4,thamel college playoff 1 2 washington 3 4 5 florida 6georgia,nan,"['texas', 'williammary']","['clemson', 'charlestonsouthern']",milroe broke leg last night still bama still get
16wjz1a,k2yb1hn,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'charlestonsouthern']",duke stupid fuck hell would go prevent defense fuck youre stupid ass defensive strategy
17ic9fj,k6tkp91,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['alabama2', 'charlestonsouthern']",cheerleader bros gonna sore hot moist necks
1684osx,jyu14e2,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['alabama2', 'charlestonsouthern']",last saw moneyline colorado 757 meaning 100 bet would get 857 payout original bet 757
188qre7,kbmp3vk,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'charlestonsouthern']",whos staypuft man keep showing washington sideline
17nngcm,k7tk1a9,jacksonville south carolina 1200,jacksonville south carolina location south williamsbrice time 1200 watch tv espnulespnu rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina2', 'charlestonsouthern']",bc punter led lot questionable fakes today lmao
17nngcm,k7tles5,jacksonville south carolina 1200,jacksonville south carolina location south williamsbrice time 1200 watch tv espnulespnu rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina2', 'charlestonsouthern']",went one best wins school history one worse losses reaaaaal quick fandom like choosing chronic medical condition
17nngcm,k7tlzv9,jacksonville south carolina 1200,jacksonville south carolina location south williamsbrice time 1200 watch tv espnulespnu rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'charlestonsouthern']",wildcat ever worked joyner every time see line qb know stack box
