post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw85tt,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'charlotte']",saying three years losing mojo kiffin leaving big still top 7 team arent boogie man like used
16ei5hq,jzwjcb8,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['charlotte', 'northernillinois']",funny happens bama doesnt play cupcake schedule first weeks
16ei5hq,jzwk24b,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['charlotte', 'northernillinois']",dont worry cfp committee call quality loss getting dominated home im already prepared lmao
172b4cp,k3vysgm,marshall nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'charlotte']",talk wanted guy brennan armstrong quiet
18wbuu4,kfx2uf5,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'charlotte']",find spanish espn app
18wbuu4,kfx76hl,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'charlotte']",dont care wins ship would rather watch offense offense anything else
18wbuu4,kfxc05j,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'charlotte']",simply dont commit penalties dont want call lol
18wbuu4,kfxyz7p,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'charlotte']",im never betting sports ever life uw money line
18wbuu4,kfxz29j,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'charlotte']",defense gain advantage offensive player getting hurt needs fixed next year
16ktcfe,k0y4yju,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['marshall', 'charlotte']",shows colorado start getting pushed around starting next week im definitely deserve nowhere near top 25
16qadvo,k1x3t72,deal historically mediocre program,wondering always purdue fan hope could start build momentum last couple years nope back square one ryan walters deal fan mediocre program got people around ohio alabamamichigan etc fans,"['purdue', 'easttennesseestate']","['charlotte', 'ncstate']",spend rest life rooting one worst fbs programs haha
