post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvp3kn,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'chattanooga']",clock going slowly dont know proving disproving relativity
16ei5hq,jzvxfdj,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'chattanooga']",feeling good far looks stout hopefully milroe settle
16ei5hq,jzwbiv6,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'chattanooga']",ok ive seen enough lets see qbs look like
16ei5hq,jzwf6vl,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'chattanooga']",ya hate see ya really hate see
16ei5hq,jzwffkg,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'chattanooga']",every third poster bama threads uga flair dont remember case five years ago
16ei5hq,jzwkhkw,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'chattanooga']",saban worst coach history college
17fdg9z,k6bk25y,arent enough instate played college,opinion every school least one instate division 1 school play every year west virginia play marshall msu play one directional schools ohio play one ohio mac teams cincy every year uga gt need schedule either southern kennesaw year understand cmu isnt going terms revenue ohio regional games make college special,"['georgiasouthern', 'sunbelt']","['tennessee', 'chattanooga']",would love matchups flairs every year also mtsu would pretty cool
172i5sr,k3x6fbd,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'chattanooga']",far good holding penalties go ill take milton qb doesnt get literally murdered lmao
172i5sr,k3x89in,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'chattanooga']",idk man soft coverage red zone pretty wild decision qb whos completing almost 90 passes
172i5sr,k3xaab2,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'chattanooga']",want dawgs win hurts thump
172i5sr,k3xb3p2,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'chattanooga']",getting beat 1 1 2 1 coverage bowers one thing cant imagine forgetting put anybody
172i5sr,k3xit0m,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'chattanooga']",mistake hell learn dont need force ball like big lead 3rd long
172i5sr,k3xjvcj,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'chattanooga']",reeeeeeeeallly forcing ray davis hardship thing right lol
18wbuu4,kfxy27j,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'chattanooga']",dont think close idk theyll overturn
16ktcfe,k0y1um0,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['lsu2', 'chattanooga']",leave white dude defense guy last years team end
17y9i7m,k9scdyq,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'chattanooga']",kid less 50 passing completions hes tearing us new asshole life sooners fan
