post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17ny5nn,k7urpa4,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['player', 'coach']",bedlam champions 2023 heat death universe
177ix9d,k4t7957,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['coach', 'oakland']",cant believe fell asleep halftime im genuinely upset woke cus first ot score happened stanford score every possession cu also meltdown epic proportions went
18w6kt1,kfw2l7y,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",one greatest things rose bowl dumbass anthem
18w6kt1,kfwxapb,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['coach'],worst bama defense ive seen long time many communication errors
172s434,k3ygqlw,postgame usc defeats arizona 4341 3ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['coach', 'oakland']",rnfl week chicago bears tank fifita
17dw5ek,k5zcnr5,vannini pat mcafee says hasnt resigned college gameday large part unhappy fans,vannini pat mcafee says hasnt resigned college gameday large part unhappy fans excited enjoy rest year thats shaping great one see future holds fwiw im mostly propm cg qts mcafee tweet brought attention times last days ive never friends human reads athletic im 100 sure style human 3100 folks huge shahtaht 30 hell yeah 49 great news heard loud clear since beginning stint gameday one biggest reasons resigned contract legendary show im right crowds distinguished college folks definitely one excited enjoy rest year thats shaping great one see future holds absolute blast honor desk work fine folks family also really fun work 7 days week last 2 seasons nice reminder im still fucking dawg dumbest life time shall roll lets great nfl sunday cheers,['calgary'],['coach'],never make everyone happy love pat dont like freedom change channel easy
172mpmi,k3y0ybq,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",know taylor swift boyfriend whos smalltime commercial actor plays
172mpmi,k3y1dy6,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",guy named jedd fisch kind hippie antiwar folk singer
172mpmi,k3yez0r,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",rnfl next week teams tank year fifita
17y5zcv,k9rr270,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['coach', 'oakland']",ugh tuned minutes ago already tired airfiller talk else morning
17y5zcv,k9rrbol,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['coach', 'oakland']",whats funny whole segment filling airtime none probably believe anything saying
17y5zcv,k9rrh4m,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['coach', 'oakland']",anyone know games sidebar tbd
17y5zcv,k9ruh30,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['coach', 'oakland']",swear ive seen segment fan multiple times cgd
17y5zcv,k9rwz44,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['coach', 'oakland']",espn surprisingly irresponsible kick challenge set lol
177dn6h,k4spjci,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",stanford get band help
177dn6h,k4srf0x,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",longwinded way saying players left stanford wanted play ball school
177dn6h,k4ss63i,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",lead blockers literally nothing dothats testament bad stanford playing
177dn6h,k4ssiwr,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",stanford university kids cant good want learn stuff good
177dn6h,k4t7eq7,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",course sc shows three damn plays want see damn highlights progression went good lord ive never pissed falling asleep
189go15,kbrv8to,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",spirit bar drinking scoresi finished entire bottle wine since kickoff isnt hard drink going suck tomorrow morning
189go15,kbrwgc4,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",bar info xgolf cedar rapids fin golf simulator bar lol
189go15,kbrxagq,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",hope axes brian ferentz bowl goes puts 70 points
18ekefp,kcobq77,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",flyover submarine yall thats didnt see
18ekefp,kcoe6va,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",te cut de still legal area
18ekefp,kcofb9c,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",many times tell forward pass mistake
18ekefp,kcoi8h6,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",passing td armynavy sorcery
18ekefp,kcoinhm,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",rated pgf parental guidance anyone named ferentz
18ekefp,kcoj0yz,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",whelp tonedeaf uniforms army ever worn
18ekefp,kcojkzj,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",good time feel like root navy nowarmy saluting invasion iraq isa choice
1781x7x,k4wtgun,postgame defeats wisconsin 156,box score provided team 1 2 3 4 iowafiowa070815 made rcfb,['rcfb'],"['coach', 'oakland']",iowas gonna win championship get fire cancer oc one swoop lol
188qre7,kbmmaef,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",best fannsville commercial time literally played
191zla4,kh049td,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['player', 'coach']",every big play clear hold replay refs calling one every 5 6 dpis
176it07,k4n6512,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",oak park west bloomfield expect hear broadcast
176it07,k4n6jw5,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",hypolite sounds like energy drink could buy businessman give 200 three friends sign
176it07,k4n6vsw,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",yo houston safeties gonna stop biting run
176it07,k4na3w3,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",wvu thrown railrb wheel three times way exploit flats man hospital pass waiting happen
176it07,k4nbyji,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",manjack cfb version mad jack manjack doesnt wear gloves modern mad jack goes modern war longbow sword
176it07,k4nf68q,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['coach', 'oakland']",stack db wrs route technique absolutely beautiful
16x7vat,k314dlw,pat mcafee doesnt get college gameday,wonder long going espn finally realizes something ive known since first joined show since constant need upstage everyone incredibly offputting especially guest going wazzu flag claiming merely hopping bandwagon team good right thats whole different level pure ignorance pats part ill admit one personal ive one many wazzu flagwavers 15 years first time 2008 season wazzu incredibly lucky finish 211 year even sixth year waving flag biggest celebrities crowd fans every single school wanted meet us hear story tell us finding flag crowd part saturday morning routine could enthusiastic accommodating every time ive flagwaving duty youll hear tune pretty much wazzu flagwavers one person ever tried give grief waving flag gameday happened fans host school opponent dozen schools told guy get lost staying anything meaning wazzu flag college gameday visible symbol program becoming celebration host site college general see fans around country every gameday site welcome partake celebration college pat mcafee doesnt get,"['washingtonstate', 'floridastate']","['coach', 'oakland']",havent watched single day yet year kinda glad replace rugby soccer two sports open play commercials commentators actually talk front time games end cfb games kicking
16doerv,jzreoou,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['coach', 'oakland']",tuned jayhawk helmets look like smoked really bad weed
16doerv,jzrgm6z,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['coach', 'oakland']",anyone else able resist giggling see bert
16doerv,jzrifyx,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['coach', 'oakland']",yep gonna get one definitely one cases actually tried tackle properly would fine part love rugbythey penalize attempting use proper tackling form wrapping
