post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvr90p,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",anyone know theres multicast oregonttu cant find one yttv
16ei5hq,jzvscvq,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'cobra']",paused possession like 30 seconds came
18wbuu4,kfxs4ad,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",washington looks damn good saying pac 12 best conference year cant wait see pac 12 next year
18wbuu4,kfxvbq1,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",id love atlanta take penix dudes balleractually never mind wouldnt wish anyone play arthur smith see bijan
18wbuu4,kfxx196,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",obviously stop clock injury wouldnt clock start ball set afterwards
16q6omx,k1vob6x,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",gave momentum past 2 minutes frustrating
16q6omx,k1vw2z4,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",shipley powerful smaller guy glad hes getting tds today
16q6omx,k1vymk7,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",comment best quarter weve played year fumble spoke soon lol
16q6omx,k1vzk1e,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",might time reach whistle pig games nerve wrecking
16q6omx,k1w04zi,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'cobra']",wonder fsu defense enough time recover gas
16q6omx,k1w0m17,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",win lose fight ive seen past couple years weve lacking physicality long
16q6omx,k1w82v5,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",gg fsu coaching staff fucked us end brutal way lose
16ktcfe,k0y1tc1,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['alabama', 'cobra']",guy waiting yell believe matter
183rfxa,kaqwhz1,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rcfb', 'cobra']",auburn commit murder get penalty call sneezes wrong theyre gonna get flag
183rfxa,kari20d,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'cobra']",point employing gene steratore youre going check
183rfxa,karig3u,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'cobra']",bama fan could never get go jordan hare place dark magic something
17q3a8o,k89id54,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['paperbag', 'cobra']",yall remember driving fast seems long ago big nonstop entertainment northwestern mich st mich rutgers ohio wanna dip toe water publicity good publicity right
16w91xa,k2vx4dc,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'cobra']",someone told officials teams getting penalties last week making conference look bad wont call anything
16w91xa,k2wdfyg,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['paperbag', 'cobra']",root cant watch hogs anymore season
16qbmww,k1wl5bv,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['olemiss', 'cobra']",hits dart taking hes gonna need cat scan like greys anatomy airs thursdays cbs
16qbmww,k1wmnh7,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rcfb', 'cobra']",needs suck need bad students boo team refuse show need give merch third world developing countries need bad true purge like 35 years come back like undertaker 2030 sweep 24 team cfp
