post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvz089,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",bama still completely unable deal sort vertical speed seems
16ei5hq,jzw87ws,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colgate', 'texas']",absolutely way loses fan ive watched ewers enough recognize doesnt skill receiver corp keep defense inevitably tires
16ktcfe,k0y1t8y,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['syracuse', 'colgate']",pi 3rd crazy
17d4he4,k5uxznq,rutgers indiana 1200,location indianafindiana memorial bloomington time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'colgate']",got dollar every time gavin overthrew open receiver id something like 3540 dollars season
16kehex,k0vy679,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'colgate']",gavin two downs much room run hedidnt
16kehex,k0w8k0b,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'colgate']",sigh trying run clock 50 uninspired better team awful idea
16kehex,k0w9t71,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'colgate']",oh look took foot gas two entire quarters play vt back predictable
16kehex,k0waqi9,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'colgate']",feels like car crash slow motion waiting vt take lead back
16kk458,k0wt0bf,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",syracuse catch ball challenge syracuse dont shank punt challenge
16kk458,k0wy56t,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",kinda feel card hes dealing aside fumbles
16kk458,k0xdvg9,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",back back years horrific officiating sad
16kk458,k0xej53,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",outrageous showing shrader tonight passing statline wouldve looked much better without drops without gadsden man
18w6kt1,kfw4fjv,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",bama never wear red whites go hard
15i2fvk,jurtle8,mcmurphy pac12 unable get grant rights signed morning nothing changed far washington joining big ten ducks huskies still expected big ten bound finances worked,nan,"['texasstate', 'emeritus']","['colgate', 'syracuse']",havent entertained chaotic news reporting situation since cm punkelite debacle aew
17yjuwx,k9u2o03,syracuse tech 800,tech location bobby dodd time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",fact playing te qb nasty business really dont trust davis
17glplv,k6hk72h,walker via footballscoop michigans cheating top helped teams cheat might dirtiest team college history,,"['ohiostate2', 'ncaa']","['colgate', 'syracuse']",michigans playing roll wrestling heel going interfering matches
189it1b,kbththn,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['colgate', 'syracuse']",group five fans feeling watch powers go hunger games using arguments keep playoff
1684osx,jyu4pda,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['syracuse', 'colgate']",colorado looks legit hunter sustainable though theyll need load manage way shape form think
1684osx,jyue4ki,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['syracuse', 'colgate']",wanted check games one banger lol
17ggk5k,k6gh05d,ncaa probe began firm obtained evidence computers,nan,"['rutgers', 'tft']",['colgate'],among pieces evidence firm presented people said detailed schedule michigans planned signstealing travel rest season listing opponents schedules games scouts would attend much money budgeted travel tickets scout team
17boqii,k5koqiz,big ten claims using vast network steal opposing teams signs per athletic,nan,['colgate'],['colgate'],big ten conference approached university wednesday described credible evidence university program successfully stolen signs called opposing teams coaches season according multiple sources briefed leagues communications approached league forewarning ahead weekends matchup rivals east lansing according source briefed conversations upon learning pending investigation initially warned big ten might consider playing saturdays concern health safety players thursday morning msu confirmed indeed play
168z6sg,jyytw9m,northwestern rutgers 1200,location rutgersfrutgers shi time 1200 watch tv cbslcbs odds spread rutg 65 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['rutgers', 'colgate']",proud new jersey good start far need see many offensive possessions ill start feeling okay team
18jkcv4,kdls64f,say something sincerely good rival,holiday season lets spread love team washington rivals wsu moving forward reliably schedule traditional rival head coach balls 4th attempts us legit respected making call go regardless outcome outcome could gone either way schools made great hires year look forward rivalry watched talked whole country moving forward,['washington'],"['colgate', 'syracuse']",alma mater doesnt team cortland rival thanks bringing national title new york
16w91w6,k2vn15z,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",clemson looks vulnerable well probably lose 30 instead playing close like usual
16w91w6,k2vqazu,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",lmao would even got penalty much egregious version thing
16w91w6,k2vrxd2,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",fucking course coming back man cant team
16w91w6,k2vvm5q,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",kentuckys rb ray davis 190 rushing yards florida theres still 11 min left 2nd lol thats crazy
16w91w6,k2vz4y3,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",allen shrader ripping 3 straight sick runs decide call two deep balls lol guys
16w91w6,k2w084i,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'colgate']",thats like 4th time hes done maybe adjust dino
