post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvus06,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",officiating crew friday would called 6 7 targeting penalties already
16qd8l6,k1wc09p,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['clemson', 'coloradomines']",went conservative kicker roster 5 days called many timeouts shouldnt played prevent defense 2 minutes left half resulting td threw screen pass 3rd 1 running getting established coaching lost
172i5sr,k3x811s,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'coloradomines']",youve gotta get harriston theyre going go
16q6omx,k1vhty0,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'coloradomines']",better throw makes td sure heck catch rough see
16q6omx,k1vid1w,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'coloradomines']",death valley gonna nuts rest
16q6omx,k1vrf2t,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'coloradomines']",absolutely cannot let walk opening drive excited see team adjust
16qh8am,k1xezfn,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",sorry baylor need win triumph next week even greater
16qh8am,k1xhtm5,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",okay fun minutes get new coach baylor
16ktcfe,k0y1ru5,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['washington', 'coloradomines']",glad buffs wasnt primetime csu prepared team tonight showed cu rebuilding program shouldnt overlooking opponents even deon
16ktcfe,k0y2fd2,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['colorado', 'coloradomines']",cus check parade 34 tale two offenses
16ktcfe,k0y5bbk,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['colorado', 'coloradomines']",henry blackburn shouldve ejected targeting review play beyond
16ktcfe,k11pz5m,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['colorado', 'coloradomines']",im trying understand interception early watching quarter speed seems like receiver possession albeit infinitesimally brief seems odd take ball receiver ground call interception process catch thing happened run play dont think would ruled fumble
17mf1p1,k7ljsys,tcu tech 700,tcuftcutcu tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",guy carry tire around whole
17mf1p1,k7lk9jl,tcu tech 700,tcuftcutcu tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",tech fans hate oc much ou fans hate lebby
188vvkf,kbnaiu1,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['clemson', 'coloradomines']",got good value moneyline washington 35 course final score
17deytd,k5x76el,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",b12 refs think thats 12 yard yard short
16ko1na,k0xkumf,kansas nevada 1030,location nevadafnevada mackay time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",keys hurt sucks also didnt see defensive hold
16ko1na,k0xn52s,kansas nevada 1030,location nevadafnevada mackay time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",seems like getting picked holding calls little bit nevadas flagged one penalty obvious dpi world
16ko1na,k0xrazl,kansas nevada 1030,location nevadafnevada mackay time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",worried jayhawks right say would really fun see deions head explode lose csu tonight
16ko1na,k0xrwmv,kansas nevada 1030,location nevadafnevada mackay time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",got 545 go work morning afternoon byu next week nice
16ko1na,k0xtb7c,kansas nevada 1030,location nevadafnevada mackay time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",sleepwalking fact nevada hasnt called hold yet kind bullshit
16ko1na,k0xx2mk,kansas nevada 1030,location nevadafnevada mackay time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",considering weird mountain west voodoo appears going around today im upset right
17nng69,k7sya30,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",need get att eat chips like asshole
17nng69,k7t14ew,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",im glad dont official today always get bullshit whistle
17nng69,k7thets,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",ball never know officials
17nng69,k7tlgsr,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",dont understand kstate doesnt throw ball oc trying prove point
17nng69,k7tp3ww,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",trying give away bad idea especially bad opponent kstate
17nng69,k7tq2j3,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",official antitexas hates ku think sucks
17nng69,k7ttbzj,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'coloradomines']",running right nfl front hasnt worked day fucking stupid
