post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1689xyu,jyum05t,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",ive always felt camp randall isnt best tv broadcasts feels particularly worse today
1689xyu,jyusmah,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",well good thing didnt spend like 180 per ticket osu
1689xyu,jyuzmtv,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",need mute half time announcers special
1689xyu,jyv2qhb,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",feel like ive never seen halftime less breakdown xs os
1689xyu,jyv4b4a,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",latu provide nothing positive
1689xyu,jyv6vpd,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",announcers realized backfield half time feel like theyve wrong times
1689xyu,jyv9yb7,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",going another jump around announcer humps one feels prime
1689xyu,jyvd7ke,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'concordiawi']",mordecai much better evers cant say ive impressed argument keeping evers prevent freshman mistakes hes couple rather bad interceptions
17xw6oo,k9q96pm,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['concordiawi', 'germanyteam']",wazzu player id go deion say lost lil boi
17xw6oo,k9qajmp,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['concordiawi', 'germanyteam']",deion going cry post presser cannot sleep night didnt offer 100m 2 years
17xw6oo,k9qauwg,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['concordiawi', 'germanyteam']",deion bleach mustache blonde show new program hot air balloon call mr big nub
18ii5mb,kddv8l4,moore people demand ncaa cfbplayoff include orangebowl college playoff ugaathletics seminoles uga top 4 teams usa,nan,"['floridastate2', 'bcs']","['ohiostate', 'concordiawi']",mandate send four best teams playoff instead created political mess decision based bias weaker conferences teams want nothing playing bulldogs translation ruff ruff ruff
16eiwlx,jzw2osc,wisconsin washington 730,washington location washington martin time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['washingtonstate', 'oregonstate']","['wisconsin', 'concordiawi']",oof going long long season big ten year
16k9n4r,k0uowd9,southern wisconsin 1200,southern location camp randall time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'concordiawi']",dread run matt millen 11 btn still arrives
16k9n4r,k0utaqg,southern wisconsin 1200,southern location camp randall time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'concordiawi']",modecai throw ball least 5 times past couple games hasnt even given guy chance
16k9n4r,k0uvbdu,southern wisconsin 1200,southern location camp randall time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'concordiawi']",played good defense first quarter wisconsin general weve gotten lucky bend dont break far
16k9n4r,k0uxvsn,southern wisconsin 1200,southern location camp randall time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'concordiawi']",allen cant read hes supposed pick save life
16k9n4r,k0uzl5i,southern wisconsin 1200,southern location camp randall time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'concordiawi']",look holes offensive line made ball sometimes never know good
16k9n4r,k0v3jl6,southern wisconsin 1200,southern location camp randall time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'concordiawi']",mordecai weird quarterback miss every throw right decision two drives straight suddenly go 1010 touchdown go back missing everything numerous drives
16k9n4r,k0v793k,southern wisconsin 1200,southern location camp randall time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'concordiawi']",run line twice throw incompletion punt sounds like plan
