post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxp9ag,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['csufullerton', 'ucla']",ummmm penix clearly looks like best player america missing
168bu91,jyuszs7,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['csufullerton', 'ucla']",would fools doubt prime even failed
172f8wn,k3wcapf,postgame defeats 3430,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['usc', 'csufullerton']",sark reverting back usc ways defence see
18w6kt1,kfw6gcx,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['csufullerton', 'ucla']",lets honest bama basically forced 2 turnovers 2 possessions
15i2fvk,jurtosr,mcmurphy pac12 unable get grant rights signed morning nothing changed far washington joining big ten ducks huskies still expected big ten bound finances worked,nan,"['texasstate', 'emeritus']","['usc', 'csufullerton']",washington always going come even think stanford cal eventually come
18t420f,kfbs0i5,hill die rooting conference absolutely cringe,born dolphins fan became fsu fan went someone nfl fan first idea rooting rival unfathomable bring bleach ever root patriots,"['floridastate2', 'floridacup']","['kansasstate', 'csufullerton']",bill snyders accomplishments kstate impressive nick sabans
17ydyqe,k9tonqd,ucla usc 330,uclafuclaucla uscfuscusc location uscfusc los angeles memorial coliseum time 330 watch tv abclabc odds spread usc 65 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['csufullerton', 'ucla']",get lincoln riley buyout watch going gotta close 100 million
16knfug,k0xgvx9,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['csufullerton', 'ucla']",really whole world calling coach prime lmaoooooooo
189it1b,kbu50x6,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['csufullerton', 'ucla']",someone gonna mad thats ranking shit weak
193l4wc,khajms6,pete thamel likely internal replacements heres quick projected target list dan lanning kalen deboer dabo swinney james franklin mike norvell marcus freeman,agent season upon us,"['notredame', 'vanderbilt']","['notredame', 'csufullerton']",dixie dooley charlie weis mark mangino days
17dv7bd,k5z7wmc,complain team,vent friendly place,['rcfb'],"['csufullerton', 'usc']",im done ever getting hopes team offseason ever
