post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17deytd,k5woui0,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'csulongbeach']",lol ruled incomplete utah fans gonna coronary
17deytd,k5ws2nh,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'csulongbeach']",utah doesnt try throw defense cant catch heroes
17deytd,k5wyznn,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'csulongbeach']",im gonna start parroting utah fans holding wheres holding call
172s434,k3ygr6v,postgame usc defeats arizona 4341 3ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['usc', 'csulongbeach']",probably third week row drop rankings despite undefeated deserved
191mhz7,kgwn2i3,said ill say national championship shouldnt kicking damn late anymore,take work tomorrow able watch whole damn tonight least bump hour us people go work morning get reasonable amount sleep,"['auburn2', 'florida']",['csulongbeach'],guess point pacific time zone get watch since already killed pac12
169aftq,jz0v2ga,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'csulongbeach']",nice td feel like 4 didnt deserve blocking last play
169aftq,jz0ygxr,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'csulongbeach']",toy need slowmo replay know inbounds still penalty
169aftq,jz0ymx2,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'csulongbeach']",lsu players looking around waiting flag incomplete pass
169aftq,jz15vkc,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'csulongbeach']",think fix also think arm coming forward dont understand expert saying arm affected defender shit sounds made
15o68ro,jvr6blg,would 10year ago think told last decade gone favorite team,id shocked butch jones left bowl 2012 dantonio kelly done prior big east collapsed joined american conference 2013 season tell new head coach tommy tuberville would start backtoback 94 seasons go 1114 last two seasons manage piss entire fanbase way id confidence things would turn around soon tell next head coach luke fickell went 48 first season id dejected would absolutely lose mind think im lied hearing wed rattle seasons 112 113 91 131 94 going 48 2016 2017 backtoback ny6 bowls including first ever g5 team make cfp wouldve sounded impossible id certain lied tell 2013 first year american conference decade wed big 12,"['cincinnati', 'ohiostate']","['usc', 'csulongbeach']",wait one rose bowl season started 13
