post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6omx,k1vhzra,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",golden bachelor audition man cant wait meet hot 20 year olds daddy issues abc chooses golden bachelor taping grandmothers
17deytd,k5wyvdr,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",fox promoted israel fund going straight billionaires pocket right
17nng69,k7tuknm,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",kansas st deserved miss goal based awful third call
17iov6h,k6w93xn,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",announcers start talking clock way impact
17iov6h,k6w9rk1,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",possession knee kinda think didnt catch
17tlq6f,k8xue85,thamel early list potential names knowing money object lane kiffin mike elko mike norvell dan lanning jeff traylor chris klieman kliff kingsbury kalen deboer,,"['georgia2', 'awardfestival']","['alabama2', 'csupueblo']",know gonna pay dave aranda 200 million day baylor fires
16yz0x3,k3e0nuq,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['alabama2', 'csupueblo']",name player played shula probably tim castille leron mcclain
16a07so,jz4p2rl,college massive commercial problem,nan,"['rose', 'bigten']","['washingtonstate', 'csupueblo']",remember talk last year brand value better matchups sell casual fans tv viewership markets important factor realignment heck people think networks buying inventory tack adds drive revenue cant understand people didnt see coming
18efp1z,kcnjt8t,watching espn try clean mess last days fascinating,day like different chapter damage control text book day 1 pure propaganda every one biggest analysts proudly declared committee got right sometimes teaming stephen awkwardly leaning tanktops desk telling us think like something north korean film didnt work day 2 victim shaming tried rake undefeated team mud constantly comparing trying make us forget two 1loss teams jumped undefeated champion finebaum saying committee probably fsu highlight didnt work day 3 trying downplay outrage big deal fsu needs shut already ignoring fact whole country pissed doesnt get picked every single news outlet nothing day 4 false sympathy feel bad fsu way wasnt pretty enough yeah 85 kids got dreams stolen corporation needed business partner represented message received day 5 throwing someone else committee bus think committee got wrong see america mad please forget led antifsu campaign last 3 weeks definitely dont think kirk saying didnt want right thing wants good games go undefeated next year might make b1g sec invitational may odds ever favor day 6 trying play victim kirk looked pretty rough yesterday knew corporate puppet could come consequences tell hes never bad guy plenty people didnt like hes hated cant deal classic baddies moment handle day 7 well wait see,['floridastate'],"['alabama2', 'csupueblo']",personally find fan outrage reactions much funnier schrdingers espn dont care fans think care fans think conspiracy theories man hysterical
17df8ox,k5waqi7,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['minnesota', 'csupueblo']",first win since 2014 first win road quarter century never thought id see day holy shit
17nrxeu,k7u6aua,missouri 330,location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",340 left first half nw less 100 yards combined
177wgao,k4wm5tk,wisconsin 400,iowafiowaiowa location camp randall time 400 watch tv foxlfox odds spread wis 10 overunder 360 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",1525 total offensive drives two teams resulted 3 punts one drive ending half two plays
1896p8u,kbpkdv5,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",okie st score touchdown get nothing fg definitely
1896p8u,kbplhlq,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",proposal make illegal show players parents one gives shit seeing people
1896p8u,kbpono9,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",refs need end shit defense isnt sending guy get way
1896p8u,kbppgke,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",sark going go 70 bush league shit
1896p8u,kbpzi8g,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",xavier worthy close devonta smith get without actually devonta smith
1896p8u,kbq03ph,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",look painful ankle twisted high school like hurt month
1896p8u,kbq48qb,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",keurig dr pepper made 6 billion 2020 afford
17ydyqe,k9t2rhu,ucla usc 330,uclafuclaucla uscfuscusc location uscfusc los angeles memorial coliseum time 330 watch tv abclabc odds spread usc 65 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",got love balls tv executives literally showing potential turnover going decide go commercial
17etkag,k667ui1,whats punishment,found guilty allegations punishment would receive level violations would,"['michigan', 'southcarolina']","['alabama2', 'csupueblo']",mean year bowl ban harbaugh suspended year almost guarantee
177dn6h,k4t6u52,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",well sanders legit skills oof bad mental mistake
16knfug,k0xmot5,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'csupueblo']",would could late hit
