post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxoe9q,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'cw']",tell one thing uw cant stop tx rushing going rude surprise come um
18wbuu4,kfxpdxg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'cw']",mcconaghey gonna extra shirtless upset one
18wbuu4,kfxpguu,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'cw']",recievers catching everything coming every angle
17t7o6c,k8vrzqd,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",placing mics close crowd sounds like people every time unc positive play audio starts clip half full lol
17t7o6c,k8vt6kq,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",shoutout espn squeezing every dollar sport even means immediately eagerly cutting ads unpaid labor players get injured
17t7o6c,k8vwnd0,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",many blue chips roster run fits still fucking ass lol
17t7o6c,k8vxabe,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",mixing fucked lol usher nearly loud play play guys
17t7o6c,k8w0cx1,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",theres good chance already lol absolutely asinine even look play earlier
17t7o6c,k8w0qak,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",beyond fucked even ot fuck conference man
17h8let,k6m9l0y,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",record dont like targeting rule general youre gonna get one every time
17h8let,k6m9ys2,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",thinking time rgiii said slur live tv meant say jabroni
17h8let,k6mbfte,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",know coaching tough business guys smarter dont see value taking 3 points
17h8let,k6mbyjz,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",30 points half p5 team fucking wild us man thinking funete said feel better passing ever paraphrasing 3 passing yards half boston college 2021
17h8let,k6mcpp3,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",would love coach give rundown changed run fits cause getting gashed sunbelt teams early season lol
17h8let,k6mdj8p,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",happy undergrads getting good thursday night got tech 2018 gross
17h8let,k6mfft8,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",dont wanna mean gamblers might considering fading cuse rest season lol
17h8let,k6mi4yr,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",hitting griddy dimly lit living room vt creates safety 4tds like 2006
17h8let,k6mjnzs,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",player unpaid labor gets injured time make money even ads
17h8let,k6mopcf,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",dan mullen obviously smart dude hes odd one sure lol
17h8let,k6mqcl7,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",grant wells thinking meatloaf wife cooked waiting gets home
18uo86j,kfm2jtc,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",myriad braindead users joined sub 6 months ago gonna point say see wanna go back like 2016 sub wasnt filled garden variety message board users
18uo86j,kfmgq06,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'cw']",never forgive robert anae denying nc opportunity play fsu team acc title
17sxecm,k8t2s4t,virginia tech boston college 1200,virginia tech boston college location boston alumni chestnut hill time 1200 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",dont like single players give shit parker clements
17sxecm,k8t8458,virginia tech boston college 1200,virginia tech boston college location boston alumni chestnut hill time 1200 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",buddy broadcast stinks pretty sure missed snap commercials earlier lol
17sxecm,k8tbsw9,virginia tech boston college 1200,virginia tech boston college location boston alumni chestnut hill time 1200 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",weve rotten injury luck safety year certainly doesnt help run fits
17sxecm,k8tcq08,virginia tech boston college 1200,virginia tech boston college location boston alumni chestnut hill time 1200 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",dunno castellanos stays healthy man taking beating sound every week
17sxecm,k8tlawv,virginia tech boston college 1200,virginia tech boston college location boston alumni chestnut hill time 1200 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",feel like weve deviated heavily nearly every pregame spread year lol books sharp evidently weve tough get handle
18sbres,kf6qudx,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'cw']",seeing deep td passes foreign concept watching military bowl lol
18sbres,kf7g5r3,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'cw']",luv mayo ate tar holes racist like em simple
18w6kt1,kfvzn6j,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'cw']",start redemption arc espn going
18w6kt1,kfw52un,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'cw']",wouldve thought would lowest scoring today day played
