post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1621ag8,jxv1br1,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['davidson', 'notredame2']",crowd aware neither teams boston
17sd1ye,k8ozut6,sources big ten expected discipline inperson scouting ongoing sign stealing investigation prohibit jim harbaugh sideline conclusion regular season allowed coach week,,"['georgia', 'cfp']","['ohiostate', 'davidson']",probably feels like much fans enough guess thats compromise
169aftq,jz0xu37,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'davidson']",anyone know horns come sixth measure second time main tune fsu war chant part starts low gets higher pitched harmonizes main horns section apologies im butchering music terminology
169aftq,jz0yi5b,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'davidson']",anyone know horns come sixth measure second time main tune fsu war chant part starts low gets higher pitched harmonizes main horns section apologies im butchering music terminology
169aftq,jz14lge,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['davidson', 'notredame2']",fsus center useless dont know wouldnt blitz gap every play stop
169aftq,jz15tfp,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['davidson', 'notredame2']",kind tickytack shit possession didnt change roll review say arm went forward yards
169aftq,jz1ao5f,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['davidson', 'notredame2']",like herbstreit old enough think people still give shit sportscenter
169aftq,jz1kv00,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['davidson', 'notredame2']",hope brian kellys ac goes car way home tonight
16qh8i7,k1xkwvi,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'davidson']",ball psu 1 defense iowas best chance score
183rg2e,kaqz695,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['davidson', 'virginia']",get new cameraman gonna embarrass least want see
183rg2e,kar5zxi,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['davidson', 'virginia']",every year im convinced coaches execute players dogs day
