post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvwh9y,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'deepsouthsoldestrivalry']",secondary ut looks like mesh needs able play man beat bama productive run
16ei5hq,jzvz1vs,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'deepsouthsoldestrivalry']",obvious passing plays milroe always scary bama fans loves tight window
172i5sr,k3x8uk6,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",ngl drawing really good plays davis blocks really clean
172i5sr,k3x9pyn,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",long arent clapping disconcerting signals yelling ol legal long dont simulate snap call
172i5sr,k3x9t43,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",smoking qb fine gentle qb
172i5sr,k3xbjng,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",took eye hair soon didnt rara even attempt catch pass
172i5sr,k3xg9mq,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia3', 'deepsouthsoldestrivalry']",8k stream get band sound
172i5sr,k3xihr2,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",pay attention kentucky holding every wr play lets call opi
172i5sr,k3xl8ub,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",heisman consider impact player makes team team plan specifically player still matter heisman worthy statfocused award easy voters dumb dominant defensive players overlooked mediocre qbs compile lot stats throwing screens
172i5sr,k3xrgtd,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",defensive ppg remain 13 offensive ppg jump 41
16q6omx,k1w3qil,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",absolutely awful dpi call late drawing social security flag hit ground
16q6omx,k1w55k2,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",dabo played fg guy called monday kicking doofus
16q6omx,k1w6e2h,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",clemson dbs grabbing call thats fine dont call one way
183rfxa,kaqvksq,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",chew refs want nothing ever changes circle wagons defend say get right wrong means everyone ignore egregious misses technology available make mistakes
183rfxa,kar2fv8,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",want christmas teams lose today
183rfxa,kar3fma,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",guy thing gary says penalty gary see isnt penalty
183rfxa,kare0fg,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",im currently giving thanks commercials never mind realize many products services available
183rfxa,karik5e,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",foot touching white saying see slice green blurry image nonsense
16qbmww,k1wdmvx,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia3', 'deepsouthsoldestrivalry']",got tailgate working setting tv bounced back returned glory yeah
16qbmww,k1wfeg9,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",thats milroe good good good bam something bad lots talent needs grow decisionmaking
1728e91,k3w11ct,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia2', 'deepsouthsoldestrivalry']",whats difference mhj catch nontd maryland earlier
