post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxx127,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",didnt kneel wanted use time ran risk obv
183rfxa,karkzlj,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",always amazes many people dont know kicking team cant advance muff
18uo86j,kfmicwk,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",tcu got snubbed 2014 didnt quit motivated come beat snot ole miss
16jq8ru,k0rod7c,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",want use want used
16jq8ru,k0rrvtp,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",super random maryland unis remind seal miccosukee indians
17t2g9p,k8v4ljs,washington california 400,washington location california memorial time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",looked score first time bit cal fuck
18w6kt1,kfwspjl,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",stutter step fake dumbest shit let defender get right
172ium0,k3xh80m,arkansas ole miss 730,ole missfolemissole miss location ole missfolemiss vaughthemingway time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",pittman trying hide whispering sideline
182v9ux,kalq4z5,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",arent experts scoring safeties also avoiding well
16kp4v1,k0xaxma,postgame south defeats 337,box score provided team 1 2 3 4 south made rcfb,['rcfb'],"['delta', 'santamonica']",hateful 8 combined 310 fbs opponents sun belt cemented 3 conference
17o0i1u,k7w5024,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",see deion student les miles philosophy clock management
172mpmi,k3ygn21,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",every interview audio cut
17n7lgx,k7qriez,colorado wyoming 800,colorado location wyomingfwyoming jonah war memorial time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",taking care ball paramount immediately muffs snap
1628tfe,jxwbhqp,hawaii vanderbilt 730,location firstbank time 730 watch tv sec networklsecn odds spread van 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'band']","['delta', 'santamonica']",delay midnight give us first hawaii test season
188p109,kbn1r2k,new mexico liberty 700,new mexico mexico location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",still say pick earlier td refs right overturn one imo
17t6f87,k8va4kj,ole miss 700,ole missfolemissole miss location georgiafgeorgia sanford time 700 watch tv espnlespn odds spread uga 115 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['delta', 'santamonica']",super quiet anyone else im constantly juggle volume flip back forth games
