post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxbog4,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",damn bro olympics arent july need gymnastics respect
18wbuu4,kfxcphs,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",told crazies rcfb espnsectexas lovefest would benefit refs money back please
18wbuu4,kfxffoe,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",forever shout void pointless waste time run look plays little screens people new york tell
18wbuu4,kfxpd9x,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",soooooo im beginning believe uwpenix might little pissed
18wbuu4,kfxyzmk,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'denver']",washington lost starting rb committee going put bama final
16kktkx,k0xed5y,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",transition techno playing light guitar picking gave whiplash
17y9i7m,k9spjvk,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'denver']",call 4 plays 2 terrible swing passes
17y9i7m,k9srqut,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'denver']",real big fuck ill energy bowman
15wqekf,jx4ohrk,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['iowa', 'denver']",cedar rapids 1 2 st 3 northern 4 notre dame theyre well 5 basically b1g schools neighboring states minnesota wisconsin illinois northwestern nebraska
17d9q9a,k5vqd0l,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",need done guys ref come work meetings go time
17d9q9a,k5vzv6r,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",um id like go back first quarter pls kthnx
17d9q9a,k5w1dyt,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",whoa two big 12 ref calls going way must money line
17d9q9a,k5w1vuk,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['denver', 'texas']",also broncos fan even invest sport
