post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxrzm2,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",done tcu still big 12 team win playoff lmao
17ifk69,k6u3vz0,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",want play games teams dont tricky play gimmick shit
17ifk69,k6u5pa1,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",gabriel solid qb doubt leaves lot desired overthrows days guy
17ifk69,k6u8ysx,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",needs hire leipold already send kansas back dark ages
17ifk69,k6unswc,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",perk stoppage neutrals left
169aftq,jz13aux,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",ads goal nets commercials every 2 seconds grow weary late stage capitalism cfb
169aftq,jz19g1n,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",matter many times hear whopper im never eating burger kings shitty food
16egmpb,jzvuq5j,smu 600,smufsmusmu location memorial norman ok time 600 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'cfp']","['oklahoma', 'depaul']",hopefully brent locker room removing lebbys head ass
172mpmi,k3y0qf3,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",caleb completely level holy hell havent ever confident player going pull clutch shit caleb
183rg1p,karc0gj,arizona arizona 330,arizona location arizona mountain america time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['territorialcup', 'depaul']",tfw better offense without real qb
188p109,kbmyfbs,new mexico liberty 700,new mexico mexico location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'depaul']",liberty couple gifts stings aggies
16kehak,k0w3cqe,tulsa 330,location tulsaftulsa chapman time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",dont keep real usc much rat daddy looking good
17d4h7c,k5utxha,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",im willing trade ucf fletchers corn dog kicker kick ou rest
17d4h7c,k5uupn7,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",wow throwing ball moderately works instead screen plays
17d4h7c,k5uvwbl,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",ucf actin like doesnt wake sooners deserve lose
17d4h7c,k5veqqb,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",im glad hateful 8 cant celebrate shit gg ucf
15i4lvq,jusv5ve,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'depaul']",go back big12pac12 alliance couple years ago ill gladly take
17ycosh,k9tixed,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['territorialcup', 'depaul']",would qb losing
16q6opo,k1vgpyp,cincinnati 1200,location nippert time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",dg looks like took another step far much poised
16q6opo,k1viq52,cincinnati 1200,location nippert time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",tawee running people like kelvin runs toddlers seconds corral
18taa8w,kfda2c4,alamo bowl arizona 915,location alamodome time 915 watch tv espnlespn espnlespn odds spread ariz 25 overunder 595 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",2 years ago didnt see fan alamo bowl theyre everywhere like cockroaches
1840c06,kat0w8d,california ucla 1030,uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",oj mount rushmore talking abilities
17o13pm,k7w6qir,ucla arizona 1030,uclafuclaucla location arizonafarizona arizona time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['territorialcup', 'depaul']",get poster board question carry weapon
16e7v1g,jzu7ydw,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['vanderbilt', 'depaul']",damn reason always thought colorado lot fans
16wj7oa,k2xinp6,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",damn dg wasnt familiar side
16wj7oa,k2xoi1z,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",never want see matt campbell ever ducking man lives beat ou
1728eb3,k3va8ll,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",ewers hyped fans used mediocre qbs
1728eb3,k3vqs92,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'depaul']",sark brent ultimate chess seeing adjustments making favorite part today
18wd5xz,kfx2sjw,postgame defeats 2720 ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['territorialcup', 'depaul']",quote post weve come full circle weve come 365 degrees
