post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxuaq6,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'detroitmercy']",thought call late hit gonna lose mind lol
16q6omx,k1w3bos,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernmichigan', 'detroitmercy']",fsu better win kiss saudi money goodbye
17deytd,k5x1p63,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernmichigan', 'detroitmercy']",usc going legendary sicko
18w6kt1,kfw6hrs,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'detroitmercy']",bama ml free good night everyone one
18w6kt1,kfwtnko,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'detroitmercy']",whats like able cheer good team
18w6kt1,kfwu7ec,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'detroitmercy']",thats fuck nfl harbaugh trash ass program
17yjuvx,k9uf6al,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernmichigan', 'detroitmercy']",fucking happy tigers stole jason white soxs lmao
18phz33,keor3ym,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernmichigan', 'detroitmercy']",utah win 8 games nw win 7 lol
18phz33,keoxhhh,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernmichigan', 'detroitmercy']",cant wait first time washington usc ucla get dragged hell b1g west team lol
17t72b9,k8v7vd2,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'detroitmercy']",wait longest fg year kid straight boot
1896p8u,kbpvy1p,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernmichigan', 'detroitmercy']",oh thank god invisible spaghetti monster sky gets us
