post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxs36n,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'dillybar']",dbs brains examined dude complaining flag lol
1728e91,k3vkbys,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'dillybar']",dont want struck lightning osu offense ferentzian looking
15q1cwp,jw2e1df,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['minnesota', 'dillybar']",brewsters first year one win epically bad hurt bad
18w6kt1,kfwwg3e,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'dillybar']",tbf took 8 9 steps bounds
18w6kt1,kfwzw8z,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'dillybar']",play call roll right throw line scrimmage get tackled gain
16qmmcf,k1xzcqg,postgame ohio defeats notre dame 1714,box score provided team 1 2 3 4 ohio notre made rcfb,['rcfb'],"['ohiostate2', 'dillybar']",otter dame better lose next week make win look bad
16qmmcf,k1y2l9n,postgame ohio defeats notre dame 1714,box score provided team 1 2 3 4 ohio notre made rcfb,['rcfb'],"['ohiostate2', 'dillybar']",nbc announcers osu rb gets three yards missed hole nbc announcers nd rb gets three yards great effort quickly get line
182v9ux,kalvrms,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'dillybar']",get closer end zones cowards safety win youre fg range
15zjqpr,jxhiqkr,rivalries seem fake forced,nebraskaiowa really nebraskas big10 games matter grew husker fan border states omaha carter lake ia remember interacting hawkeye fans daily basis loved trash talk nebraska seemed relish programs downward spiral dont like losing otherwise dont negative feelings towards program dont rise level historic adversary like feel hatred towards like colorado anything id interested mizzou id probably put even less stock trophy wisconsin partially onesided also theres even less natural inclination meaning two programs examples forced fake even onesided rivalries yalls favorite programs,"['ncstate', 'nebraska']","['minnesota', 'dillybar']",mean stupid forced governors victory bell trophy given penn joined make feel welcomed something completely falls flat next games wisconsin im kind pissed actually repaired stupid trophy players accidentally broke years ago tossed broom closet couple decades janitor someone quietly updating scores year
17df8ox,k5wauyc,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['minnesota', 'dillybar']",stupid worst reffed ive watched long time
