post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qd8l6,k1w8opb,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['floridastate2', 'drake']",playing goal kicker literally picked street week boldest moves
18wbuu4,kfxs2td,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",absolutely mug wr get penalized act incredulous call yup hes db
16q6omx,k1vnjj6,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",idk man pass working need force run
16q6omx,k1vodno,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",lmao dabo calling dc 2 minute drive
183w2c9,kars3oy,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",florida gators boring uniforms hate gator logo looks like crocs logo got angry
183w2c9,karse33,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",lived florida id fsu fan easily
183w2c9,karsxv7,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",many gator fans take screw lightbulb 3 1 screw lightbulb 2 talk good 20062008
1784xhr,k4xojii,san diego hawaii 1100,san diego diego location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread sdsu 55 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",sdsu going win etchings helmets
17yjuvx,k9u7tgy,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",view right first marker
17yjuvx,k9ubgqx,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",ive changed mind im going cheer longhorns
17yjuvx,k9ueo0x,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",played college line couldnt imagine trying block dudes
17yjuvx,k9ug1mo,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",tough win ames night impressing
17yjuvx,k9uidh8,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",origin 5 lines logo isu
17yjuvx,k9umsgl,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",hawks 92 even considered joke
17yjuvx,k9un1lu,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'heartlandrivalry']",im glad leaving refs better watch gonna get dragged along get bevos dick mouths
17yjuvx,k9un5dp,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['drake', 'iowa']",teams hate much strange rivalry
169aftq,jz0n2h5,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'drake']",first big since engaged gotta train fianc rest life
169aftq,jz0uqb3,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",first catch hills career fsu fans would even unbearable
169aftq,jz0wn14,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'drake']",hate white celsius ads nets tacky hell
169aftq,jz1fzxb,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",employs hourly auto workers america flex ford thinks
169aftq,jz1i4t2,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",holds fsu pass bama stuck 5 next week
169aftq,jz1j998,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",fsu 2nd half defense directv youtube tv hulu live plus sports every tv
16eb4h6,jzuvjdp,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['floridastate', 'drake']",long walk locker room duke seems lasting effects
182v9ux,kal9468,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'drake']",ohio st going stop offense
182v9ux,kaluxbc,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'drake']",bold guys assume move
182v9ux,kalvagm,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'drake']",every single thing wrong last 2 plays
160cmsh,jxln74i,inconference teams generally root favorite team,western fan acc answers would syracuse pittsburgh theyve conference foes ever since kid ive gained soft spot old big east especially basketball digress conference usa harder nail since five nine teams returning may bit cheat ill give nod former conference foes marshall uab love history behind marshall seeing uabs program rise ashes team 20142017,[],"['floridastate2', 'drake']",might get ton flack first one ncsu pitt root coaches went toplayed alma mater dave doeren ncsu charlie partridge pitt
17df8ox,k5waujy,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['minnesota', 'drake']",worst call ever seen close
15jtrv5,jv24kbx,real villain realignment,would argue demanded tv network without equal revenue sharing rest big 12 schools catalyst cu nu tamu mizzou leaving big 12 everything followed set motion longhorn network ironically folded sec network joins sec,['oklahoma'],"['kansas', 'drake']",money imo see op doesnt care generalities blame networks court cases money driven eyeballs watching networks advertisers arent paying things people dont watch universities willing sell highest bidder really courts regulate simply much money theyre victim success
17sxedg,k8tx31m,tech kansas 1200,tech location kansasfkansas david booth kansas memorial time 1200 watch tv fox sports 1lfs1 odds spread ku 35 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'drake']",tortilla boys welcome getting fucked refs kansas group
