post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6omx,k1w8dz4,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'dukesmayo']",kicker coming back rest season gonna go back life
16qadvo,k1vxe4r,deal historically mediocre program,wondering always purdue fan hope could start build momentum last couple years nope back square one ryan walters deal fan mediocre program got people around ohio alabamamichigan etc fans,"['purdue', 'easttennesseestate']","['wisconsin', 'dukesmayo']",honestly always wondered people support big winners isnt boring knowing youll win 9 10 times enjoy real risk losing guess
183rfxa,kaqv3jf,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'dukesmayo']",kinda giving auburn calls save ref checks uga
183rfxa,kaqvtf6,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'dukesmayo']",yeah saw lol great play call though love run
16qzss2,k203smp,complain team,vent friendly place,['rcfb'],"['wisconsin', 'dukesmayo']",sold soul offense lost defense
16w91xa,k2vqw1a,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'dukesmayo']",fast quarter better start throwing commercials
16w91xa,k2vz21c,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'dukesmayo']",pretty nice backup johnsons caliber least ive seen far
17h2hhf,k6klt7s,michigans signstealing scandal really big deal,nan,['georgia'],"['pac12', 'dukesmayo']",biggest cheating scandal sports lifetimes
17ny5nn,k7urne5,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['alabama2', 'dukesmayo']",sweet watch ou lose sweet watch ou lose
183s3df,kas8dq4,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pac12', 'dukesmayo']",duck logic fairness common fan logic um auburn lost new mexico 21 lost 3 means better bama
183s3df,kaskhbv,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pac12', 'dukesmayo']",ducks go maybe 600 yards get 150 yards penalties uw wins last second hail mary pass clearly incomplete pac 12 refs call good
17ijvyn,k6v782l,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pac12', 'dukesmayo']",utah without rising keep close
