post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvs659,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",defender allowed push guy back
16e7uwk,jzv2wz7,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'dupage']",guess bashing interior line right
16e7uwk,jzv31nd,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'dupage']",arent fast bully ball think
183w2cz,karxepf,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",hartman even going make nfl roster point
183w2cz,karyadu,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",guys got feeling another embarrassing loss
183w2cz,karyfap,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",team constantly underestimates stanford yet year year play spoiler never learn lesson
1621ag8,jxvj16o,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'dupage']",cant wait see backups play snaps long since weve comfortable lead enough
177wgao,k4w9j87,wisconsin 400,iowafiowaiowa location camp randall time 400 watch tv foxlfox odds spread wis 10 overunder 360 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",sitting wondering didnt bet literal farm
16wjz1a,k2y7h0s,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",thats refs fucked also fucked selves
16nprl0,k1idwjc,week 4 matchup preview 6 ohio buckeyes 9 notre dame fighting irish,6 ohio statefohiostate 9 notre damefnotredame saturday september 23 0730 eastern notre dame notre dame watch nbclnbc odds ohio statefohiostate 30 pts total points 560 alltime series ohio statefohiostate notre damefnotredame ohio statefohiostate notre damefnotredame met 7 times since 11021935 teams last met 382 days ago 09032022 series wins ohio statefohiostate 502 notre damefnotredame longest streak continuous meetings 2 19951996 ohio statefohiostate last 5 meetings 19952022 series last 5 meetings ohio oh2110 ohio fiesta bowl ohio az3420fiesta bowl ohio bend in2916 ohio oh4526 series comparison data via week 3 weekohio statefohiostate 3010resultnotre damefnotredame 4000result 0byenanavyfnavy 1201w 423 1201w 233tennessee 2100w 563 2youngstown 2100w 357nc statefncstate 2100w 4524 3wkufwku 2100w 6310central 1200w 4117 rankings reflect current rcfb ohio statefohiostate injury report data scraped 20230920 100014 jayden bonsusques sat undisclosedmon sep 18bonsu sat last three contests undefined issue remains seen line notre dame saturdays battle tc caffeyrbques sat kneemon sep 18caffey missed past three games due knee injury indication take notre dame saturday joop mitchellwrques sat undisclosedmon sep 18mitchell sat previous three games due unrevealed ailment yet announced take saturday versus notre dame kyion grayeswrques sat undisclosedmon sep 18grayes held previous three games due unspecified issue unknown face notre dame saturday joe royerteques sat undisclosedmon sep 18royer missed last due undivulged injury air available versus notre dame saturday reis stocksdalewrout season undisclosedsat sep 16stocksdale commission undetermined issue likely miss remainder season zak herbstreitteout season undisclosedsat sep 16herbstreit shut entire 202324 season unknown injury bennett christianteout season suspensionsun aug 27christian suspended entire 2023 season due violation ncaa rules arvell reeselbques sat undisclosedmon sep 18reese absent past two matchups unreported ailment unclear dress saturday notre dame injury data lifted notre damefnotredame injury report data scraped 20230920 100014 kk smithwrout indefinitely shoulderwed aug 2smith lineup undergoing shoulder surgery timetable return kevin baumanteout season kneesat aug 12bauman miss entire 2023 season partial acl tear chris salernokout indefinitely legmon sep 4salerno sidelined leg injury miss undetermined length time gabe rubiodlout indefinitely kneemon sep 4rubio idle knee ailment unknown long debilitated mitchell evansteprob sat concussionmon sep 18evans absent last concussionlike symptoms likely suit saturday ohio eli raridonteout sat kneemon sep 18raridon sat last four games knee injury take ohio saturday jd bertrandlbques sat concussionmon sep 18bertrand missed previous contest due concussionlike symptoms yet confirmed available saturday versus ohio injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found,"['cincinnati', 'oklahomastate']","['notredame', 'dupage']",ohio low self esteem golden boys big ever year things lined would going place 5 emotional insurance bet ohio ml think
177dn6h,k4t6qcd,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",tuned 4th quarter stanford sure thumping
172j2qi,k3xac6y,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",right big opening cardinals hopefully nd stabilize score points
1925pm7,kh08ycg,postgame defeats washington 3413,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['notredame', 'dupage']",la grange il crew checking naz rocking hear house
16k9n1a,k0v3vgj,penn illinois 1200,penn location memorial champaign il time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",bb illinois playing awesome see fans sure deserve
16keh8t,k0waw77,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",whats far away cameras
17oeymn,k7xwiu3,complain team,vent friendly place,['rcfb'],"['notredame', 'dupage']",ruined sam hartman botched oc hire thanks jack arent playing anything meaningful anymore del terrorist equivalent big ten west team year least head coach handsome
17nng54,k7syo6p,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",reasonable way via air seas watch iphone drive friend 140 round trip go look car
17nng54,k7t29g8,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",put salerno pr fucking god shit show
16kd3yk,k0w4p9f,central notre dame 230,central notre dame location notre damefnotredame notre dame time 230 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",nd low key grinding tomato cans weve playing lots opponent injuries
1780tdz,k4wxhh6,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",nd line move like tackle kansas city try draw usc offsides
1780tdz,k4wzehy,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",know heartbreaking losses made great 4th stops far year
1780tdz,k4xblw8,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",right nd time get formation go full b1g constrictor
1780tdz,k4xed1p,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",didnt get hug dad didnt beat tosu bet ass boomer pops getting victory hug tonight
1780tdz,k4xg9t5,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'dupage']",somebody flash nail polish caleb walks
1689xxi,jyuwmi4,tennessee notre dame 330,tennessee notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame2', 'chaos']","['notredame', 'dupage']",bill shit cant swallow whistle kick call hit shoulder first swear refs us
1689xxi,jyux4ye,tennessee notre dame 330,tennessee notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame2', 'chaos']","['notredame', 'dupage']",jack better bully fuck acc targeting bill shit
1689xxi,jyv2mnc,tennessee notre dame 330,tennessee notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame2', 'chaos']","['notredame', 'dupage']",watching osu iu gam like chances
