post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwbjgc,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duquesne', 'chaos']",saban going go full roman make oline draw straws others kill one
16ei5hq,jzwe9vd,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duquesne', 'chaos']",sanders going late 1st rounder early day 2 guy
16ei5hq,jzwg080,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duquesne', 'chaos']",cant believe bryce managed number 1 pick line
16ei5hq,jzwi99z,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duquesne', 'chaos']",hope everyone jumping great day
1728e91,k3vg694,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'duquesne']",maryland team pretty good im impressed dont tell september anymore
16ehek1,jzvh1dl,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['pittsburgh', 'duquesne']",alright fuck cincy badly want revenge 2009 love playing seriously fuck guys
18sbres,kf6qv2f,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'duquesne']",maybe mack really doesnt want covered mayo
18sbres,kf7fkq1,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'duquesne']",truly happy watching wvu long time
16kk458,k0xdv2v,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'duquesne']",two teams agree never play games peak sicko
17nrxfm,k7urf61,penn maryland 330,penn location secu time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'duquesne']",jesus hes got stop saying stat line hes going cause mental illness maryland
