post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16awtio,jza13jq,former president trump attend saturdays,removed,"['michigan', 'fau']","['oklahoma', 'eastcentral']",get importance missing ut bama isu tells much fan college
16d8tr1,jzo0ffh,cant seem buy brian kelly,watching lsu lose way florida gut punch brian kelly doesnt seem like edge need top tier head coach sec disrespect bk im sure right man lsu watching games back coached nd crucial moments team justyou knowfolded seems like bk era lsu bringing vibe curious see others think situation,['lsu'],"['oklahoma', 'eastcentral']",wasnt guy day hired know fits really well lsu prep school brat massachusetts never coached south cincinnati
15vkpiz,jwxc2xl,worst best case scenario favorite team,ill start worst case scenario louisville finishing season 85 due playing ranked notre dame nc pitt miami road acc ends competitive sec leads us outmatched kentucky however get another bowl end season win means basically end record last season 85 highly doubt record could worse since seem talent compared last season jeff brohm seems confident passionate coaching team best growing louisville best case scenario louisville finishes season 94 due upsetting ranked notre dame home advantage feel like louisville still prone lose nc pitt miami teams road sec still competitive acc kentucky still competitive team louisville would still stack one top tier acc teams home advantage year could give ability beat kentucky first time 6 years since lamar jackson left fall short eligible acc championship get competitive bowl ending loss 94 jeff brohm reflects great season works improving team even next year,['louisville'],"['oklahoma', 'eastcentral']",best case big xii title playoff berth worst case repeat 2022
16bnhtv,jze8ahm,could best high school team nation beat worst division 3 team nation,boss discussing best high school team could beat worst d3 team played d3 says think yes think,[],"['oklahoma', 'eastcentral']",hell would go far say best high schools could compete favorably lot bad dii fcs schools standards diii schools sometimes laughably low especially bad teams
17imm0u,k6vqj24,postgame kansas defeats 3833,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['oklahoma', 'eastcentral']",hell congrats jayhawks fuck usc flairs
16bowze,jzf1v64,mcmurphy usc qb caleb williams could return next year caleb doesnt like nfl team wno 1 pick dad carl told gq magazine,usc qb caleb williams could return next year caleb doesnt like nfl team wno 1 pick dad carl told gqmagazine funky thing nfl draft process hed almost better drafted drafted 1st carl said system completely backwards way system constructed go worst possible situation worst possible team worst organization league desire parity gets 1st pick gift curse,['georgia2'],"['oklahoma', 'eastcentral']",watched lot great qbs amount nothing went 1 shitty team get nfl wants parity understand caleb williams wouldnt want end cleveland detroit
177nxrk,k4uw4f3,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['oklahoma', 'eastcentral']",first time ive watched season pat annoying hope take year
15i4lvq,jus8nnf,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'eastcentral']",need schools make official announcements believe anything
16a1p2w,jz5i1bf,on3 last year alabamas band travel due longhorns offering upperdeck seats year bama returns favor nickkelly reports 5000 visitor tickets include seats band upper deck,nan,"['nebraska', 'ohiostate']","['oklahoma', 'eastcentral']",solved problem never letting first place
16a1p2w,jz6b7on,on3 last year alabamas band travel due longhorns offering upperdeck seats year bama returns favor nickkelly reports 5000 visitor tickets include seats band upper deck,nan,"['nebraska', 'ohiostate']","['oklahoma', 'eastcentral']",low class going lie wonder bama returned favor
16w91ub,k2w03hq,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['paperbag', 'eastcentral']",realistically colorado make bowl theres way beat win road pullman slc theyd find way win three four asu stanford ucla arizona
168f6x1,jyvam1y,central arkansas 700,central arkansas location boone pickens time 700 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahomastate2', 'texasam2']","['oklahoma', 'eastcentral']",okstatei expect yall send second arkansas team back home today beat
17zyhsl,ka38yw8,nonosuum flairs rooting,cfbs top drama reach crescendo week 2 osu 3 um country want see ohio win americas team pulling even youre holding nose,['ohiostate'],"['oklahoma', 'eastcentral']",im obviously fan wife ohio big ohio fan last year got tickets hate fans things like talking wanted older osu fans die talking literally believed team goat would score one directly behind us would lean yell right ear sober awful find bunch cheating bastards fuck em
16e7v1g,jzujg1n,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['oklahoma', 'eastcentral']",could hit punter baseball bat wouldnt roughing less
1728eb3,k3vg0ad,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'eastcentral']",fucking hate think reason last year didnt hurt blood pressure didnt spike like every year horns
1728eb3,k3vqiwf,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'eastcentral']",fwiw im convinced last drop bad us decent chance catches falls two clock runs ou clock
1728eb3,k3w0asp,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'eastcentral']",ous offense fizzled defense going bring us across line
1728eb3,k3w3ftb,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'eastcentral']",even wasnt massive would interrupt programming news happened nine hours ago
