post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx46me,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",last dont care wins hate teams dont care wins kinda like teams either way getting root good fun
18wbuu4,kfxi4ah,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",asa trying get us arch manning action
18wbuu4,kfxkp5v,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",dad diagnosed stage 3 blood cancer holidays really good bowls games tonight general helped distract temporarily
18wbuu4,kfxosjt,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",cannot afford give td basically become one dimensional team throwing ball play catch
18wbuu4,kfxs04n,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",fans gonna insufferable blew corpse fsu looks like dont belong
18wbuu4,kfxshzw,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",im glad fan reaction didnt lead pressure flag refs hit
18wbuu4,kfxuz2j,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",im side run center kneel
18wbuu4,kfxv3ea,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",well dumb run center kneel
18wbuu4,kfxv7ve,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",uw fans must feeling pretty good right one
18wbuu4,kfxwzmd,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",oh thats awful manages fluke win johnson got hurt talk insult injury
16qbmww,k1wiouo,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'easternkentucky']",jesus watching bama offense feels like watching chicago bears offense
16uiinz,k2ljm7d,college team finishing move ala mortal kombat,would teams teams would cancel would funniest example floridas finishing move home swamp flooded turned actual swamp think oregons ducks wouldnt fazed standford would one giant tree come nowhere states beavers would win easily one would want play miami due extensive hurricane damage endures etc,"['georgia', 'transferportal']","['michigan', 'easternkentucky']",takes team neck slowly lowers pool water thrash grin bubbles drift surface
183s3df,karfwvc,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",kentucky might sneak top 30 ranked teams keep losing woo
183s3df,karinuj,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",dudes helping want see unsportsmanlike penalties punches thrown helmets
183s3df,karnmib,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",ref go destroyed middle bama auburn fight holy fuck
183s3df,karph4e,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",question take points first goal brain play play dude
183s3df,kars8li,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'easternkentucky']",penix wants win heisman chance add resume drive
1728e91,k3vfh2f,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'easternkentucky']",might first ohio ill turn
1728e91,k3vpee4,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'easternkentucky']",alright lets see make actual halftime adjustments
1728e91,k3vpmd6,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'easternkentucky']",maryland good ohio bad many licks take get center tootsie roll tootsie pop
1728e91,k3vpyho,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'easternkentucky']",last saturday dont work ohio treating
1728e91,k3vvs2t,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'easternkentucky']",say havent seen 3rd 1 jet sweeps far thats plus
1728e91,k3vwr9m,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'easternkentucky']",thank god looks like finally figuring things hopefully offense capitalize
