post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxrwl2,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['army', 'eaststroudsburg']",man wtf cant even switch back time call
16ehek1,jzvsnif,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['pittsburgh', 'eaststroudsburg']",107 awful first drives ill absolutely take lets get stop
16ehek1,jzw32w1,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['pittsburgh', 'eaststroudsburg']",live heinz cinci got ball fumble
16ehek1,jzw4wad,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['pittsburgh', 'eaststroudsburg']",swear hear pin drop heinz lined drive oh boy student section clearing already
16ehek1,jzw7q8o,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['pittsburgh', 'eaststroudsburg']",well atleast sweet caroline help feel better inevitable l
17w30ir,k9fgpdw,classes athletes school like,sorry distract coaching drama offseason style discussion go ive seen plenty stories players goofy parties dorms around campus im curious acted classes specifically studious never show treated like gods among men normal students happened great shape,"['michigan3', 'american']","['memphis', 'eaststroudsburg']",classes several pat summits lady vols absolutely focused driven people id met
16uibb2,k2lh54o,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['memphis', 'eaststroudsburg']",want trash talk boise enjoyed watching dismantle much fun creative play calls hope win least get blown injuries either side
183xgmh,karoqv0,postgame defeats auburn 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['pittsburgh', 'eaststroudsburg']",espn instant classic congratulations user finished espn instant classic go ncaa espn instant classics view gamerank 1 classic score 9000
16qhwft,k1xgyp9,north carolina pittsburgh 800,north carolina location acrisure time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'eaststroudsburg']",phil ugliest spiral p1 qb ever seen
16qhwft,k1xjkl2,north carolina pittsburgh 800,north carolina location acrisure time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'eaststroudsburg']",maye took lick yikes im surprised didnt get us targeting tbh
