post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qadvo,k1wg6qy,deal historically mediocre program,wondering always purdue fan hope could start build momentum last couple years nope back square one ryan walters deal fan mediocre program got people around ohio alabamamichigan etc fans,"['purdue', 'easttennesseestate']","['emoryhenry', 'virginiatech']",like watching teams love culture traditions truly care deeply result one year could see large issue team ever phenomenal gets dogged current status thats issue
16kehex,k0vrisb,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'virginiatech']",id call oline diii oline thatd insulting diii olines
172dat6,k3wxb6d,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'virginiatech']",two three weeks ago would said thisll 633 team hung tough really good squad hard upset build take wake next week
17h8let,k6mo8tt,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'virginiatech']",great college found place wiggles
17sxecm,k8tlak0,virginia tech boston college 1200,virginia tech boston college location boston alumni chestnut hill time 1200 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'virginiatech']",like hokies chew teams often
17sxecm,k8tplxx,virginia tech boston college 1200,virginia tech boston college location boston alumni chestnut hill time 1200 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'virginiatech']",hello 40 points minute since weve seen side scoreboard
189wh00,kbtuuhi,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['virginiatech', 'emoryhenry']",lot arguing seems like arguing sake arguingtexas fsu obviously
16keh7j,k0vzx6n,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'casewestern']",honest question rattler albino offense implied
169aftq,jz0yp6r,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'casewestern']",probably got enough time head camping world second quarter starts
182v9ux,kalvu7k,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'virginiatech']",ever needed yackety sax playing
17okupm,k7z9pn1,dellemger usc dismissed defensive coordinator alex grinch sources tell yahoosports,nan,"['bostoncollege', 'chichester']","['emoryhenry', 'virginiatech']",happened next well la say uscs defense improved three spots day
18ekefp,kcod4ka,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'casewestern']",guaranteed hear decent version national anthem
16q6oum,k1va8x4,virginia tech marshall 1200,virginia tech location joan c edwards time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'virginiatech']",guys done hokies
18uiqbe,kfkw9ep,peach bowl penn ole miss 1200,penn ole missfolemissole miss location mercedesbenz time 1200 watch tv espnlespn espnlespn odds spread psu 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'casewestern']",wouldnt want dog cooties something im gonna put mouth
18ghc1u,kd1nvip,tell us youre proud fan team,bowl season christmas time upon us theres plenty grateful time memes aside love cfb team dont throw shade rivalteam occasional occurrence lets respectful ive also beers lay mfer lol im sincerely interested know made love teams ill start time great country talking like 3040 years born cfb teams feared two little humble midwest universities nebraska opposing teams would literally line two juggernauts whos rosters filled many farm kids first hopped combine time 12 years old college kids grew producing dinner mothers set table later night annual rivalry culmination work ethic put gladiatorlike contest bragging rights harvest country didnt appreciate kid last time nebraska natty 5 years old didnt grow actually witnessing glory years history still remains sense pride garnered serious meaning current life tradition real thing still matter however tradition may started proud college team matter wrong answers,"['nebraska', 'nebraskaomaha']","['emoryhenry', 'virginiatech']",love team college real reason im diehard fan vt fan base awesome games packed fan base isnt complaining beat uva make bowl
18pd1qz,keno18y,armed forces bowl air force james madison 330,air force james madison location amon g carter time 330 watch tv abclabc espnlespn odds spread jmu 15 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['emoryhenry', 'casewestern']",team wins going one scores points
