post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17d9q9a,k5w2h8g,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",big12 bros starting feel coug magic keep really looking forward playing houston basketball year
17esjzd,k695777,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['kansas', 'emporiastate']",yeah many places 55 mph speed limit cant wrs rotate plays far shape everyone b1g knew didnt counter fake signals much damned thing anything ill root wolverines rest year whole business joke bill self pissed ncaa thats came know anything ncaa youll know investigations personal
16ko1na,k0xw7o9,kansas nevada 1030,location nevadafnevada mackay time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",dumb fight loose ball teammate bounds
17nng69,k7t1c5h,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",old klein qb draw may work maize blaze either
17nng69,k7t5k5y,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",new defensive back technique fall front receiver pass interference
17nng69,k7t7muu,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",qb embarrassment riches wont last somebody transfer kids want play
17nng69,k7tu6ru,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",quarterback draw cant understand play neither could howard
17ifk69,k6u8x23,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",reminder ku fans play illinois tomorrow 5pm sport
17ifk69,k6uftus,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",might called would okay seriously could hours multiple hours
17ifk69,k6uipb3,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",wanna hear life story lets skip november 1975 im high school sophomore stopped number one sooners norman anyone video still hear max faulkenstein call cromwell ransom rambler
17ifk69,k6uxa39,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",somewhere okalhoma junior high school punter screaming punt far
17ifk69,k6uy7fv,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",figured difference bean daniels bean big first third daniels great fourth
17ifk69,k6uz6ga,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",sparse crowd full sooner fans going wild
17ifk69,k6v0xhx,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",self health issue wanted hang dont foresee would offer job jacques vaughn would take
17ifk69,k6v64dp,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",bean cannot ball hand fourth
172mpmi,k3y85fg,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",lots shit talked usc comes fact pac best qbs cfb would ok plodding offenses theyll see years come
17d4h7c,k5un3t5,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",may place make comment best individual ive seen kansas play year pokes rb gordon holy shit
17d4h7c,k5uwckn,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",could kansas ahead team 240 half ucf cfb confusing
17d4h7c,k5v3pyh,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",team subtract point time punted big b1g would 30
17d4h7c,k5v7zz3,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",superior teams bye weeks notre dame kansas
17d4h7c,k5vep6t,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",kansas chance maybe nog great chance chance
16doerv,jzrb9vr,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['kansas', 'emporiastate']",ngl put 1 bet jalon daniels heisman fanduel yolo
1925pm7,kh0b01n,postgame defeats washington 3413,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['kansas', 'emporiastate']",three things defense well tackled hard seldom let deep receivers never let penix get comfortable wolverines deal
183mtar,kaqn9o0,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",schools really proud teams
183mtar,kaqpmim,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",dear college broadcasters stop fuxking never ending shit storm commercials
183mtar,kaqstp0,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",mock coach whose record 566 thats show evident stupidity
183wpl4,karuni3,kansas cincinnati 730,location nippert time 730 watch tv espn2lespn2 odds spread ku 6 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",isnt kansas ive seen 4 dropped pick 6s today country
183wpl4,karydmq,kansas cincinnati 730,location nippert time 730 watch tv espn2lespn2 odds spread ku 6 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",9 guys line scrimmage throw ball
183wpl4,kas47gr,kansas cincinnati 730,location nippert time 730 watch tv espn2lespn2 odds spread ku 6 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",play open year jayhawk fans know mean play fairchild meanwhile ksu getting hammered home
183wpl4,kas5pd6,kansas cincinnati 730,location nippert time 730 watch tv espn2lespn2 odds spread ku 6 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",remember bean isnt much passer many times read past two years hell biggest win mightve september 3 2021 south dakota ran late td
183wpl4,kas9rea,kansas cincinnati 730,location nippert time 730 watch tv espn2lespn2 odds spread ku 6 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",uc 7th beat per rushing attack im seeing good
183wpl4,kasdbf7,kansas cincinnati 730,location nippert time 730 watch tv espn2lespn2 odds spread ku 6 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'emporiastate']",cant throw ball pile points
